ESTree Dijkstra DecrementalDynamicSSSP
8751 2059 1.00834e+07
4 1219 937223
3 1241 876968
3 2591 848786
2 1180 1.21738e+06
3 2450 967223
2 1125 984319
4 1132 971091
4 1577 1.18252e+06
6 1910 907068
5 1824 1.99067e+06
7 1265 836481
5 1429 1.06955e+06
7 1841 1.10149e+06
6 1289 1.0363e+06
7 1262 817423
3 2171 1.29046e+06
4 1955 809713
4 1152 782685
2 2060 858390
4 1545 832005
4 1200 763061
2 1223 846482
5 1359 855955
4 1164 829648
3 1226 1.28782e+06
3 1149 923747
2 1171 783496
3 1271 780942
3 1237 858482
1 1139 850251
3 1122 1.54502e+06
6 2892 1.81865e+06
5 1178 810804
8 2781 985788
6 1432 1.03444e+06
3 1801 1.13603e+06
3 1108 1.15502e+06
3 1403 1.14293e+06
6 5968 918146
3 1158 928559
5 1366 849236
2 1314 1.34492e+06
6 1298 869531
4 1984 1.03609e+06
8 4030 2.67964e+06
6 1236 1.31209e+06
4 1598 824652
2 1275 849211
4 1193 818927
4 1214 798800
2 1321 827652
4 1508 844421
4 1318 844396
4 1116 828376
4 1401 834434
3 1109 803509
4 1749 1.05784e+06
3 1274 833377
4 1248 1.2318e+06
7 1291 1.23994e+06
5 1519 1.11102e+06
7 1906 1.25897e+06
5 1276 964706
4 1463 890480
5 1235 1.3067e+06
6 2516 1.6817e+06
5 1452 2.90052e+06
6 1950 1.01879e+06
8 2005 1.5512e+06
4 1384 2.39022e+06
3 1667 1.04842e+06
3 1446 1.10622e+06
4 1274 2.75545e+06
6 2181 1.56499e+06
4 1202 1.2645e+06
6 1755 1.68897e+06
6 1225 2.05629e+06
6 2069 1.46868e+06
7 2933 1.11070e+06
4 1735 982901
5 1845 1.06394e+06
4 1800 819191
6 1656 910523
4 2804 987901
6 1896 785032
6 3905 776247
4 1191 818878
4 1189 1.46868e+06
3 1194 986731
7 1221 1.6536e+06
2 1216 1.1788e+06
5 1401 948175
4 1368 796572
5 1672 859709
6 2639 865498
3 1105 860434
2 1123 827037
6 2234 877203
4 1248 925764
3 1111 740164
4 1245 717942
4 1205 761488
4 1195 806399
3 1105 778217
2 1231 776045
3 1151 718778
4 1300 763287
4 1270 861095
3 1179 801274
6 1484 862209
3 2142 730672
4 1205 726378
5 1210 1.0481e+06
4 1172 813437
2 1141 784693
5 1277 1.00991e+06
2 1204 810270
4 1188 739786
5 1428 878005
4 1255 742783
5 1121 800980
3 1322 817017
4 1253 785151
4 1177 719075
2 1347 767461
6 1787 813522
1 1187 793922
1 1117 839092
4 1122 803699
4 1120 733726
3 1170 749316
4 1170 717812
4 1207 754944
4 1255 795833
2 1126 807530
4 1228 935342
4 1402 811913
4 1204 735399
4 1192 872435
4 1253 776657
3 1110 797451
4 1113 889396
6 1259 714787
5 1426 803030
2 1214 789274
4 1215 877336
2 2086 848214
4 1563 801858
4 1193 757087
4 1170 783538
8 1498 802560
5 1333 1.31766e+06
2 2136 1.40627e+06
4 1339 854049
5 1778 908654
4 1235 1.14863e+06
4 1724 1.12198e+06
5 1264 864435
4 1755 883086
3 1149 863391
3 1126 835238
2 1302 829427
3 1849 796867
2 2146 932799
4 1158 824606
5 1817 789441
3 1102 858319
2 1117 822264
2 1109 803141
14 1138 844057
3 1150 822619
5 1207 854826
4 1227 817928
6 1774 843185
4 2368 853332
5 1188 916100
6 1488 880481
2 1846 884846
6 1328 864554
2 1517 900118
3 2019 903136
4 1091 1.04469e+06
3 1110 903257
3 1102 1.06248e+06
6 1821 930347
3 1118 903585
5 1120 861891
4 1764 882753
2 1189 1.01432e+06
5 1246 868774
2 1189 872459
4 1288 995431
4 1182 880288
3 1509 890082
5 1375 895631
2 1850 879975
7 8974 1.11220e+06
4 1466 2.77844e+06
7 2005 1.08788e+06
