EStree IncrementalDynamicSSSP Dijkstra Dsource
5683 32456903 1637 10111
118 630964 1635 16
52 100893 1567 13
92 618453 1570 158
70 141055 1447 159
77 184510 1515 12
64 30258 1058 4
36 308435 1605 8
67 265013 1568 6
35 372758 1005 83
15 252720 1253 10
92 125122 1303 128
31 18308 983 5
30 238841 1426 125
34 307803 1071 91
18 242778 1081 91
14 63446 1571 16
26 162506 1563 159
19 18642 1092 4
14 58615 1194 10
20 348697 1109 93
32 225914 1578 164
24 327614 1429 179
40 19831 1620 9
24 24275 1561 10
22 144591 1000 84
16 17719 1596 13
25 233896 1594 151
22 193077 1097 7
16 20022 1520 9
17 17288 994 4
13 17630 1394 14
17 16618 1555 10
22 295425 1364 129
38 315835 993 93
17 201969 994 4
15 78825 1632 19
21 46617 1560 20
24 349915 1119 102
14 121007 1096 5
37 102667 1409 164
27 62583 1808 18
33 249736 1442 163
21 61232 1421 12
24 33975 1080 5
16 191252 1513 145
22 21736 1606 16
24 175079 1396 151
18 383887 1101 5
13 57713 1453 11
21 296941 995 83
19 20459 1455 15
28 202546 1314 147
23 15736 987 4
15 183711 1419 135
18 31008 1081 6
33 367838 1561 175
24 17444 1096 6
31 230804 1602 8
22 183627 1576 8
24 175360 1078 5
16 56522 1433 13
20 186740 1103 10
16 19932 1618 10
60 239772 1410 199
22 305865 1645 12
23 20673 1634 12
30 210192 1098 89
27 304936 1003 112
16 75702 1366 13
23 164688 1035 5
15 135228 1003 4
19 177889 1600 156
30 185699 1007 84
16 79631 1586 14
23 194085 1157 100
17 182162 1619 15
20 192724 1124 11
22 27571 1589 16
86 254702 1643 243
25 139692 1653 13
25 195129 1086 4
16 180821 1657 17
28 33881 1104 7
17 253689 1233 15
18 104624 1618 13
19 164992 1653 16
24 225170 1017 7
16 33181 1376 12
23 117051 1055 97
23 177653 1524 144
20 117132 1036 4
13 16055 1622 13
20 27215 1016 7
26 195038 1012 88
24 167105 1400 151
18 147022 1291 10
17 49373 1635 14
38 203083 1616 140
20 181707 1105 6
15 160906 1600 10
32 212028 1625 154
19 80061 1595 16
26 285402 1127 102
17 19990 1591 11
23 165699 1639 12
31 216129 1015 88
15 210032 1631 162
21 22730 1603 17
29 62392 1036 6
15 43342 1110 5
14 123651 1480 7
21 139756 1239 94
29 170794 1473 8
26 48170 1231 11
21 166381 1459 121
25 188805 1627 13
15 208934 1000 5
12 154106 1626 13
42 215314 1639 157
26 188874 1602 149
24 217640 1643 164
24 214916 1171 100
15 53500 1249 12
25 68923 1635 9
33 124095 1134 93
20 190010 1096 6
23 187352 1619 156
20 95642 1640 16
24 154735 1653 161
28 89293 1610 10
43 147860 1527 115
17 132641 1504 107
104 199631 1547 18
17 107417 1618 14
22 101190 1688 16
38 111082 1659 148
21 20144 1561 15
27 242625 1439 18
17 160762 1642 11
21 98120 1199 15
18 127770 1100 6
14 62024 1659 17
63 257049 1656 200
22 25331 1188 14
23 158901 1123 96
95 582659 1661 378
21 19694 1621 10
19 204249 1715 16
20 177741 1124 5
20 311158 1612 141
17 157280 1054 90
12 82646 1049 5
13 94845 1040 5
15 134650 1563 152
22 129961 1356 10
30 93013 1635 149
24 68558 1681 19
29 155795 1635 11
21 46974 1671 18
24 220688 1700 23
36 211921 1671 160
21 144083 1478 13
21 32033 1153 4
18 114555 1627 8
25 201438 1495 101
23 95969 1666 154
23 169913 1649 149
22 160546 1138 89
21 137584 1133 5
17 201987 1038 82
15 115281 1129 5
14 129285 1117 6
19 119933 1142 91
19 77357 1142 84
14 33942 1098 5
14 33840 1208 5
15 96390 1107 4
15 48885 1142 7
27 13043 1129 4
43 243828 1717 198
22 86208 1125 101
19 17282 1670 13
24 22217 1128 7
17 341670 1144 98
17 159665 1132 5
16 165237 1628 8
20 258334 1687 15
26 125104 1354 8
23 219860 1697 155
28 67981 1166 7
14 15622 1693 7
32 193825 1538 174
24 191722 1141 89
16 37803 1258 6
18 162318 1742 157
26 29161 1129 4
29 224953 1669 160
36 222210 1555 153
31 137461 1165 92
32 143775 1587 154
77 127631 1083 85
13 109793 1604 11
51 22070 1431 13
26 228474 1648 15
60 240946 1653 170
20 65233 1722 20
25 20277 1193 11
15 111330 1674 16
31 105484 1184 8
21 162745 1678 17
28 267663 1263 15
17 199707 1121 5
13 37332 1237 10
16 14980 1681 17
24 315657 1724 160
19 108008 1648 14
25 139862 1659 22
23 193413 1484 113
34 101384 1073 4
16 155292 1069 86
19 328226 1641 160
48 157483 1587 148
22 16897 1574 10
20 138132 1689 8
29 120259 1138 93
15 40924 1185 7
20 268652 1690 153
19 121188 1823 22
27 20845 1691 17
21 22748 1716 19
26 176072 1232 8
15 54030 1671 11
28 138624 1537 159
24 140046 1112 8
15 117950 1743 20
22 145537 1700 24
25 150166 1705 19
22 166840 1352 13
19 208072 1076 6
16 13035 1673 17
25 156409 1601 149
21 248763 1611 156
26 176260 1084 83
17 22608 1630 15
21 93183 1663 12
23 17855 1536 12
25 176974 1691 145
25 52279 1712 19
23 121644 1240 94
20 165265 1680 155
20 237563 1206 6
33 254012 1514 131
23 217933 1724 8
25 67114 1287 14
35 248390 1273 10
19 123035 1798 19
38 84250 1170 8
18 22119 1154 6
20 254526 1743 156
28 88211 1706 17
81 212654 1641 208
18 60992 1075 4
15 236168 1651 137
15 25991 1715 20
43 146104 1370 154
26 29772 1055 4
19 19510 1530 12
18 21462 1744 21
22 18097 1468 18
48 80330 1533 8
20 120486 1072 4
15 94632 1511 16
25 144494 1157 5
29 189067 1250 101
28 91276 1762 164
23 33784 1741 14
21 19544 1195 9
15 26384 1895 39
32 74605 1321 13
16 14424 1217 4
13 85429 1150 7
13 18288 1714 17
24 237530 1163 6
14 143611 1243 10
18 145197 1224 7
18 133902 1848 15
15 13307 1160 4
15 149571 1099 4
16 237061 1618 111
19 49454 1115 5
23 208601 1135 90
17 30713 1295 28
24 165583 1077 5
14 187192 1670 58
24 148877 2056 176
28 67301 1688 14
25 144062 1070 4
13 22107 1725 18
36 40969 1872 21
26 71530 1174 5
14 88879 1197 6
19 49971 1166 7
