RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
36161 4367 3315 49464 30 34
40219 5039 6049 64400 46 39
35330 7521 4292 55815 29 47
33592 4626 4126 55187 35 78
38599 3413 5412 56526 44 28
41182 5297 4719 60845 31 45
37495 3726 5872 75110 43 39
63065 7203 4169 57998 31 40
43050 6744 3556 64585 31 28
34529 3814 5621 70610 31 39
44753 5113 5945 64473 31 40
38573 6126 3691 59248 31 29
77031 6386 6044 70406 31 39
35026 6106 3688 58265 30 40
39137 4851 4442 58713 91 38
47968 5862 3696 64361 69 29
37963 3905 5257 55427 46 54
42871 5598 5625 118790 32 38
41721 2875 5960 67901 45 38
52428 4147 3816 75373 49 32
61312 4211 3865 54130 29 55
36721 6265 4540 57499 45 40
39251 3839 3612 58843 33 32
59164 4886 4157 55267 46 48
37450 4491 3860 53834 118 29
47620 4051 6393 55299 27 27
38278 3985 5180 61322 32 26
32665 6099 4552 55247 30 23
35546 4206 4233 51207 39 29
38724 5576 3902 57855 30 40
31337 5221 3954 51928 27 29
28485 3715 4281 59423 30 102
35167 2790 3280 53373 28 52
28199 4452 3261 50900 27 23
33007 4908 4607 48372 28 23
33918 3080 3237 64108 45 37
48839 4131 3883 51697 31 29
36606 3219 3849 50722 47 27
40080 6875 3961 62212 31 26
39527 3362 4695 56799 33 41
37337 4828 5654 57133 30 27
38335 5160 5830 52054 33 42
61089 11098 4474 61513 45 29
36478 5575 3767 54221 30 26
37655 6089 3722 59748 30 40
35556 4566 4706 54826 41 28
35599 4790 3753 61435 30 28
36463 2789 4045 51709 31 23
37727 4267 3761 63864 27 24
36509 3532 3346 49341 30 23
35191 3030 3383 49039 27 35
37464 4826 3214 48122 30 37
32103 5949 3513 48235 26 24
36996 3505 5835 55328 27 99
36216 3330 4388 49802 31 38
42675 6027 4992 74790 46 61
41891 4269 3833 50697 30 27
36259 4356 4277 69067 30 27
38281 2942 5198 58635 30 26
40323 4900 4964 53374 33 38
38899 5452 4139 57361 46 51
42480 6685 4599 87176 30 50
38935 3886 3976 55944 44 28
34874 3522 3688 56313 45 41
45282 4502 3268 56117 33 29
37058 4358 4548 60320 31 28
36734 3706 5768 64683 31 28
37247 5259 5299 58472 27 39
29447 7186 3689 49727 27 22
34031 2440 5084 49561 27 46
37319 4376 4533 55017 27 26
40237 3401 4979 53788 31 36
36401 3588 3175 49606 46 24
41487 3062 3175 52802 46 25
47422 4684 25123 72158 31 41
37078 4031 5675 55600 34 28
35601 5236 5205 70277 44 29
38191 4238 3431 52315 46 28
40596 4561 3798 67646 32 51
44518 5295 4100 63794 48 58
98252 4637 3492 57392 45 39
38159 4642 4056 54451 30 55
33869 4682 4984 56637 30 28
39397 3677 3720 51985 45 29
35730 4078 3891 54874 30 39
38677 5132 3914 48729 30 28
46477 3628 3390 62417 28 24
34740 4304 3268 48158 50 44
30311 5554 3378 46745 30 124
30576 4027 5072 47759 29 29
34273 4496 3186 45783 43 24
32311 4267 3202 52692 44 29
40492 3429 3980 51843 46 29
62961 12464 4097 65479 31 24
40198 3059 4704 56535 30 27
40712 4406 6624 73346 46 27
37507 4607 3655 61665 29 27
38944 2987 5925 59826 32 27
37324 4317 4424 57815 31 40
54221 4220 7510 55453 30 26
38223 6308 5995 51847 46 27
36746 5641 3992 59699 30 35
41509 3844 3889 57886 45 41
35484 3557 4567 57494 44 27
40476 5109 3970 61141 46 28
53035 6316 5953 56743 46 30
38520 3565 3597 50651 30 28
38739 3395 4592 61351 31 30
40369 3157 4386 57938 31 28
44732 5603 3447 94469 30 28
54914 5140 5342 80542 48 40
65453 4083 7478 85986 31 28
39770 4640 4456 86142 48 40
47832 6873 5283 70080 41 41
57750 5954 4844 89088 32 39
50158 4780 5064 81244 129 28
52603 7975 4865 65191 44 39
47146 7889 3960 81000 30 56
41516 6076 3987 57259 30 29
51310 3799 4035 72465 30 53
35676 3355 5484 60269 45 39
51462 5665 4302 61790 48 43
36304 5477 6258 46824 28 22
35393 3228 3639 53684 27 24
39874 3881 7356 64374 27 41
30495 8003 3985 52791 44 25
38160 4749 5206 63846 211 80
43585 4305 5311 58544 31 38
39227 6206 7016 61829 32 40
48210 4545 3564 76782 44 41
135174 8905 7520 117179 30 67
58408 7859 9425 106357 46 61
51755 5953 5298 75600 97 30
68099 10456 8606 64957 32 37
50853 5234 5274 64975 58 43
53539 6289 6586 69252 44 75
54180 7981 6071 64500 30 38
130047 8349 6814 67448 45 55
41233 3429 5843 63300 32 27
33366 3642 6583 62412 27 29
51649 36355 40592 142789 42 65
95875 4602 3743 62421 49 26
39712 4009 4250 92978 51 40
48649 5040 4501 71104 47 29
59197 7327 5740 58978 44 64
35333 6447 3666 70893 40 151
91672 5842 3816 89688 31 36
41076 4878 3723 56558 32 27
41715 4242 5015 84201 71 28
38500 3342 3425 55653 32 25
43061 3673 5023 57951 32 27
42517 3588 5840 60059 52 45
54790 5901 16029 91674 74 29
53653 4536 4420 66761 34 43
50137 4140 6518 92029 43 37
61287 3513 5725 57284 29 43
43724 6461 5562 62042 44 28
40302 4710 3774 71923 34 58
45470 5887 4588 70815 46 39
62586 4455 3649 382648 42 30
210545 9806 8372 132428 41 28
48528 5320 6387 58067 60 41
35851 3674 3163 58796 29 39
41719 5153 3585 77025 45 27
35278 4971 4821 49966 29 23
