RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
51019 3464 7473 85084 26
51666 3434 7545 85567 25
51030 4806 7437 85758 26
52102 3744 7503 85264 26
52025 4450 7450 85152 28
52876 4559 8073 93224 31
52831 4579 7484 85951 29
52240 3948 7480 118369 27
52332 3773 7602 85110 25
52646 3805 7511 86169 27
51401 5611 7434 84814 33
51854 3308 7479 86875 27
50438 4698 7443 86906 28
52369 5242 7894 86674 28
50839 3618 7468 87101 36
51247 4538 7435 96949 29
53627 4460 7452 86223 26
51064 3697 7526 93177 30
56492 3506 7511 93377 38
55354 3879 7671 85970 29
50814 3626 7431 88368 25
51125 4657 7513 85403 24
51801 4505 7428 86252 23
52804 3972 7489 85735 24
50132 5216 7421 85023 23
52829 3948 7747 86640 33
51055 4927 7723 88070 34
52909 3876 7505 85268 26
51165 5327 7470 85706 24
52072 3904 7443 85895 26
51374 4670 7487 85834 30
51142 3330 7462 87217 30
51816 4340 7496 85951 30
51025 5250 7467 85526 27
51710 4367 7552 90720 29
50667 4656 7517 84465 32
50269 3456 7839 87696 29
52586 4209 7860 88156 28
52879 5409 7477 85381 28
54041 3964 7637 91206 31
52627 4646 7927 90535 37
56185 4586 7966 96802 39
57444 4858 8013 90632 41
52905 3313 7924 90010 49
54192 4372 7630 86047 25
51154 5175 7448 88248 42
53480 5593 7789 88743 37
52445 4477 7487 87484 33
53160 4561 7894 87338 24
53695 4824 7419 85674 26
51002 3854 7511 88299 30
53110 4551 7622 87512 30
51689 4968 7492 90438 30
53293 3961 7814 99496 39
54570 7155 7892 85340 30
50647 3353 7429 84953 24
49889 3877 7442 85669 36
52569 5388 7763 89730 30
51468 3850 7420 85339 36
50396 4192 7445 86817 24
52178 4377 7693 88165 25
52301 5414 7877 87305 30
51226 3970 7450 85560 40
49775 5226 7456 84853 32
50890 3638 7443 85299 34
50914 3622 7710 87065 25
51233 4537 7427 86093 33
50408 4022 7476 89879 33
54011 4714 7507 85150 31
51747 3142 7494 89479 25
53589 4895 7482 88712 26
51407 3019 7740 91997 32
52320 5546 7473 85351 29
52289 3508 8073 93658 30
53685 3941 7572 85824 24
51575 3555 7443 86493 25
52408 4322 7638 87835 25
51704 4375 7418 84772 33
49924 3755 7397 85390 23
52185 3753 7464 88232 37
52002 4088 7648 86010 30
50696 4864 7760 88394 113
52250 3664 7418 87024 32
50776 5329 7868 87796 32
50838 4507 7403 86357 25
51776 4763 7431 85293 23
50626 3442 7405 85169 31
50905 3769 7421 85971 28
51618 3932 7462 84983 26
51043 3112 7407 84663 29
51132 3825 7388 85433 66
51850 4006 7441 84917 40
50863 3498 7409 85028 24
51935 4918 7387 85915 57
50263 4294 7399 85185 23
51696 4245 7725 88895 25
51565 3049 7391 84486 25
50023 6284 7434 84284 25
51316 4374 7413 84396 31
50451 4288 7410 116058 24
50502 4505 7404 84618 28
50642 4105 7447 85089 24
50743 3775 7376 84700 23
51180 3539 7409 85330 24
49735 3580 7390 84982 32
51542 3944 7426 84331 25
50746 3636 7444 85062 33
52721 4832 7426 84799 28
51207 3469 7414 85032 25
50119 5295 7689 88465 26
52419 3254 7436 84564 24
51227 4357 7460 84671 34
