EStree IncrementalDynamicSSSP Dijkstra Dsource
3038 28327372 673 4769 4892
16 12534313 1233 1516 3442
824 2084980 1083 171 344
22 4539244 1102 627 1131
34 1887764 1099 1771 1115
36 737972 1101 100 54
162 2453116 1117 293 417
23 736042 1112 112 48
424 3369892 1158 327 378
305 8608715 1109 515 791
326 830527 1228 136 79
17 2018622 1552 482 1117
81 467469 1088 79 17
83 1009991 1161 198 236
33 3712428 1117 131 52
152 2383202 1098 274 362
22 223146 1085 4 6
21 718127 1163 128 60
23 2134575 1090 319 950
230 1522184 1128 169 184
