RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
2138 409 1040 7433 4
1735 292 849 6139 3
1375 260 715 4978 2
1155 215 607 4477 8
1126 232 600 4465 3
1110 212 603 4566 3
1111 266 604 4532 10
1164 221 618 4599 2
1067 228 599 4505 2
1083 213 608 4815 3
1099 214 606 4482 3
1105 212 617 4669 3
1163 224 616 4787 4
1187 213 615 4693 3
1153 197 607 4464 2
1139 222 626 4663 3
1108 208 598 4768 5
1252 210 616 4639 4
1148 221 603 4443 3
1120 214 600 4508 2
1107 212 598 4503 3
1089 220 632 4950 3
1179 222 648 4663 4
1157 234 658 4649 4
1150 212 634 4689 4
1142 211 625 5139 4
1177 230 665 4709 6
1124 219 621 4735 4
1122 230 640 4815 3
1177 238 645 5761 3
1101 223 598 4456 3
1097 217 602 4432 2
1082 222 598 4464 3
1087 203 609 4560 4
1191 220 607 4623 4
1126 216 621 4699 3
1128 212 629 4574 4
1170 219 622 4634 3
1174 218 612 4495 3
1118 195 589 4421 4
1241 240 689 4458 3
1077 216 591 4371 3
1104 263 587 4365 2
1130 245 586 4407 3
1120 206 640 5164 3
1120 217 603 4522 3
1155 213 612 4531 4
1129 207 620 4612 3
1110 204 583 4409 3
1083 223 580 4357 3
1089 244 583 4347 3
1103 218 585 4366 2
1087 223 580 4389 2
1089 227 583 4357 2
1099 211 583 4389 2
1104 194 583 4510 3
1197 222 633 4720 3
1178 224 622 4732 4
1159 239 621 6799 4
1180 221 652 4849 4
1197 262 629 5194 5
1155 257 619 4692 4
1232 230 955 5282 4
1228 222 626 4527 3
1096 223 643 4486 3
1149 224 582 4416 4
1084 222 616 4433 4
1167 222 597 4515 4
1106 198 576 4349 3
1261 229 619 5742 4
1166 246 630 4649 4
1134 197 596 4484 4
1076 232 601 4348 3
1080 251 575 4366 3
1134 215 582 4388 3
1206 206 641 4662 4
1095 217 570 4385 8
1090 197 572 4307 3
1106 212 579 4347 4
1106 206 578 4345 5
1076 215 573 4401 3
1089 219 573 4329 2
1096 180 573 4328 7
1107 209 590 4314 2
1096 198 593 4409 2
1083 218 572 4308 3
1216 219 640 4786 3
1129 212 618 4692 3
1237 231 613 4563 4
