RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
10349325 40689 73833 9312826 390
10755706 40301 97254 9058915 499
10901030 40452 96882 9057919 464
10852285 42821 98358 9571031 409
11134940 40079 97075 9358784 470
11207811 40450 73704 8895362 450
11077314 40025 74424 9028411 465
10763894 41700 80720 8990586 429
10851207 41492 73679 9110709 366
10810176 40161 73379 8801481 380
10681082 39961 76151 8985760 375
10925211 40293 73923 9003583 495
10895231 40528 74395 8904644 417
10632727 40220 73664 8898660 244242
12283344 40020 73711 9638202 358
10804753 40008 73930 8990732 1341
12048277 42194 76910 9131840 390
11278705 40113 73065 9691422 838
11758783 44003 80131 9601764 886
11168161 40359 77690 9287594 664
10874185 42946 75164 8895834 1351
10966766 40875 75797 9131411 370
10942011 40379 73871 9107593 1443
10993562 39833 73822 9175787 489
11174946 40192 73701 9604166 1345
11211915 40152 73817 9448268 787
11014555 39990 73272 9115150 1319
10907185 46884 80658 9136562 494
11150472 40091 73632 9061226 3039
11174461 51400 73512 9104592 410
10978589 40209 75432 9385386 420
11082218 40242 73528 9348227 450
11116825 40264 73934 9720950 411
11109401 48088 85007 9420019 685
11797714 40685 73839 9648762 412
11291033 40245 73670 9397991 804
11193264 40049 73635 9338960 412
11088690 40400 73300 9445164 1249
11120908 40347 78692 9330694 2734
11256886 40437 73796 9323063 2625
11242253 40283 73743 9069397 1248
11435647 40179 73780 9772321 1856
11692872 42615 73911 10021967 1373
11125775 40198 76155 9096950 2074
11214529 40562 75232 9417208 1567
10986586 41728 73616 9731450 1407
11070470 40486 79004 9319959 1700
11705609 40396 73978 9371489 1303
11574562 40141 73774 9372201 1313
11874426 41522 73283 10184947 3232
11317265 41059 73552 9957581 1650
11404737 40050 73535 9914575 3102
11429103 40321 73669 9727752 1770
11561523 42567 74113 9857463 1992
10980547 40212 73793 9418288 398
11442717 40212 73575 10012153 1758
11253837 39969 73557 10137176 667
11140572 44291 76349 9648021 406
11492670 40008 77447 10292318 1495
11296713 40091 73790 9935632 1193
11435191 40263 75867 9045656 1415
11234247 40140 73815 10117447 781
11342857 40049 73706 10317539 1832
11339329 40888 73556 9901582 1577
11502628 39807 73720 10222325 1299
11671650 42046 74144 9661620 450
11659460 40421 73128 9922920 1815
12226089 40230 73948 9910298 1677
11087386 43145 81993 9374672 2053
11094322 41690 73590 9902270 1956
11460394 40141 73286 9270028 1663
11737719 40045 73889 10258843 1162
11043005 39981 73268 10133303 1578
11267122 41123 76709 9801446 2028
11296753 40148 77117 9783892 1385
11056285 40189 73928 10023111 427
11210898 39894 73218 9829321 849
10956799 40163 73472 9758533 416
10961664 40028 73346 9806504 345
10901062 39838 73266 10100688 1559
11195447 40131 73589 9804018 405
10979962 40135 73437 9673886 4118
10703565 40051 73172 9740177 1502
11018783 40044 73328 9222646 1801
11003008 40233 73262 9741474 1601
11197546 39972 73341 10167536 1436
11266788 40042 73280 9747726 839
10984129 40016 73381 9850529 1517
11002232 39789 73087 10111614 1372
10968585 42026 74914 9740507 683
10999056 40073 73313 9483115 1753
11428946 40071 73088 10000858 625
11117362 39806 73145 9477218 725
11388434 39909 73848 9729501 426
11463537 40282 73148 10178588 418
11226916 40340 74314 10123826 963
11693425 40275 73442 9823787 421
11626256 42456 76418 9319916 919
11193316 39905 73523 9713657 1337
11134880 39905 73253 9657909 419
11134361 43462 78096 10189970 352
11384304 40497 79403 9685950 709
11180329 40059 73304 9756652 2197
11360181 40191 73181 9652905 1390
11356397 39969 73350 9643350 1611
11225475 41967 73618 9779549 1688
11339604 40027 73279 9822687 371
11528134 39988 73645 9265036 339
11209047 39675 73502 9710648 337
11311265 39857 73338 10203777 1882
11286497 41933 75196 10239882 1891
11747856 40510 73619 10851665 965
490542514 40796 73283 10112791 826
11328922 40053 73565 10395905 2733
119613440 41047 71521 10448688 1934
11301342 40008 73462 9965489 1340
65498223 41510 72303 9472390 1709
11298328 39847 73396 9886800 1402
10970750 39945 76246 137966473 1344
10929962 40095 73111 9856177 385
11042356 39919 73173 19359546 1534
11371337 40006 73290 9991561 1439
11577222 43154 76794 11367565 362
12851277 39877 73074 27964165 1155
11785218 44561 79068 9958621 1260
11365579 40104 73227 9966208 558
96273664 40030 73054 10562196 418
11131492 39988 73234 9812441 2623
19916325 40047 73435 9988431 1283
11042994 40069 49974 9944831 1118
424149746 41711 49752 12902934 932
11636032 39927 49851 10705136 505
11962766 40060 49860 10336285 331
11299641 40163 50114 9537018 1945
11530633 43865 53312 9481512 414
11703420 40222 50153 10278146 1123
12127498 40428 50031 10426269 1742
11729150 40322 50170 10324823 1406
11854727 40212 50187 9507879 1398
11642167 40068 50145 10383199 1437
11775258 40326 50118 10026949 1609
11480321 41228 50021 10084619 1298
11733280 39982 50020 10631541 1199
11821839 39883 50347 9630470 1890
11925220 40325 49987 10673543 404
11927767 40213 50116 10275147 404
11587137 40605 50071 845176 1402
11555302 40692 50137 9692920 402
11760423 40115 49730 9609722 1254
11838111 39986 50060 10151706 447
11731623 40124 49799 10793987 340
11569639 40168 50640 845137 919
11549336 39920 50026 893735 339
11582180 39757 49959 873607 1211
11759044 40317 50215 846314 397
11587439 40195 49968 843819 1331
11653764 40019 50049 854464 385
12264667 40235 50023 846956 400
12190466 40194 50061 853781 416
11770245 40271 49982 847047 1213
11742129 39969 50004 847520 1299
11947735 40272 52383 845522 442
11941835 40184 49866 846016 1800
12166598 40280 50118 854803 1272
11961508 40170 50617 844860 1185
