RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 3 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 3 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 3 2 2
2 2 2 2 2 2
2 3 3 3 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 3 2 2 2
2 3 2 2 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 3 2 2 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 3 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 3 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 3 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 3 2 2
2 2 2 2 2 2
