RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
49501 2794 6783 98841 348 1596
49826 3379 6738 80977 39 1640
52655 4773 7151 84709 35 1699
49787 2673 6742 81273 42 1583
49554 3608 6750 79328 48 1618
49748 3636 6753 80758 47 1570
48610 3281 6756 79584 43 1565
48653 2977 8079 82746 33 1586
49355 2708 6794 80270 38 1560
50468 2851 6749 80015 69 1550
50872 3734 6746 80702 45 1552
48907 2968 6735 81199 34 1556
52847 2775 6761 79774 37 1584
49176 2577 6758 79865 29 1558
49218 3412 6751 80518 41 1571
49341 2700 6758 79856 39 1549
51884 2731 6934 82436 38 1589
49541 3505 6751 79595 37 1564
49667 2580 6741 79683 38 1551
49720 2495 6738 79419 46 1561
48950 2919 6768 79610 27 1548
49418 3783 6733 80974 36 1564
50637 3061 6724 79845 31 1564
48829 2594 6763 79873 36 1557
50588 4008 6733 79606 41 1617
49403 2623 6804 79566 44 1563
50197 2650 6757 80355 41 1561
49715 2993 6752 80122 28 1561
50057 2860 6749 80416 29 1555
48442 3043 6753 80325 29 1550
52118 3564 7001 82357 39 1587
48980 2890 6759 79489 42 1562
48406 2458 6786 80030 32 1555
50361 3764 6725 80481 34 1578
50017 3585 6804 80652 44 1571
49827 2675 6726 81935 55 1572
48753 3415 6756 80197 38 1584
48444 3187 6734 79875 37 1587
48631 3203 6727 79627 39 1554
48599 3801 6775 79972 41 1560
50021 2481 6763 80362 39 1580
49590 3083 6754 79505 39 1550
49857 2634 6725 79640 36 1559
49825 2539 6728 80637 96 1548
50434 2772 7129 84316 31 1579
49323 2631 6713 79442 36 1562
50021 2575 6815 79510 42 1554
49390 3399 6718 79974 29 1552
49998 3727 6724 80444 30 1570
49235 2741 6732 80906 36 1595
49450 3868 6727 79604 39 1565
50019 2679 6793 79847 31 1556
49524 3690 6742 80592 29 1568
50340 3122 6729 80328 40 1570
50629 4239 6727 79583 30 1572
49498 3687 6707 79814 30 1558
49881 3738 6827 79493 36 1556
49508 2971 6725 79810 35 1553
52093 2580 7048 83149 30 1623
51776 2936 6742 80840 29 1583
50352 2769 7261 79467 29 1561
49863 2629 6714 79551 34 1560
49564 2649 6780 80100 29 1549
48945 2996 6711 80130 28 1586
48746 3674 6710 79588 36 1575
49558 2594 6799 79398 28 1548
49619 2653 6733 82742 31 1651
49295 3719 6728 83705 38 1660
52750 3497 6924 84792 25 1691
51359 3144 7184 85421 35 1614
51499 3244 7243 82449 28 1576
49347 2856 6751 79561 36 1599
51470 3621 6906 82414 29 1579
49777 4447 6717 80160 29 1574
48550 3363 6761 80821 35 1549
50556 2914 6745 80098 30 1559
51811 2594 6707 79902 29 1556
49125 2474 6740 80722 37 1562
49820 3183 6738 80771 29 1557
49121 3192 6717 79821 30 1584
49167 2861 6731 79568 30 1559
49224 3535 6725 79775 33 1559
49128 3146 6710 80649 34 1622
49165 3361 6717 80965 29 1548
49392 3969 6731 80207 39 1562
49319 3083 6715 79885 29 1591
50923 2572 7009 82304 29 1583
49365 3521 6711 79903 33 1565
50671 4918 6763 80162 30 1556
49222 2494 6743 80516 29 1559
48604 2880 6706 79703 30 1557
48994 2606 6725 80701 30 1576
49456 4136 6698 79933 27 1557
48682 2720 6751 80214 28 1556
49764 3014 6728 80093 28 1574
