RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1871 315 1281 8182 3 218
1409 244 1021 6917 4 187
1273 219 925 6336 5 192
1214 237 911 6341 4 194
1194 196 925 6241 5 193
1223 201 908 6313 3 190
1188 243 912 6250 4 197
1182 214 918 6298 3 189
1187 246 911 6246 4 189
1313 222 905 6178 4 198
1162 242 916 6289 3 190
1179 209 909 6287 4 189
1209 203 907 6263 4 192
1235 234 912 6305 3 191
1201 219 900 6192 4 190
1199 230 918 6259 43 190
1218 231 899 6240 41 189
1210 228 952 6210 3 195
1195 239 896 6245 3 194
1187 203 899 6225 70 186
1222 239 903 6253 3 190
1200 226 903 6214 3 208
1198 218 899 6253 4 190
1207 192 900 6175 2 191
1243 221 898 6206 3 190
1205 275 905 6219 54 187
1192 183 955 6294 4 187
1176 207 900 6208 3 188
1189 224 2095 10048 5 219
1387 219 1155 8442 6 252
1495 313 1171 7441 7 249
1273 214 914 6505 4 192
1309 219 912 6344 3 191
1219 186 978 6257 3 191
1276 259 927 6225 4 192
1252 238 896 6200 3 186
1235 245 903 6202 3 198
1217 206 902 6255 4 192
1222 199 908 6181 4 188
1216 208 893 6261 3 186
1222 251 896 6362 4 187
1207 193 890 6230 3 187
1204 225 901 6352 4 193
1255 246 908 6161 3 186
1214 263 954 6264 4 187
1205 211 896 6183 3 186
1218 264 891 6239 4 195
1194 217 893 6169 3 203
1238 228 897 6185 4 231
1191 209 904 6188 3 189
1242 200 891 6313 3 188
1194 199 888 6350 3 191
1269 217 890 6645 4 195
1200 203 892 6299 3 187
1200 264 882 6317 5 192
1204 262 974 6164 4 187
1295 258 924 6199 3 187
1219 247 891 6214 4 188
1190 230 896 6188 4 200
1260 221 887 6164 7 194
1244 215 910 6140 4 195
1191 213 886 6173 3 191
1179 218 890 6273 4 189
1207 216 892 6185 3 190
1200 198 897 6321 3 185
1247 218 894 6156 3 186
1234 217 996 6168 4 186
1181 215 895 6188 3 185
1175 220 905 6152 4 188
1203 207 893 6140 3 185
1219 232 886 6303 4 189
1196 243 878 6106 4 199
1270 246 882 6161 4 186
1206 218 884 6119 35 187
1187 222 887 6104 4 186
1192 225 882 6079 3 189
1194 209 878 6166 3 184
1183 224 881 6195 3 186
1205 236 880 6166 3 191
1214 233 880 6211 2 184
1195 234 876 6202 3 185
1213 212 895 6114 3 190
1223 204 882 6100 5 216
1213 206 891 6127 4 185
1449 215 920 6352 4 186
1221 211 879 6098 3 184
1206 250 878 6124 3 183
1195 216 885 6089 3 184
1183 210 881 6120 15 184
1300 230 883 6105 3 185
1230 236 904 6113 3 192
1236 210 884 6122 3 184
1248 185 878 6153 3 184
1196 224 878 6106 3 188
1184 226 881 6138 3 185
1189 223 878 6139 3 185
1187 203 871 6190 3 187
1217 215 894 6103 3 184
1203 223 877 6069 3 184
1228 253 878 6066 3 184
1223 224 873 6083 3 185
1226 215 872 6016 6 184
1250 209 869 6042 4 184
1234 198 872 6083 3 185
1175 240 878 6193 4 178
1227 279 927 6409 3 192
1729 230 930 6391 4 189
1307 187 910 6436 4 229
1295 218 944 6426 4 180
1268 249 916 6413 4 180
1291 214 906 6420 4 195
1259 238 905 6414 4 182
1250 193 939 6432 4 186
1306 302 909 6479 3 182
1254 222 904 6458 4 184
1262 227 923 6424 4 198
1260 213 896 6377 4 177
1304 184 894 6364 3 183
1184 234 913 6257 32 184
1240 222 908 6259 3 179
1256 208 905 6380 3 183
1278 212 914 6378 3 185
1242 212 910 6330 4 179
1257 217 898 6446 3 178
1267 194 892 6547 4 189
1328 225 910 6577 3 188
1298 219 909 6619 4 184
1268 186 897 6402 4 186
1211 224 883 6364 4 193
1259 243 903 6425 3 200
1317 195 899 6146 4 180
1239 208 921 6330 4 178
1215 230 876 8010 5 206
1300 263 878 6228 4 185
1249 234 880 6148 3 182
1224 223 877 6156 3 180
1215 197 874 6125 4 183
1255 211 873 6076 4 196
1229 221 870 6122 3 182
1242 220 877 6136 4 180
1217 239 876 6134 4 182
1255 212 908 6221 4 184
1176 210 872 6212 4 186
1209 198 877 6345 5 190
1179 210 863 6046 4 185
1269 258 859 5972 4 185
1216 209 853 6024 4 186
1204 210 855 5971 3 191
1209 192 862 5973 3 187
1192 212 872 5980 2 179
1216 194 876 5934 3 187
1195 200 861 5921 3 181
1208 233 855 5980 4 191
1261 205 855 5963 4 177
1155 216 857 5963 3 183
1245 229 880 5981 3 181
1162 208 862 5970 3 184
1199 215 851 5905 3 178
1197 238 861 5922 3 183
1195 227 857 5930 3 190
1207 247 854 5985 3 185
1263 213 871 5998 4 183
1199 213 852 5994 4 183
1187 207 859 5942 3 187
1192 219 861 5971 4 185
1181 201 848 5976 4 183
1230 225 846 5960 3 182
1246 246 852 5929 3 183
1202 203 853 5932 3 183
1152 205 855 5937 3 187
1211 211 859 5978 3 181
1186 218 867 5927 3 187
1194 201 885 5973 3 188
1241 206 843 5998 3 183
1238 206 862 6303 4 186
1222 242 876 5926 4 187
1246 249 852 5867 4 187
