RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
10679979 43970 69560 1264485 580 26363
9964420 75023 70083 1264153 2977 26882
10947406 56679 70262 1252570 1635 27107
10066874 70600 70090 1238278 1558 25883
10034349 75869 69954 1254510 1770 27102
10010088 77072 70491 1316041 885 26140
9979027 45925 69304 1241385 412 27119
10277300 71750 70258 1313411 377 27006
10856038 49993 72657 1350833 754 30616
10666689 48446 73177 1271178 1340 27056
10777320 49472 77640 1639045 1149 29179
10441723 51125 71079 1283930 863 27357
11095040 57401 73768 1258953 394 26072
10218522 74881 69687 1260388 407 27299
10253492 42476 69461 1268140 9786 26060
10201265 57534 68797 1252382 442 28715
10077133 48426 69595 1263981 381 27232
10886386 63760 68988 1264781 445 26080
11001299 55622 70688 1276127 1374 27117
10917926 57561 75287 1258299 422 26416
10218407 45136 69601 1250794 389 25940
10972933 82435 72305 1277197 401 26872
10132665 71697 69679 1250911 387 26006
10179114 61762 69227 1263159 425 26891
10909241 65660 73470 1264871 387 26117
10088948 64035 70095 1263553 419 26949
11012002 62598 69589 1259719 413 26094
10846815 53542 69697 1261650 373 26815
9854525 44844 69539 1244269 374 26031
10879038 47290 82773 1327517 391 26871
12122703 47499 71759 1308824 4232 28385
11465719 46917 79754 1309565 374 27016
11048397 69796 72127 1253563 373 27745
10322946 45730 70791 1301535 352 27087
10992943 56511 68943 1251805 1614 27007
10876487 50108 68819 1309030 374 26076
11073730 47584 69782 1255870 1809 28768
9857217 66275 70037 1338574 1415 28087
10023819 47587 70121 1257841 1845 26874
13139639 43307 72793 1306977 3893 30418
10890210 65921 71757 1250785 4513 26982
10188258 49655 70487 1290925 2732 26379
10380225 61583 69896 1295170 5690 27148
10505649 71589 69754 1258756 961 29393
10763614 71081 74860 1344068 425 32564
11635784 56996 70675 1267193 1731 28003
10476359 49359 72140 1344315 1940 32185
11538423 65910 75197 1307398 1191 27392
10030218 46467 69444 1245335 1830 26412
10101297 55212 70596 1317141 1090 27740
11036912 62589 69556 1275527 2581 26438
10071950 52408 69823 1293084 2021 26827
10872113 77958 69955 1293194 1210 26444
10690940 48411 74643 1255869 1529 26554
10600432 82003 69641 1274189 1708 26387
10423923 51570 70187 1283973 2713 28015
11053887 72081 70045 1236096 1250 26757
10939011 63579 69812 1299624 1628 26960
10209319 56145 70698 1268991 2703 26918
10157134 51854 74642 1285862 4698 29349
10297673 82627 74095 1295938 1881 27942
10651202 52566 69246 1230139 929 26785
10129420 77644 68854 1260121 1949 26984
10954253 44060 69542 1285753 1267 27060
10905161 69724 70722 1263791 9277 26890
10977741 50112 84759 1295227 1178 29958
10559798 67360 70115 1274756 1364 27826
10047760 51443 71711 1321637 10790 35754
10599143 71564 70698 1276526 1843 27667
10043773 62774 69531 1312400 1802 30414
10838693 45725 69426 1323708 834 26447
11141498 58307 69677 1273317 400 27267
10333912 55250 70867 1267040 5310 27294
10263525 76997 72610 1298814 831 26983
11118695 69292 69634 1279357 1291 26769
10854670 71204 69043 1340127 1620 28070
11074968 53143 69262 1249118 1466 26861
11054330 50672 69881 1261939 1556 27368
10431551 54386 69816 1277529 2418 27690
10940854 42325 69329 1255566 1752 25998
10972772 43319 70209 1288275 1595 27898
11068670 77613 70904 1269535 2734 27745
10973367 48962 68956 1270968 1748 26368
10252628 50319 69343 1323240 821 27719
10949502 58713 70484 1326545 1570 27003
10134348 60982 74733 1274081 917 27580
10761840 88039 74560 1301631 813 28518
10358936 70223 69173 1281405 1911 28805
10997316 50784 70442 1263315 1247 27013
11121191 64183 78241 1264805 1550 27086
10881740 80228 70943 1284068 11757 27182
10883409 54545 74445 1316632 970 27969
10414372 65062 94776 1294324 1356 26997
10319282 76111 70051 1329564 3363 29688
10708924 65893 69048 1316919 750 29780
11029302 62602 70117 1290256 1466 33355
11339508 85231 75475 1306983 1326 26967
11149947 42388 71800 1281143 1371 26802
10912673 58357 70057 1279051 852 27112
11637692 105738 90264 1477371 781 35485
12289908 73908 81248 1319294 3864 30584
11824789 74327 74130 1314743 1386 27195
10530763 65696 74149 1325485 1562 27499
10350621 55908 73305 1363033 1323 33706
11142428 44284 69034 1269078 1690 27057
10809939 73013 70161 1268740 1167 26924
10051329 52164 74040 1254719 1326 27224
10216941 50671 69329 1235232 1898 25967
10138569 64560 70654 1264558 1693 27670
10074312 78485 70084 1241556 2940 25995
11051867 65322 69629 1287680 1589 26772
10947313 98070 156512 1303377 1547 27993
11153228 48261 72487 1311661 1104 27212
11086531 44363 69550 1301639 2508 27083
11047999 57810 71598 1262563 1587 26815
10717014 60814 69279 1252485 1549 26791
10299442 50745 69967 1261831 1355 27823
10609654 45252 69708 1260184 345 26086
11023054 45002 69071 1312393 1069 27746
10869927 75226 72148 1292308 5361 26966
11126347 58956 89686 1271253 1807 27422
11585972 71539 70959 1280699 1637 29832
10110135 61790 69866 1318375 2127 30675
10141182 79150 69593 1347683 2526 26853
10319761 79301 71106 1283351 749 52845
10229612 63301 71697 1304109 1835 28495
10200450 53385 69097 1258752 1131 27228
11146413 73957 70517 1291548 1477 27093
10491663 90488 78256 1372560 5615 30167
11494273 61554 72364 1295648 6294 27381
11210162 57627 71545 1269175 711 26808
11254523 64098 74484 1357722 1859 28033
10700059 48253 70181 1287053 1411 26825
10372218 71214 75061 1334522 3310 28670
11056998 75958 70350 1294851 641 28425
10930224 61751 70393 1301097 2093 27919
11003914 53000 69705 1302248 1284 26477
11513505 51045 72489 1322312 1532 27771
10280453 75160 72761 1283524 1053 26819
11028552 55837 76093 1294592 1827 26912
10306643 49661 73669 1268704 1448 26004
10319838 102757 76536 1303248 1453 28088
10907406 61116 73111 1305374 2390 26779
11344064 49137 72400 1301568 1423 28404
10542715 51281 79479 1293512 2477 28536
11335061 57947 72896 1379642 4313 29348
11023863 66876 70632 1286858 1808 26061
10924193 65299 70807 1280457 2719 27990
10216583 76759 72459 1318049 2369 26846
10846991 51523 72965 1293154 2337 28355
11038372 48025 71275 1323186 436 38666
10210350 66117 69988 1260409 1790 26930
10105974 62840 70426 1278848 418 27590
10328237 75831 70299 1243605 3231 27224
10180305 62140 75985 1280737 1547 25860
10250062 69387 69906 1276154 629 26407
10730374 60237 70317 1286377 1442 26132
10979895 47109 69736 1262857 1912 27728
11014742 46452 69616 1370666 1629 28544
11780250 68114 70258 1251889 2662 27694
10746357 62628 72473 1306630 1424 27743
10254617 64720 72162 1355728 3141 26917
11080596 47394 74259 1294688 1815 26852
11063119 48575 79001 1345328 1683 26966
11346065 73053 72638 1288360 2355 26562
10588878 60341 70442 1318335 1389 26906
10679586 72557 69446 1284440 2539 27537
11057049 67980 73359 1285479 2105 27825
10169009 62730 72335 1319239 2232 26815
10881068 60193 70305 1316671 708 29618
11260257 79477 71492 1310406 1941 27868
10914419 48150 72061 1254280 1981 27841
11162852 42968 71011 1319438 1435 29755
10252994 50848 73403 1312265 1982 28814
11334595 43053 70670 1347688 2087 26876
11357803 45468 69944 1372950 1035 27845
9954523 73642 73829 1307099 1580 26076
9923548 61236 73519 1277862 2223 27735
11033920 55793 70511 1257272 2712 26983
11048462 72326 69359 1265436 371 26477
9886766 42859 69356 1252839 1310 25942
10990164 78081 69389 1249049 1078 27958
11002605 66267 69514 1280063 1108 27180
10990871 50269 70727 1260629 2850 26420
11170557 66759 69540 1272746 1285 26045
10661179 49781 69787 1244847 1789 26865
11051681 68370 70334 1301622 1296 26951
10066132 48887 72790 1252505 2008 25960
10980350 67668 70490 1274100 1376 27152
11048093 48543 70314 1271430 7025 26872
10316669 59126 69068 1268206 920 26977
10143398 93102 74837 1317290 1057 26020
11050076 56291 69487 1277315 1597 27957
10306057 51094 70008 1284254 386 26029
10175053 45245 69648 1277489 1325 26855
10264588 53805 69165 1289658 1268 26934
10176054 66593 69532 1271884 1262 26043
10102831 53113 70945 1244515 812 26802
11027204 59169 70492 1253494 374 25991
10977661 41848 70691 1256221 3301 26759
10994945 43624 72302 1245413 1161 26013
11008596 70204 71475 1261184 404 28543
10001675 42453 70217 1253153 1290 27127
10620397 55897 69659 1277979 2085 25999
11045114 53959 69619 1277054 1004 30012
10321663 61803 70748 1255829 385 26020
10989641 46273 69481 1271547 1321 27799
11064206 48053 70645 1268606 352 26344
11045683 67929 70192 1260159 661 26987
10059708 75051 70103 1281291 1294 26665
10364264 76532 69885 1270987 1987 27638
10283193 65236 70429 1263262 1544 26844
10336021 58647 70176 1310293 695 26980
10310046 72652 71071 1234446 3557 27074
10317827 82669 69448 1244919 1491 26751
10313924 42080 70424 1308747 1210 26754
11180197 46865 70631 1267826 974 27718
10328643 43525 72485 1261445 1227 25887
10167047 63376 74679 1276512 2564 26807
11218506 44632 71415 1241665 1872 29768
11060455 55757 70297 1327255 1594 27725
10240152 45371 72944 1269655 342 26157
10298311 70631 72618 1268906 2039 26405
11362631 55727 70557 1310749 3736 29750
10104078 44217 71065 1284893 558 26606
11320139 74117 70068 1311759 1266 26698
10356431 58871 77250 1273894 984 27676
10623608 51351 70276 1296606 1316 27914
10217507 74703 78412 1357875 646 29670
11275357 46907 69745 1252648 1613 26710
11283336 64761 77487 1297162 743 26255
11290053 42916 70268 1275271 672 26515
11555635 76276 71549 1294905 2882 27845
11240696 69950 72080 1263614 1264 26634
10286276 66833 71472 1290089 1280 28036
