RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1106822 22138 30008 374669 603 11138
1115437 22468 28497 362807 159 10957
1097449 14361 28662 363333 854 11059
1094206 13621 28418 362136 571 11029
1189839 19019 28804 363098 2284 11131
1104085 24662 29958 527988 158 11165
1095176 14195 28668 361821 304 11210
1191269 19771 28615 565422 226 11683
1095196 21005 28843 379156 599 11161
1093269 22572 28785 362479 664 11237
1095282 25881 28555 528635 263 11205
1098443 20404 28778 520246 931 11700
1100591 18353 28534 368846 507 12062
1111749 20162 29006 370224 1469 11335
1096492 15124 28801 364652 140 11350
1197686 17616 28835 529512 4760 11556
1141936 18191 29110 539460 661 11679
1100226 15043 28901 361370 593 11674
1104497 17462 29740 362701 742 11667
1100298 20925 29079 363957 129 11641
1107242 18957 29020 363918 127 11630
1104512 23643 30938 542191 129 11673
1108173 19745 29361 521073 135 11594
1108602 17634 29175 365542 137 11693
1096665 20448 29043 381626 161 12376
1121913 18001 26220 364220 1840 8877
1109164 20934 26279 362597 129 8777
1106545 22385 26288 364201 135 8739
1123257 17536 26160 361991 136 8783
1114803 15654 26266 371849 138 8696
1103855 20944 26121 364377 128 8822
1102618 18309 26166 526842 131 8754
1101398 18760 26368 364203 144 8780
1121266 14787 51011 452450 126 8929
1192867 24261 30318 416881 161 8987
1174710 14101 26305 394897 134 8903
1194717 16520 26442 389195 139 9508
1152341 16537 26762 374328 137 8757
1114686 18695 26754 371532 158 8764
1285437 20526 26791 583151 183 12237
1111384 15106 26095 369965 164 8886
1120120 14072 25978 365423 146 8863
1247539 18495 26198 401978 163 8792
1235633 18876 27941 378496 145 8769
1155221 26236 28292 432378 179 12559
1206703 21225 27020 401013 159 9452
1159605 16962 26917 382351 167 9330
1228195 21059 26481 550072 163 9176
1116603 28880 31421 395225 157 9090
1118598 19479 27011 412073 183 8967
1162390 17926 27059 373018 161 8673
1180996 27399 27358 513427 186 9088
1229859 17905 27458 370648 163 8828
1203587 22294 26868 557018 185 9623
1109939 15203 26401 535467 148 8741
1104462 17507 26180 363694 143 8849
