RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
52508 2310 1575 27571 1285
54544 2252 1761 30100 1073
48197 2140 1541 30643 667
53250 1867 1752 23656 975
52176 2289 1863 29614 643
50460 2555 1719 26581 1201
50865 1802 2213 27834 1020
39787 1931 1417 28150 661
44184 955 1775 26712 722
56694 1866 1461 28724 791
54845 2555 2235 26552 1104
43813 2707 1548 29804 685
41083 1875 2068 22759 916
45139 2083 1808 27355 805
47302 2484 1751 25867 817
50534 2783 1672 27418 680
50533 2801 1594 29307 695
38270 2085 1533 21365 843
55140 2608 1788 27456 694
44853 2138 1599 26080 867
39696 2352 1633 26117 694
41552 2099 2164 26301 1040
39180 2128 1735 22417 796
47051 1811 1750 22770 899
46491 2150 1824 24504 867
45257 1945 1632 25389 794
46853 2231 1838 24047 924
46755 2734 1879 25017 942
44375 1881 1627 24965 823
48363 2124 1895 27466 821
43799 2015 1784 21555 891
45210 2108 1911 25933 950
38423 1998 1731 28563 881
47544 2058 1934 26300 904
44855 2036 1932 26892 840
47211 2128 1696 23793 819
46279 2053 1701 26118 901
44197 2307 1858 26054 949
42268 2045 1952 27274 792
48028 2097 1871 25970 822
45379 2525 1898 25056 917
47792 1461 1746 26038 844
40914 2114 1720 25236 870
42954 1998 1703 24387 893
43594 2715 1945 29079 802
42570 1808 1611 27617 795
44113 2167 1805 25662 1145
47622 2092 1877 25983 961
45499 1608 1653 26396 865
42595 2619 1924 28319 864
48763 2624 1853 23500 885
49751 3460 2590 29703 1134
57261 3531 1841 30716 969
46687 3302 1753 29085 1051
46148 2531 1871 27159 929
46349 2438 2078 28403 1039
47890 2059 1685 30041 1140
47030 3338 1969 44996 961
56122 3099 1661 31889 1886
49965 3643 2126 31689 1197
50409 2475 1866 32203 1192
41562 2908 1973 29942 1088
46378 4713 1938 29979 1024
47710 3914 2145 29860 1230
48974 3422 2155 28951 1091
42664 4408 2098 30476 1079
50220 2476 1832 30916 1199
46378 3550 2115 30188 1029
49147 3780 2143 27240 1274
48329 5047 1948 27575 1219
47497 2334 2168 30899 1136
49787 4147 2219 30827 1129
42046 3808 2213 29513 1062
48515 3774 1854 34508 1278
47607 2015 2332 28354 1403
47643 3516 1914 28183 1363
56786 5123 2275 31293 1114
49873 3445 2819 30237 1631
52839 4003 2262 28438 1296
48022 2363 2256 32294 1344
46616 2306 1977 31414 1153
52455 3519 2331 30034 1464
49579 2403 2436 30619 1391
52979 2175 2352 29841 1400
51888 3405 2389 33298 1379
50337 3570 2174 32048 1507
53950 4338 2442 32482 1370
43897 3463 2292 30816 1207
50578 5885 2291 32480 1379
46867 2122 1916 31273 1326
42748 3988 2374 33020 1133
46184 3967 2486 28577 1309
48779 4108 2421 29541 1280
52906 2319 2407 36205 1637
55242 4046 2412 29849 1436
44141 2202 1956 25005 1429
51838 4232 2488 32745 1256
46246 2361 2892 31388 1417
48908 3723 2395 33172 1321
56199 3771 2412 30514 1238
44207 3438 2120 30894 1453
53276 6053 2095 29420 1423
51367 5339 2008 31441 1290
52313 4650 2535 33208 1222
