EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
4299 6481205 1074 9340
97 1579788 1070 85
810 1078635 2187 1177
5 1363910 2644 23
48 933687 972 51
56 851540 1086 65
5 805051 1089 18
39 776315 1107 60
5 734952 1027 15
58 846459 1057 79
4 792632 941 15
4 854387 1224 22
35 775478 1147 50
4 820969 1054 17
35 762670 958 42
5 735137 963 15
3 893385 1394 21
38 887780 960 38
4 828434 965 15
34 785553 1117 39
74 850470 1054 67
22 871713 981 32
53 781178 970 49
29 828643 1036 37
4 908080 1087 22
203 853585 1566 224
177 769956 1046 113
48 962127 2790 58
39 1137343 1052 37
4 818060 1094 25
7 1284663 1026 17
106 830455 975 69
51 781343 1118 53
77 991971 1065 56
4 1055737 1507 21
81 912498 996 63
5 1106108 2655 20
57 1075492 2869 46
9309 978929 1024 4033
5 1157667 1342 36
5 826531 1195 19
4 926855 958 16
26 1587609 1520 80
5 1049271 2499 18
4 931217 1164 22
76 1164069 1311 77
3 1093671 1290 20
94 1549197 12164 43
7 1176741 947 21
6 916623 1140 26
4 1600842 1804 24
242 1677356 1536 286
7 1352373 1164 18
37 987732 1492 60
156 926913 1080 105
4 879434 1034 16
97 768951 1372 100
31 866368 1417 28
33 867359 1236 33
5 854098 964 16
307 907048 987 384
17629 1017707 1066 14366
