RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
12 11 12 13 15 15
12 11 12 11 15 15
12 11 11 11 15 15
11 10 12 11 15 15
11 11 11 12 15 15
11 12 12 11 15 15
12 13 11 11 15 15
10 11 12 11 15 15
10 11 11 11 15 15
11 11 12 11 15 15
11 11 12 11 15 15
11 11 12 11 15 15
11 11 11 11 15 15
11 10 12 11 15 15
10 12 12 11 15 15
12 10 12 13 15 15
12 12 11 13 15 15
12 12 11 11 15 15
11 11 11 13 15 15
12 11 12 11 15 15
12 10 12 11 15 15
11 11 11 11 15 15
11 12 12 11 15 15
12 13 12 11 15 15
12 11 11 13 15 15
11 11 12 11 15 15
10 11 11 11 15 15
11 11 12 11 15 15
12 10 12 11 15 15
11 11 12 13 15 15
11 12 12 11 15 15
12 11 12 11 15 15
11 11 12 13 15 15
12 11 12 13 15 15
12 11 12 11 15 15
12 12 12 11 15 15
11 11 12 11 15 15
12 12 11 11 15 15
11 11 11 13 15 15
11 12 12 11 15 15
10 12 12 11 16 16
11 12 12 11 16 16
12 11 12 13 16 16
12 11 12 13 16 16
12 11 13 11 16 16
11 13 12 11 16 16
12 11 12 11 16 16
11 13 12 13 16 16
12 11 12 11 16 16
12 11 13 13 16 16
12 11 13 11 16 16
12 13 13 13 16 16
12 12 12 11 16 16
11 12 13 13 16 16
11 11 12 13 16 16
12 10 12 13 16 16
11 12 13 13 16 16
11 12 12 13 16 16
12 14 13 13 16 16
12 11 13 11 16 16
11 12 13 13 16 16
12 11 12 13 16 16
12 13 12 11 16 16
13 11 12 13 16 16
11 11 12 12 16 16
12 11 12 13 16 16
12 11 12 13 16 16
11 11 13 11 16 16
11 11 12 13 16 16
12 13 13 13 16 16
14 13 13 13 16 16
12 12 13 13 16 16
12 12 12 13 16 16
12 12 12 11 16 16
11 12 12 13 16 16
12 12 13 13 16 16
12 12 12 11 16 16
12 12 12 11 16 16
12 12 12 11 16 16
12 12 12 13 16 16
12 13 12 13 16 16
13 11 12 11 16 16
11 11 12 13 16 16
12 11 12 13 16 16
12 12 12 13 16 16
12 12 13 11 16 16
13 11 12 13 16 16
13 11 12 11 16 16
12 11 12 11 16 16
11 12 13 13 16 16
12 11 13 13 16 16
12 12 14 13 16 16
12 11 13 13 16 16
13 12 13 11 16 16
12 12 14 13 16 16
12 12 12 13 16 16
12 14 13 13 16 16
12 12 14 11 16 16
12 11 14 13 16 16
12 12 14 13 16 16
11 13 14 11 16 16
12 14 14 13 16 16
12 11 13 13 16 16
12 11 13 13 16 16
11 12 13 13 16 16
12 12 14 13 16 16
12 12 14 13 16 16
12 13 14 13 16 16
11 11 14 11 16 16
11 13 14 13 16 16
12 13 14 13 16 16
12 12 13 13 16 16
12 13 14 13 16 16
12 13 14 15 16 16
11 12 14 13 16 16
13 13 14 13 16 16
12 13 12 11 16 16
12 13 14 12 16 16
12 13 13 13 16 16
12 11 14 13 16 16
12 14 12 11 16 16
12 13 13 13 16 16
12 14 14 13 16 16
13 12 14 13 16 16
13 13 14 13 16 16
12 13 14 12 16 16
12 13 14 13 16 16
13 12 14 13 16 16
12 12 13 12 17 17
12 13 13 13 17 17
14 14 13 13 17 17
12 12 13 13 17 17
11 12 13 13 17 17
13 11 13 11 17 17
12 13 13 13 17 17
13 12 13 13 17 17
12 13 13 11 17 17
13 13 13 13 17 17
13 13 13 13 17 17
13 14 13 13 17 17
12 14 13 13 17 17
12 13 13 15 17 17
13 13 13 13 17 17
12 14 13 13 17 17
13 12 13 13 17 17
13 12 13 13 17 17
13 13 13 12 17 17
12 13 13 13 17 17
13 12 13 13 17 17
12 11 13 11 17 17
13 13 13 13 17 17
13 13 12 13 17 17
13 13 13 13 17 17
12 12 14 13 17 17
13 12 14 13 17 17
13 13 14 15 17 17
13 14 13 13 17 17
13 13 13 13 17 17
13 13 14 13 17 17
12 13 14 13 17 17
13 13 13 15 17 17
13 14 14 13 17 17
13 15 15 13 18 18
14 13 15 13 18 18
13 13 14 13 18 18
13 13 14 13 18 18
12 13 14 13 18 18
13 16 15 15 18 18
13 14 15 13 18 18
14 15 15 13 18 18
13 13 14 13 18 18
13 13 14 15 18 18
12 13 14 15 18 18
13 12 14 13 18 18
12 14 14 13 18 18
13 13 15 13 18 18
13 14 14 13 18 18
14 13 14 13 18 18
14 14 14 13 18 18
14 14 13 13 18 18
14 14 15 13 18 18
14 13 14 15 18 18
13 13 14 13 18 18
13 13 13 15 18 18
13 13 14 15 18 18
13 14 14 13 18 18
14 14 14 15 18 18
13 15 14 13 18 18
14 14 14 13 19 19
13 14 14 13 19 19
13 14 14 15 19 19
14 14 14 13 19 19
14 14 14 15 19 19
13 14 14 13 19 19
13 16 14 13 19 19
13 14 14 13 19 19
14 15 14 14 19 19
14 13 14 15 19 19
13 14 14 15 19 19
14 13 14 13 19 19
