RIndependent Gonzalez BaselineGreedy Bottleneck DeleteDynamic Dynamic
19877 1885 1798 14192 27 507
16856 2229 1675 20256 100 554
17867 2510 1667 20659 16 506
17889 2792 1812 31120 15 505
17446 1992 1836 14284 12 484
17650 2342 1705 20350 24 489
19322 2351 1672 19337 15 724
16247 2754 1625 19415 27 510
17423 2696 1771 22781 23 958
20610 3533 1757 20398 15 494
17073 2805 1845 19206 25 512
18502 3812 1662 20041 13 620
17030 2182 1653 18005 12 471
16082 1857 1638 18133 12 477
16691 1649 1526 17313 21 470
15676 1752 1534 13564 12 474
16174 1738 1579 13324 24 478
15856 2249 1588 17292 11 491
16764 1739 1686 13169 12 475
15621 1909 1594 18143 13 509
16182 2195 1581 17872 16 559
16657 2317 1603 16810 12 511
15382 2404 1597 18040 15 511
16240 2287 1569 17532 11 476
15903 1923 1568 13177 11 480
16884 2192 1656 17019 1283 483
15671 2220 1559 17670 19 500
16162 2041 1610 18339 30 527
17033 2464 1695 19137 14 490
17663 1955 1852 13188 81 497
15742 2595 1566 17698 13 495
15721 2131 1571 17238 12 501
16264 2247 1537 13050 12 500
15944 1916 1574 13652 51 496
16401 2081 1588 17031 15 526
16655 1985 1503 16749 29 529
16996 2640 1684 18046 29 500
15366 1787 1486 18033 23 544
15960 2272 1487 13114 15 496
16289 2038 1488 17756 11 507
16561 1694 1597 18629 667 530
16016 2535 1567 17535 15 501
16198 2143 1566 13012 33 505
16334 2182 1695 13017 20 507
15146 2256 1582 17366 40 554
15646 1929 1568 17303 28 505
15921 2362 1503 17762 20 614
16172 1885 1513 14166 17 525
15763 1862 1586 17819 15 556
16256 1741 1506 12884 23 547
15360 1858 1692 18111 33 576
16573 2242 1494 12851 21 518
16931 1742 1518 17737 12 522
15547 1943 1601 12790 11 517
16263 2592 1579 13343 12 566
16749 2875 1701 14373 29 555
17805 2696 1574 13437 12 525
19925 2909 1595 15808 44 531
17494 2542 1709 14031 14 552
15832 1999 1507 18433 26 534
16006 1976 1639 13136 12 524
16089 2209 1493 12840 11 561
