EStree IncrementalDynamicSSSP Dijkstra Dsource
3967 10109151 515 3461 3144
19 94934 510 1 5
78 121816 515 56 4
7 32772 516 2 5
23 137279 513 70 9
6 42772 510 49 4
55 108846 513 51 8
8 17004 507 1 4
6 139167 516 2 6
6 10684 507 1 4
30 119484 516 2 5
8 18549 506 2 4
5 113383 515 1 5
5 7478 507 1 3
9 91900 558 36 4
6 10899 582 2 4
8 76339 515 18 4
5 19562 516 1 4
36 157299 530 87 9
9 16875 514 1 3
10 91085 520 40 4
5 19591 514 1 3
5 117319 524 3 4
6 12478 517 1 4
6 75078 527 28 5
7 11130 512 2 3
507 84745 520 387 4
5 7752 517 1 4
6 79772 651 2 4
8 14649 518 1 4
12 86650 523 1 5
7 13590 518 1 3
9 96261 526 1 6
8 10033 518 1 4
32 94185 535 37 5
10 13807 628 2 5
11 92027 546 30 5
8 18514 546 1 4
6 82935 579 1 5
7 8977 538 1 5
20 93034 535 34 4
5 9171 523 1 4
13 63626 531 28 4
8 10369 522 1 3
12 90676 535 31 5
7 10777 523 1 4
8 78378 532 1 5
6 12289 523 1 4
137 90320 532 114 5
5 7690 512 1 3
24 78798 534 33 5
5 9447 525 1 7
7 75413 534 2 5
5 10870 526 1 4
6 44297 533 2 4
7 12502 549 1 4
20 92083 541 35 4
9 12558 530 1 3
11 71119 552 2 4
5 11742 533 1 4
7 89079 533 2 5
5 7658 515 2 4
7 62494 554 3 4
4 11170 532 7 3
19 65754 537 38 5
10 6926 544 1 5
87 68555 534 58 4
5 8097 528 1 3
13 80398 535 32 4
4 6523 541 1 5
6 69574 535 5 3
6 16309 528 1 3
19 73924 536 33 4
8 9426 534 1 5
22 78063 555 31 3
7 12339 536 2 4
5 102127 552 1 4
7 9855 547 1 3
10 55105 557 37 8
5 10081 537 38 7
7 78349 548 4 5
8 10436 542 1 6
5 58974 564 1 4
8 9116 540 1 4
9 64194 549 29 4
5 10147 541 3 5
20 63670 545 1 5
7 10705 543 1 3
26 69388 567 43 4
8 8097 547 2 4
6 54577 545 1 4
5 5892 547 31 4
5 61831 573 1 4
5 7660 543 1 4
19 61718 553 34 4
4 9476 544 1 3
7 54792 551 1 3
5 10551 560 2 4
6 92871 568 2 7
7 7151 544 1 3
9 39310 555 29 6
4 6242 534 1 5
6 76355 558 2 4
4 10871 547 1 3
7 71528 551 1 5
5 7290 550 6 3
28 67854 585 41 5
4 7390 560 1 4
5 50397 595 1 5
9 6051 581 1 7
5 78389 588 1 4
5 6938 575 1 4
7 65339 563 2 5
5 7645 593 1 3
40 56106 551 39 5
7 6428 566 1 4
16 57084 569 33 4
5 9984 550 1 4
7 75987 552 2 5
6 7416 551 3 4
5 73638 556 1 5
6 7830 567 2 4
6 64221 552 1 3
4 6858 548 1 4
5 62564 560 1 4
4 7245 547 1 3
7 96483 565 2 5
6 10602 556 2 3
13 45225 569 28 3
6 9679 555 1 4
83 68714 575 52 5
4 8574 558 6 4
6 67794 559 1 3
4 7062 558 1 3
10 54232 558 1 4
5 7330 552 1 4
12 71390 559 29 3
5 12527 551 1 4
5 62204 561 2 5
6 7218 553 1 4
6 57663 560 1 3
4 5390 553 1 3
6 61694 640 2 5
7 6355 564 1 4
29 56703 568 38 4
6 7510 563 1 4
7 67279 568 1 4
6 6413 557 1 4
4 38781 564 1 4
7 7469 544 1 4
9 72329 568 2 4
6 15061 594 1 4
6 70432 563 1 4
4 8538 563 7 4
4 103598 571 1 8
5 7906 560 28 3
111 56173 567 80 4
4 6825 561 1 4
6 60859 564 2 4
5 7156 578 1 3
16 76689 574 30 3
6 6497 550 1 3
15 69834 591 1 11
4 8338 564 1 4
7 84593 599 1 4
7 9148 570 34 4
8 44495 576 1 4
5 6921 613 2 3
6 39556 583 1 4
5 7334 570 1 3
8 63167 574 1 5
6 6974 574 1 4
11 44430 569 30 3
4 7685 557 1 3
4 55801 595 1 4
4 7790 569 2 4
5 60906 602 2 4
6 6294 567 1 4
6 54536 575 1 3
6 6429 569 2 3
11 63387 579 29 5
5 5540 572 1 3
12 55379 573 29 4
4 5484 586 1 4
104 56647 596 73 4
4 6852 568 3 3
35 53463 577 40 4
4 8842 567 2 3
24 77491 614 36 4
3 5363 592 1 4
4 49060 640 1 4
4 5332 668 1 4
4 5540 586 1 3
4 6850 594 1 3
54 67241 611 57 4
4 7469 590 1 3
6 63319 585 1 5
6 6044 597 1 4
5 98633 600 1 3
7 7836 596 1 3
46 44937 584 36 5
