RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
12 12 12 11 12 15
12 11 14 13 13 16
12 11 12 13 11 16
11 11 13 13 13 16
11 11 13 13 13 16
12 11 12 13 13 16
11 12 13 11 11 16
12 12 13 12 13 16
11 11 14 13 11 16
11 13 13 12 13 16
13 13 12 13 11 16
11 12 12 13 13 16
11 12 12 12 13 16
12 13 13 11 12 16
11 12 12 11 13 16
11 11 12 13 14 16
12 11 13 13 12 16
14 12 12 13 12 16
12 13 13 13 12 16
11 13 13 12 13 16
11 12 13 13 12 16
12 12 13 11 13 16
12 12 13 13 13 16
12 12 15 13 13 16
13 13 12 13 13 16
14 14 15 13 13 16
13 11 15 13 12 16
13 12 13 13 12 16
13 14 13 15 13 16
12 13 13 13 13 16
12 13 15 13 12 16
13 13 15 11 12 16
12 13 13 13 11 16
12 13 12 13 12 16
12 13 13 13 13 17
13 12 13 13 12 17
13 13 13 13 11 17
12 13 13 13 12 18
12 12 15 13 14 18
13 13 15 13 12 18
13 13 14 13 13 18
13 13 13 13 13 18
14 13 15 13 14 18
12 12 14 13 12 18
13 13 14 14 14 18
12 13 14 13 12 18
12 13 14 13 13 18
12 13 15 13 12 18
12 14 14 13 13 18
14 12 15 13 13 18
14 12 13 15 13 18
13 13 14 13 12 18
13 13 15 13 14 18
14 14 13 15 14 18
13 14 14 13 13 18
13 12 15 13 13 18
13 13 13 13 13 18
14 12 15 13 13 18
14 14 13 14 13 18
14 13 13 13 12 19
14 13 15 13 14 22
14 14 16 15 13 22
14 14 15 13 15 22
14 13 15 13 13 22
13 13 15 15 15 22
13 14 13 15 16 22
14 14 16 13 12 23
13 14 14 15 14 23
15 15 16 15 14 23
14 13 15 15 16 23
13 13 16 15 14 23
14 12 16 15 14 23
14 14 15 13 14 23
13 14 15 13 13 23
14 13 16 15 14 23
14 14 17 13 14 23
14 15 16 15 15 25
14 14 15 15 12 25
14 14 18 13 15 25
13 14 16 15 14 25
15 15 17 14 14 25
15 13 15 15 15 25
14 17 18 15 13 25
14 14 16 13 14 25
15 15 15 15 14 25
14 15 16 15 14 25
16 13 15 16 15 25
17 14 15 13 16 25
14 16 16 17 13 25
16 15 15 15 14 25
16 14 18 15 13 25
16 14 17 17 15 25
14 15 14 15 15 25
14 17 18 16 14 25
15 14 17 14 16 25
15 14 18 15 15 25
17 16 17 15 16 25
15 15 16 16 15 25
15 15 18 15 15 25
17 15 18 15 15 25
15 17 16 15 17 25
16 14 16 17 15 25
16 13 18 17 14 25
16 14 17 15 16 25
17 14 17 16 15 25
15 14 17 15 17 25
17 16 17 15 15 25
16 15 18 15 14 25
14 15 17 15 17 25
16 17 16 15 16 25
17 17 18 18 15 25
17 15 19 15 15 25
16 15 19 17 16 25
18 17 19 17 17 25
17 17 21 16 16 25
17 15 19 19 18 26
16 16 17 16 16 26
16 15 16 17 15 26
17 16 18 16 17 26
18 17 18 14 16 26
16 15 21 17 19 26
17 16 18 17 15 26
16 16 17 17 17 26
17 17 19 16 16 26
17 19 19 17 18 26
16 19 20 17 16 26
17 18 18 17 17 26
16 16 18 17 18 26
16 18 20 17 18 26
21 17 19 18 19 26
17 17 18 17 17 26
18 18 20 19 17 26
17 17 21 17 20 27
18 17 20 17 18 27
21 18 21 19 16 27
19 18 18 19 17 29
18 21 19 18 18 29
17 18 21 21 19 29
19 18 20 19 20 29
18 17 20 19 17 29
17 19 20 18 19 29
19 19 19 19 17 29
19 20 21 19 19 29
19 19 22 19 19 29
17 21 23 18 18 29
19 16 22 19 18 29
20 17 21 18 19 29
18 21 22 19 19 30
18 20 21 17 17 30
19 20 19 19 21 30
19 17 23 17 16 30
18 18 21 19 18 30
21 20 19 19 20 30
20 19 17 17 21 30
19 19 22 19 20 30
17 22 24 17 20 30
