RIndependent Gonzalez BaselineGreedy Bottleneck Random Dynamic
33480 3771 3273 41611 26 105
31033 3553 2857 32881 29 1047
29382 3750 3110 30999 26 28
43792 4617 3288 30468 27 60
29056 3584 2887 34655 27 80
28398 4237 2883 29894 28 24
30725 4043 4105 38457 27 47
28673 3715 2887 36095 44 26
34815 4073 3124 33715 30 39
32531 3766 3434 32579 31 25
36151 4295 3980 34157 30 67
34000 3583 3161 34366 46 47
37291 4406 3300 93664 30 27
43382 3716 3299 47263 32 59
34991 4115 3166 42870 29 38
34002 5535 6110 55495 30 38
47806 5581 3475 43905 30 93
31232 5488 3079 38609 30 25
31534 6159 3195 31486 29 46
33181 6436 5307 38399 31 122
37815 7251 6239 39637 42 27
42061 5582 2905 51472 32 106
42856 3049 2913 31991 28 45
45980 5928 4180 55842 31 86
51732 4195 2989 32291 27 158
27620 3545 3424 34149 27 99
31168 6822 3591 34087 31 27
40070 4293 3858 36576 27 26
47014 4065 4340 42274 31 25
37648 4393 2990 36475 30 23
32856 3671 3024 38933 29 105
29258 3766 4523 52889 30 29
34448 3920 3901 35708 30 95
34500 4476 3227 34501 45 33
32566 6365 3214 34860 33 27
33404 3897 3225 33516 41 27
45105 4210 3637 36036 31 28
38270 3828 4003 35073 30 5081
35510 4376 3573 33983 29 47
32483 4891 3164 39384 46 44
36177 5074 5022 37350 30 55
41687 6584 3315 36074 52 228
28933 4205 3422 42110 28 26
39720 5081 4745 30492 29 82
37494 4490 3619 44904 30 66
34421 6418 3286 34523 29 41
38710 4489 2974 35541 28 78
29858 3792 4745 33026 27 53
33605 5147 3064 31956 31 56
28423 5488 4287 33100 49 63
31061 5000 5339 41183 29 156
40859 4249 2916 38557 28 23
35126 3049 2898 37582 26 37
28356 3176 2961 41320 87 41
34394 5453 3776 35526 28 58
39466 3784 2992 30155 27 43
28706 3597 3111 34183 29 27
28909 7148 5937 46357 30 64
34674 5253 5209 61841 31 38
36283 9960 3771 43042 30 39
35702 5944 6611 53708 43 2643
35325 6575 5424 85419 45 425
37373 4733 6085 45252 44 41
30636 4634 4443 49641 47 37
64887 16090 10542 56916 46 39
38318 3803 4686 52244 31 37
35978 4345 5841 40846 46 27
65480 7934 6448 65342 45 83
42611 4028 4150 54319 31 92
36137 5141 3867 51544 41 61
49181 5993 5046 39761 30 40
33843 7237 4285 37319 30 28
26831 4970 4431 32087 27 26
28962 4374 3732 31629 27 23
23551 3951 3851 32413 64 34
