RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
9 15 12 9 14 12
10 14 12 11 14 12
10 15 13 9 14 12
11 16 13 9 14 12
10 13 13 11 14 12
10 14 12 11 14 12
10 16 13 8 14 12
10 22 13 8 14 12
11 28 12 11 14 12
9 18 13 11 14 12
11 17 13 11 14 12
10 20 14 11 14 12
10 17 14 11 14 12
8 21 14 10 14 12
10 21 14 9 14 12
10 16 14 11 14 12
9 21 12 9 14 12
10 44 14 9 14 12
11 15 14 11 14 12
10 25 14 10 14 12
9 16 13 11 14 12
10 24 14 11 14 12
11 12 14 13 14 12
10 35 11 11 15 12
10 31 14 11 15 12
12 38 14 10 15 12
9 27 14 11 15 12
11 27 10 11 15 12
10 28 13 11 15 12
11 13 14 12 15 12
11 22 13 10 15 12
12 28 12 13 15 12
10 19 11 11 15 12
10 14 14 11 15 12
10 19 14 10 15 12
10 27 14 11 15 12
10 28 11 10 15 12
11 28 14 11 15 12
10 28 13 11 15 12
11 28 13 10 15 13
10 19 14 13 15 13
11 28 13 11 15 13
10 17 15 9 15 13
11 13 13 12 15 13
11 28 13 12 15 13
10 28 15 11 15 13
10 32 15 11 15 13
11 15 12 11 15 13
9 28 12 11 16 13
10 48 13 11 16 13
10 35 13 9 16 13
12 29 15 12 16 13
9 26 12 11 16 13
11 18 15 10 16 13
10 33 12 11 16 13
11 23 10 11 16 13
10 27 15 12 16 13
10 30 14 13 16 13
12 20 12 11 16 13
11 30 15 10 16 13
10 46 15 10 16 13
10 25 14 11 16 13
11 14 15 11 16 13
10 26 11 11 16 13
11 30 13 11 16 13
12 29 13 11 16 13
11 24 15 11 16 13
11 27 15 11 16 13
10 28 15 10 16 13
11 29 15 11 16 13
9 20 15 11 16 13
11 20 15 13 16 13
11 24 15 11 16 13
11 17 14 11 16 13
11 20 15 11 16 13
11 26 15 10 16 13
10 30 15 11 16 13
11 31 15 10 16 13
10 33 15 11 16 13
11 19 15 13 16 13
10 23 15 11 16 13
10 42 15 13 16 13
10 16 13 11 16 13
11 28 13 11 16 13
12 28 12 10 16 13
10 28 16 11 16 13
11 17 14 11 16 13
10 13 16 11 16 13
12 13 14 11 16 13
11 26 12 10 16 13
11 44 16 11 16 13
12 28 13 12 16 13
11 30 11 11 16 13
11 31 14 11 16 13
10 36 16 10 16 13
12 40 16 11 16 13
11 41 13 11 16 13
9 17 16 11 16 13
11 29 13 11 16 13
11 20 16 11 16 13
10 16 14 9 16 13
11 24 14 13 16 13
10 20 13 10 16 13
11 40 14 10 16 13
11 30 15 10 16 13
11 17 16 11 16 13
11 26 13 12 16 13
11 28 13 10 16 13
10 38 14 11 16 13
12 30 16 9 16 13
12 32 15 11 16 13
11 15 14 11 16 13
9 35 13 11 16 13
10 32 16 12 16 13
9 40 16 11 16 13
12 29 13 11 16 13
10 16 13 11 16 13
9 13 16 11 16 13
10 17 14 11 16 13
11 48 15 12 16 13
11 19 12 11 16 13
11 17 13 11 16 13
12 35 16 11 16 13
11 18 15 11 16 13
