RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
7309 1164 1514 11040 23 796
5964 900 1272 9919 11 728
5958 831 1282 9589 41 739
5679 1185 1283 9771 23 730
5760 1448 1285 9671 6 727
5441 1129 1276 9776 6 732
5914 802 1279 9846 8 733
6137 868 1285 9873 10 732
5916 820 1282 9686 27 734
5754 838 1295 9924 15 729
5934 1059 1274 9891 6 730
5694 900 1237 10001 62 698
5607 860 1229 9578 8 692
6085 1147 1259 10405 11 716
5824 844 1239 9826 18 705
5596 1053 1261 9580 6 693
5715 806 1219 9472 6 679
6143 1207 1313 10062 6 770
6011 1082 1286 9403 6 745
5912 1168 1280 10032 6 755
6048 1076 1288 9416 6 757
5788 1049 1332 9628 6 740
5406 824 1272 7823 18 748
5917 1243 1282 9842 19 719
5771 930 1254 9534 6 721
5796 1078 1254 9775 12 728
5734 1045 1261 9666 6 714
5677 1022 1258 8003 6 720
5486 870 1254 9813 6 717
6003 1525 1258 8025 14 719
5953 927 1258 9627 7 735
5842 960 1285 8500 6 716
6463 1100 1248 8078 21 724
6179 994 1254 9430 7 718
6242 1034 1256 9572 6 718
5663 650 1255 9865 7 720
5836 987 1252 9477 6 810
5703 953 1249 9619 6 732
5963 847 1264 9484 31 717
6171 1177 1260 9497 6 724
5869 799 1261 8121 10 726
5785 810 1260 9517 9 724
6431 1028 1255 9437 10 722
5868 1392 1257 8330 6 722
5844 997 1270 8098 6 759
6615 1035 1352 9660 8 730
6320 879 1264 9719 8 723
6267 846 1260 9659 6 722
5640 984 1260 9232 109 719
5835 785 1257 9956 7 733
5552 1180 1257 9901 13 721
5638 866 1296 8000 6 732
5872 1251 1256 9473 6 725
5857 1183 1263 9541 14 727
5743 872 1259 9586 6 720
5704 1128 1263 7855 5 724
5873 877 1268 7921 19 718
5820 1017 1256 7817 6 725
5901 934 1274 7987 6 726
5919 1043 1258 9841 16 729
6162 1207 1261 9676 6 722
5830 781 1257 9565 7 723
5693 792 1254 9869 6 725
5963 736 1275 9869 13 724
5975 1065 1261 9693 6 725
5829 1435 1261 9759 5 726
6146 1360 1248 9757 6 724
6068 1150 1265 9420 6 720
5964 953 1307 9321 5 806
5741 1068 1315 9493 6 780
6048 1085 1326 9758 6 784
5723 917 1348 7966 6 789
5986 1127 1316 9414 5 783
5935 881 1305 9368 6 781
5927 1222 1314 10400 6 875
6183 1210 1351 10126 6 783
5949 1063 1352 10497 9 873
6660 1237 1410 10224 22 859
6506 984 1415 9922 8 811
5615 1081 1304 8028 7 802
5886 1057 1336 9821 6 813
6090 1011 1356 8266 7 809
6133 1212 1281 9685 6 761
6155 1086 1296 9611 7 784
6043 875 1272 10067 6 750
5922 1212 1201 9834 6 704
6017 1173 1184 7868 6 653
6187 1020 1257 9585 6 726
5734 865 1405 10208 6 748
5643 921 1247 9659 7 736
6134 926 1247 9418 6 743
6031 1088 1289 8099 6 728
6216 951 1238 9642 6 728
5897 1363 1251 9507 8 726
5567 1342 1237 9382 6 730
6044 1353 1241 9501 17 725
6411 851 1240 9430 6 725
6020 1041 1248 9298 6 732
6005 997 1254 9386 6 725
6074 1334 1251 9445 5 727
5573 842 1248 9424 6 725
5881 914 1240 7927 6 743
5977 711 1245 9239 6 727
6020 981 1242 9261 6 743
5659 971 1239 9414 21 728
5907 1026 1243 9220 12 722
5423 1354 1245 8006 6 731
5639 1211 1248 9271 5 735
5857 991 1269 9366 6 744
5738 796 1241 9426 6 727
5863 910 1242 9499 6 751
5644 846 1241 9437 6 724
5710 1293 1239 9154 6 727
6027 900 1260 7726 6 728
5766 914 1253 9282 6 725
5592 728 1238 7799 8 727
5926 1051 1160 9373 11 651
5719 670 1182 9337 6 670
5841 945 1165 9398 6 651
5517 1032 1164 7816 5 654
5879 1021 1169 9461 9 674
5990 1361 1167 9994 7 655
5763 908 1167 9306 13 655
5736 1372 1163 9163 6 661
5407 905 1157 9313 5 657
5659 988 1167 9631 6 651
5848 924 1166 9304 6 652
5776 1008 1154 7841 6 652
5403 678 1179 9387 11 653
6016 803 1161 7492 5 653
5755 819 1163 7915 9 657
6276 1296 1168 7808 6 650
5770 742 1169 7763 5 654
5889 991 1178 9423 18 670
5890 955 1180 7483 6 669
5731 943 1178 9669 6 668
5380 873 1176 7679 14 683
5749 832 1180 7387 5 672
5562 1365 1171 9464 6 674
6141 837 1178 9282 10 677
5832 823 1171 7461 14 682
6442 1107 1185 7825 38 681
5508 767 1185 9255 11 683
5823 1049 1182 7476 37 754
5642 1059 1183 7669 15 679
5628 1012 1191 9344 13 676
5862 1179 1187 7724 32 681
6111 1103 1164 7650 6 669
5920 962 1167 8742 17 669
5963 848 1167 9282 5 669
4514 1017 1169 8516 6 669
5591 1052 1164 7438 6 909
5800 1287 1573 9009 25 695
5439 1527 1166 7464 377 664
5295 1101 1167 7636 67 672
5636 914 1099 8562 2020 594
5074 1132 1094 8834 8 598
4654 820 1092 9313 9 597
4898 1204 1112 9042 12 616
5258 971 1171 7993 9 612
5642 785 1124 9182 13 632
6023 696 1165 8940 78 618
6102 869 1118 7963 6 641
6107 1103 1164 10619 14 640
4748 1294 1182 8908 14 658
5921 1004 1187 8523 12 633
6227 898 1143 7834 11 632
4668 1072 1148 8909 9 627
5511 926 1165 8103 10 617
4478 1333 1154 9621 6 633
5642 1467 1188 9179 10 606
6108 1186 1173 9079 119 642
6047 1440 1198 8982 7 630
5463 1074 1184 7878 7 656
5223 1062 1176 9511 12 660
5212 920 1188 7786 7 651
6259 1051 1218 8173 19 623
5282 991 1131 8697 7 619
6376 1240 1146 8623 6 621
4601 882 1136 7574 6 621
6059 1357 1100 7483 22 596
5657 1133 1116 8774 13 591
5905 979 1091 7688 10 601
6272 935 1124 9058 7 594
5928 993 1110 7506 8 619
4584 1074 1075 8357 10 587
4955 757 1067 8279 7 577
5830 875 1069 8577 6 577
5912 804 1064 7218 7 576
5409 808 1066 8423 6 570
6195 612 1074 8623 6 573
5768 1037 1072 8732 32 570
5354 974 1060 8097 6 575
4828 888 1058 8891 7 597
5859 972 1059 9202 6 575
4811 1049 1064 8256 7 575
4905 682 1060 8389 7 573
4493 965 1060 8124 5 572
4339 863 1092 8639 6 589
4882 1349 1123 9024 10 589
5332 879 1107 9350 6 602
5051 894 1102 9139 6 593
4778 742 1133 8669 10 604
5210 842 1088 8812 7 587
5576 1109 1091 7343 6 586
5933 714 1084 7557 6 571
4527 1034 1058 8196 6 575
5376 941 1074 8186 6 574
5283 1180 1119 8935 6 613
4968 744 1070 9000 7 584
4819 1055 1062 7658 6 575
5192 1075 1054 8800 6 572
4562 1113 1058 8579 6 575
4906 843 1057 8766 6 572
5944 932 1058 7337 6 573
6154 1587 1055 8392 6 575
5232 1486 1061 7184 6 574
5188 727 1066 7485 12 572
4654 947 1053 7719 10 573
5651 1012 1056 8489 20 580
5033 1098 1062 9127 12 570
5558 769 1056 8261 13 596
4755 1114 1053 8707 12 571
5055 1081 1062 8283 23 569
5615 925 1079 7236 14 568
5402 1299 1056 8374 32 569
4221 873 1053 8253 13 579
4959 684 1060 8374 6 576
5604 769 1053 8540 6 576
5501 782 1070 9189 6 578
5131 1088 1072 8213 35 584
5108 756 1067 8517 6 574
4933 992 1049 8804 6 569
5295 992 1045 8415 62 570
5458 1134 1107 8488 35 623
5390 1077 1129 8539 6 625
5214 851 1112 8636 6 621
4789 1183 1127 8116 7 629
5356 949 1105 8492 8 625
5196 1034 1100 8382 54 624
5837 1580 1098 8609 8 641
5103 942 1102 8925 10 622
5505 1086 1102 8564 301 621
5070 1103 1100 8375 208 620
5420 674 1091 8178 6 613
5546 1406 1095 8126 34 618
6122 1050 1082 8207 109 612
5454 795 1094 8331 18 608
5371 836 1091 8319 6 614
5390 993 1088 8629 6 609
5182 1046 1082 8345 6 620
5335 765 1087 8394 6 605
5213 1005 1081 8625 95 614
5015 684 1083 8146 6 611
5319 1114 1077 9052 6 648
6095 805 1098 8368 7 621
5817 950 1080 8381 14 611
4936 994 1083 8101 13 609
5282 670 1075 8337 11 609
5034 1186 1079 8563 6 606
5404 924 1116 8241 6 609
5196 1110 1073 8097 6 623
5410 1068 1078 8127 6 610
4972 1019 1081 8416 8 616
5408 1503 1078 8190 8 603
5581 881 1075 8683 7 604
5518 1298 1076 8089 6 601
5406 1326 1123 8431 6 605
5140 639 1078 8177 6 606
4942 1188 1080 8132 5 608
5239 926 1074 8199 6 608
5160 1060 1075 8602 6 611
5474 747 1082 8186 6 605
5155 1094 1067 8401 6 614
5197 929 1092 8907 6 612
5519 940 1076 8458 6 623
5263 860 1076 7883 11 608
5336 1109 1069 8192 11 612
5245 882 1072 7866 6 611
5584 1152 1094 8042 6 628
5201 951 1077 8109 6 614
5465 1412 1204 8454 6 665
5011 1102 1141 8614 6 628
5145 996 1066 8444 9 610
5611 1136 1065 8148 6 616
5520 751 1070 8215 6 609
5351 1126 1070 8515 6 609
5899 1154 1071 8499 6 609
5118 1154 1068 7734 6 608
5254 1053 1066 8803 11 616
5206 844 1066 8368 15 613
5255 1025 1071 8047 6 604
5302 1115 1062 8072 6 604
5538 867 1069 8049 6 635
5083 829 1072 8253 5 603
5486 1328 1073 8139 5 608
5478 1289 1070 8265 11 605
5329 1015 1070 8276 5 605
5059 1008 1068 8262 6 609
5729 1144 1067 8176 11 602
5204 1132 1061 7974 6 605
5437 659 1062 8040 6 603
5730 745 1069 8102 6 608
5447 1042 1062 8369 6 605
5230 594 1066 8782 6 604
5486 808 1069 8436 6 601
5501 1199 1063 8016 5 625
5467 851 1065 7955 6 606
5447 810 1097 8061 12 604
5738 942 1057 8177 6 608
5468 991 1078 8167 6 609
5477 793 1072 8361 10 609
5332 1023 1061 7812 32 605
5494 975 1066 8161 18 607
5163 1049 1087 8412 5 607
5439 822 1060 8336 8 605
5128 1144 1070 7973 6 603
5484 647 1051 8290 6 610
5573 921 1078 8005 6 605
5141 709 1058 7945 5 605
5299 712 1060 7992 6 599
5418 920 1059 8337 6 601
5238 1222 1061 8097 5 603
5501 979 1061 8099 5 604
5196 1070 1059 7943 6 618
5442 1364 1114 8343 6 617
5186 837 1108 8826 7 636
5237 1086 1093 8936 8 651
6102 1069 1120 8715 8 654
5576 1236 1100 8498 12 625
5273 1114 1110 8260 11 648
5725 1325 1094 8626 6 636
5302 774 1119 8506 7 600
5167 1104 1054 8522 38 603
5842 1500 1052 8424 6 618
5548 1000 1082 8467 8 620
5624 835 1156 8452 6 607
5492 853 1054 7969 5 601
5300 866 1090 7761 6 600
5262 891 1064 8318 6 601
5472 843 1050 7843 6 602
4993 793 994 7602 25 545
5427 806 987 8058 6 542
5158 941 986 8455 10 545
5054 783 991 8481 6 566
5530 1099 995 8161 18 604
5759 1001 993 9307 11 545
5222 1264 989 7988 11 544
4999 874 986 7949 6 547
5272 920 994 8133 17 546
5814 722 997 8230 5 546
4953 1230 996 7947 8 545
5367 937 991 8525 29 543
5144 1543 987 7921 5 542
5400 847 1005 8324 5 542
5556 956 990 8151 44 546
5432 922 986 7985 6 538
4885 906 986 8094 44 539
5106 838 988 7998 6 542
5390 1122 986 8240 6 537
5533 1043 985 7906 25 539
4633 1213 990 8486 6 541
4834 669 979 8039 6 542
5792 676 989 7978 6 557
5617 1046 985 8090 6 540
4950 1059 1001 8278 6 540
5363 1147 987 7995 6 542
4468 840 986 7740 9 539
4611 840 978 8176 18 539
5351 820 994 7843 6 537
4765 1130 982 9541 7 547
5415 777 983 8185 6 541
5076 774 977 8115 9 537
5522 966 977 8016 7 537
4624 1004 975 7898 9 540
5909 1504 978 8126 10 545
4807 1083 981 8379 7 541
5326 836 977 8058 14 538
5564 638 1062 7898 14 537
5158 700 973 8409 20 536
5523 965 978 7823 9 532
5597 1147 1020 7925 7 534
5734 907 975 7912 16 535
5650 753 1010 7969 31 534
5071 1065 975 8073 15 536
5120 1060 972 7969 6 543
5711 1071 999 7980 7 535
5176 936 975 7876 12 537
5670 958 972 8447 6 534
5056 720 971 8082 9 539
5287 1188 977 7939 6 538
4970 1112 968 7862 16 537
5218 1215 972 7645 6 533
5323 824 973 7812 6 536
5236 712 968 7974 8 536
5082 1072 968 8025 6 532
5287 876 970 7624 6 537
5684 1288 968 8063 7 530
5177 968 967 8223 6 534
5642 976 974 7980 8 531
4558 793 966 8053 6 535
5640 982 977 8086 10 535
5343 1002 964 7858 14 537
5069 645 965 7973 23 532
5423 969 970 8095 20 536
4746 923 964 8034 23 533
5699 906 968 8302 7 535
5347 1206 981 8044 9 537
5738 1107 966 7802 17 538
5466 813 962 8101 6 539
4996 786 969 8332 6 535
5232 1718 985 7649 6 539
4912 918 968 8161 6 534
5909 1188 968 7918 11 534
5146 1007 965 7824 10 538
5428 1118 973 7520 61 537
5818 1143 970 8111 9 532
4858 798 961 7828 6 537
5511 837 965 7668 205 534
5537 706 966 7775 5 536
5316 1072 965 8135 31 550
5413 1213 966 8137 6 536
5345 983 963 8092 5 555
5982 893 968 8456 6 539
5191 866 976 7699 6 535
5418 856 960 8166 6 538
5267 1000 956 7677 6 539
5717 756 971 7619 6 543
5538 1016 1068 8133 6 540
5394 785 961 8320 6 541
5390 834 978 7674 6 537
5555 1240 962 7988 6 534
5046 857 961 7828 14 537
5554 660 958 8015 11 543
5399 1440 955 8003 12 540
4443 1006 961 7820 17 537
5691 863 969 7778 177 545
5415 878 959 7786 14 543
5291 1201 958 8486 10 572
5694 1177 964 7592 17 543
5564 872 964 8194 5 558
5128 719 965 8125 5 541
