RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
14 46 20 15 26 19
14 53 20 15 26 19
15 39 15 19 26 19
13 68 17 17 26 19
15 37 18 13 26 19
13 41 20 15 26 19
15 33 19 14 26 19
16 63 20 14 26 19
17 31 16 17 26 19
14 99 20 18 26 19
16 110 15 17 26 19
17 107 20 15 26 19
16 40 20 13 26 19
16 38 15 18 26 19
16 39 20 17 26 19
14 30 20 15 26 19
16 47 15 15 26 19
14 102 16 15 26 19
16 30 15 15 26 19
17 110 20 14 26 19
16 28 15 16 26 19
17 106 15 13 26 19
17 31 20 17 26 19
15 85 15 15 26 19
17 92 19 18 26 19
21 83 28 16 26 19
16 42 26 15 26 19
19 56 26 19 26 19
16 47 24 15 26 19
18 74 26 17 26 19
18 45 29 16 26 19
17 37 29 17 26 19
15 35 29 17 26 19
20 98 29 16 26 19
18 55 24 22 27 19
16 84 25 17 27 19
18 94 26 17 27 19
15 110 24 17 27 19
17 49 27 18 27 19
16 29 24 20 27 19
19 43 27 17 27 19
16 110 29 16 27 19
17 34 25 21 27 19
15 96 24 19 27 19
16 37 27 17 27 19
16 71 24 14 27 19
19 36 25 18 27 19
17 23 25 19 27 19
16 44 28 17 27 19
18 44 29 19 27 20
16 67 28 15 27 20
18 30 26 15 27 20
15 51 28 17 27 20
18 38 27 18 27 20
18 27 26 19 27 20
18 112 29 16 27 20
14 112 25 18 27 20
17 26 24 16 27 20
15 113 27 18 27 20
17 24 22 17 27 20
16 17 25 15 27 20
18 54 24 17 27 20
18 29 23 20 27 20
16 58 29 16 27 20
17 47 26 19 27 20
19 25 21 18 27 20
18 61 28 16 27 20
17 27 29 17 27 20
15 50 25 17 27 20
16 33 25 15 27 20
18 43 27 20 27 20
20 41 24 17 27 20
16 101 27 16 27 20
18 80 25 17 27 20
17 111 24 20 27 20
19 29 28 17 27 20
16 23 26 19 27 20
18 22 25 18 27 20
18 37 24 19 27 20
16 54 20 17 27 20
20 24 24 18 27 20
17 43 24 19 27 20
18 42 24 15 27 20
19 44 25 22 27 20
16 26 29 18 27 20
15 52 24 17 27 20
16 52 28 23 27 20
19 36 20 18 27 20
19 38 25 18 27 20
19 66 26 18 27 20
15 30 29 19 27 20
16 72 20 17 27 20
18 112 27 21 27 20
17 113 27 19 27 20
16 40 26 15 27 20
17 44 29 15 27 20
18 66 23 17 27 20
15 36 28 19 27 20
18 106 29 14 27 20
18 101 25 19 27 20
14 42 24 17 27 20
16 102 29 16 27 20
18 38 26 19 27 20
18 77 29 16 27 20
18 48 29 19 27 20
17 53 25 17 27 20
15 112 28 19 27 20
18 79 29 19 27 20
17 31 29 19 27 20
15 111 26 19 27 20
20 29 28 17 27 20
18 60 25 17 27 20
18 54 25 21 27 21
19 35 27 19 27 21
16 47 26 15 27 21
17 113 29 21 27 21
21 109 25 19 27 21
21 68 25 19 27 21
17 45 28 17 27 21
18 46 28 19 27 21
20 40 29 19 27 21
18 112 29 19 27 21
21 39 29 17 27 21
18 38 29 21 27 21
19 51 21 17 27 21
20 66 26 17 27 21
17 111 28 21 27 21
19 111 23 20 27 21
18 111 29 19 27 21
18 51 26 17 27 21
16 113 28 20 27 21
16 113 29 16 27 21
19 113 24 21 27 21
21 112 24 15 27 21
20 45 29 19 27 21
19 34 29 19 27 21
15 43 25 17 27 21
18 61 29 19 27 21
20 95 26 17 27 23
18 75 29 20 27 23
18 22 29 21 27 23
19 65 29 19 27 23
20 39 25 16 27 23
16 34 23 18 27 23
17 109 28 21 27 23
16 71 23 20 27 23
21 37 24 17 27 23
18 43 29 21 27 23
20 29 24 19 27 23
20 49 26 19 27 23
21 40 24 17 27 23
18 37 25 19 27 23
21 23 29 16 27 24
17 113 25 23 27 24
21 103 26 17 27 24
20 43 23 19 27 24
21 41 24 20 27 24
19 56 28 16 27 24
21 29 28 21 27 24
20 75 25 21 27 24
20 50 24 17 27 24
17 43 25 16 27 24
16 46 25 19 27 24
21 26 24 19 27 24
19 39 25 22 27 24
18 93 24 21 27 24
18 43 29 15 27 24
20 59 28 20 27 24
18 37 24 17 27 24
20 30 25 21 27 24
18 46 28 18 27 24
16 33 24 21 27 24
16 36 29 19 27 24
17 81 24 21 27 24
18 41 29 17 27 24
17 85 25 17 27 24
16 28 27 18 27 24
18 40 24 23 27 24
18 94 27 20 27 24
18 102 28 19 27 24
20 24 25 18 27 24
21 108 25 18 27 24
21 38 26 18 27 24
18 50 29 23 27 24
20 27 29 18 27 24
19 97 26 21 27 24
21 34 29 19 27 24
21 24 26 21 27 24
22 39 25 19 27 24
19 101 28 21 27 24
19 26 29 20 27 24
17 78 24 19 27 24
15 27 29 17 27 24
20 48 27 20 27 24
20 20 29 18 27 24
19 110 22 20 27 24
21 22 25 18 27 24
18 91 29 21 27 24
16 36 24 21 27 24
16 58 29 17 27 24
20 62 25 17 27 24
20 28 24 21 27 24
17 42 24 22 27 24
19 112 26 19 27 24
16 56 25 16 27 24
19 28 27 21 27 24
18 70 24 23 27 24
18 69 24 19 27 24
19 58 25 17 27 24
21 62 26 19 27 24
20 29 25 17 27 24
15 52 24 21 27 24
21 29 27 18 27 24
22 44 29 21 27 24
19 29 25 20 27 24
19 47 29 21 28 24
16 64 29 21 28 24
16 42 29 20 28 24
22 86 27 15 28 24
18 110 29 23 28 24
19 38 29 16 28 24
18 45 24 20 28 24
19 100 23 17 28 24
16 46 24 21 28 24
20 48 25 22 28 24
20 107 26 23 28 24
19 44 28 18 28 24
18 52 20 20 28 24
22 38 29 21 28 24
19 42 28 23 28 24
17 27 26 18 28 24
18 82 26 21 28 24
20 43 23 18 28 24
20 33 28 20 29 24
20 47 28 19 29 24
17 32 24 19 29 24
21 66 28 18 29 24
21 31 27 21 29 24
19 56 26 19 29 24
17 50 28 17 29 24
16 31 29 21 29 24
20 30 23 19 29 24
19 80 29 20 30 24
17 32 25 18 30 24
19 54 29 18 30 24
18 100 24 21 30 24
21 36 24 21 30 24
20 27 29 16 30 24
21 57 24 19 30 24
20 35 20 18 30 24
18 60 28 23 30 24
19 45 24 18 30 24
21 42 26 21 30 24
16 43 29 19 30 24
20 91 28 20 30 24
18 41 26 18 30 24
19 111 28 22 30 24
16 54 29 17 30 24
21 106 26 20 30 24
20 45 24 19 30 24
16 33 28 21 30 24
19 67 28 20 30 24
15 32 21 21 30 24
18 112 27 18 30 24
20 48 29 22 30 24
17 89 27 19 30 24
18 27 27 21 32 24
17 40 28 21 32 24
22 112 28 16 32 24
21 25 26 20 32 24
17 33 27 19 32 24
19 108 24 21 32 24
19 35 27 19 32 24
15 40 24 19 32 24
17 30 28 18 32 24
21 28 23 20 32 24
19 83 23 17 32 24
19 23 24 18 32 24
17 114 23 17 32 24
18 54 28 16 32 24
20 37 25 18 44 24
19 42 21 17 44 24
20 41 22 18 44 24
20 63 25 18 44 24
20 40 24 21 44 24
15 30 21 19 44 24
21 38 24 19 48 24
19 32 26 20 51 24
20 110 24 21 51 24
22 42 27 20 51 24
19 41 29 22 51 24
22 62 29 20 51 24
18 28 23 20 51 24
23 46 26 19 51 24
20 39 20 23 51 24
21 82 31 23 58 24
21 93 30 22 58 24
19 46 29 23 58 24
22 52 30 21 58 24
20 78 29 22 58 24
18 96 29 23 58 24
21 46 31 21 58 24
21 112 30 22 58 24
22 79 30 21 58 24
20 49 31 22 58 24
20 107 28 25 58 24
21 42 30 22 58 24
18 29 25 21 58 24
21 30 32 23 58 24
24 50 30 22 58 24
22 27 31 26 58 24
19 57 27 23 58 24
20 69 32 22 58 24
23 27 23 20 58 24
22 40 32 20 58 24
20 68 25 22 58 24
21 56 32 21 58 24
21 46 32 20 58 24
22 29 30 23 58 24
22 37 24 24 58 24
20 45 23 20 58 24
23 107 30 21 58 24
21 102 26 25 58 24
24 44 29 20 58 24
21 53 23 23 58 24
23 72 32 22 58 24
21 45 23 22 58 24
23 38 23 21 58 24
20 53 23 25 58 24
23 30 31 21 58 24
24 50 31 23 58 24
20 24 23 20 58 24
21 96 30 23 58 24
23 41 28 23 58 24
22 48 22 22 58 24
20 112 23 19 58 24
21 39 28 22 58 24
22 41 27 20 58 24
24 54 29 23 58 24
21 112 29 23 58 24
18 39 27 21 58 24
22 108 24 22 58 24
20 79 32 21 58 24
20 53 29 23 58 24
22 50 24 20 58 24
22 111 30 25 58 24
20 44 31 24 58 24
20 109 23 23 58 24
24 40 29 20 58 24
19 39 28 20 58 24
20 46 29 25 58 24
22 38 32 22 58 24
21 41 31 20 58 24
23 109 23 20 58 24
21 38 23 22 58 24
21 42 23 21 58 24
22 48 32 23 58 24
22 44 31 21 58 24
22 42 31 22 58 24
21 25 32 20 58 24
21 43 30 21 58 24
23 32 29 22 58 24
19 28 32 20 58 24
20 31 29 21 59 24
23 55 23 22 59 24
19 62 33 21 59 24
22 42 33 20 59 24
21 98 31 24 59 24
21 91 30 24 59 24
20 43 33 21 59 24
21 55 29 22 59 24
20 106 23 23 59 24
19 30 31 21 59 24
21 60 26 19 59 24
22 23 33 22 59 24
23 111 23 20 59 24
22 112 24 24 59 24
22 54 33 21 59 24
20 29 24 20 59 24
22 111 29 23 59 24
22 46 24 21 59 24
24 110 27 22 59 24
22 113 28 23 59 24
19 62 27 20 59 24
20 47 33 23 59 24
19 37 33 22 60 24
23 113 31 24 60 24
23 39 33 25 60 24
23 66 27 21 60 24
19 51 29 25 60 24
23 78 31 22 60 24
23 86 33 24 60 24
22 58 32 21 60 24
21 108 33 27 60 24
22 47 28 21 60 24
23 66 31 21 60 24
23 30 30 22 60 24
23 113 24 21 60 24
21 38 29 24 60 24
21 63 28 23 60 24
23 94 32 20 60 24
21 100 34 25 61 25
22 41 25 21 61 25
23 35 33 21 61 25
21 38 30 25 32 28
21 63 28 24 32 28
21 72 28 21 32 28
24 42 34 23 32 28
26 37 34 22 32 28
20 66 34 26 32 28
23 39 28 23 32 28
18 112 28 22 32 28
24 40 33 24 32 28
22 28 34 23 32 28
21 52 33 23 32 28
24 59 34 21 32 28
24 44 28 23 32 28
20 60 28 22 32 28
23 50 28 22 32 28
21 45 28 26 32 28
24 70 28 24 32 28
20 51 28 24 32 28
22 23 34 22 32 28
20 47 34 27 32 28
20 90 34 21 32 28
21 76 28 23 32 28
25 38 28 22 32 28
23 53 32 25 32 28
23 39 34 23 32 28
23 49 34 24 32 28
25 98 34 23 32 28
21 60 31 23 32 28
24 67 34 25 32 28
20 59 28 20 32 28
23 26 34 18 32 28
26 111 34 21 32 28
22 43 28 21 32 28
21 88 28 23 32 28
22 34 34 23 32 28
22 108 28 22 32 28
19 51 28 21 32 28
19 70 28 25 32 28
20 32 34 24 32 28
23 37 34 22 32 28
21 25 34 24 32 28
21 51 28 26 32 28
21 96 28 23 32 28
20 48 34 21 32 28
21 49 28 26 32 28
23 40 34 24 32 28
23 76 34 23 32 28
22 96 32 22 32 28
23 45 34 26 32 28
19 44 34 26 32 28
23 111 28 20 32 28
21 110 34 21 32 28
24 46 29 23 32 28
24 52 28 24 32 28
23 100 31 27 32 28
23 42 28 21 32 28
26 110 34 25 32 28
22 111 28 20 32 28
22 111 28 26 32 28
23 81 34 22 32 28
22 97 34 23 32 28
24 113 34 23 32 28
22 30 28 23 32 28
23 62 33 22 32 28
24 54 29 21 32 28
23 33 28 22 32 28
23 77 30 25 32 28
23 32 28 23 32 28
23 32 30 22 32 28
24 45 31 23 32 28
24 40 34 23 32 28
23 43 28 23 32 28
20 34 28 22 32 28
23 73 28 24 32 28
22 114 28 23 32 28
21 31 34 23 32 28
22 29 28 23 32 28
21 113 28 25 32 28
24 51 28 21 32 28
22 68 28 23 32 28
23 64 34 20 32 28
23 116 34 24 32 28
23 60 28 25 32 28
24 43 29 23 32 28
20 46 34 22 32 28
20 37 32 23 32 28
23 108 34 22 32 28
21 41 34 21 32 28
19 93 34 23 32 28
20 37 28 25 32 28
21 44 28 23 32 28
23 63 34 23 32 28
23 49 28 26 32 28
24 52 28 24 32 28
24 35 28 23 32 28
23 64 28 25 32 28
21 40 34 23 32 28
23 111 28 22 32 28
24 45 34 22 32 28
24 46 30 25 32 28
25 75 36 24 32 28
24 31 28 26 32 28
22 101 28 25 32 28
22 111 36 22 32 28
22 52 36 25 32 28
20 64 28 22 32 28
26 70 36 22 32 28
22 50 36 23 32 28
23 79 36 21 32 28
22 60 35 22 32 28
24 54 36 25 32 28
23 37 28 23 32 28
24 106 36 23 32 28
22 85 29 20 32 28
24 102 36 23 32 28
23 52 32 25 32 28
23 53 28 23 32 28
26 32 36 24 32 28
23 30 36 20 32 28
24 113 34 25 32 28
22 52 36 23 32 28
24 36 28 22 32 28
26 49 32 25 32 28
25 32 36 25 32 28
23 64 36 23 32 28
22 33 36 24 32 28
24 51 34 25 32 28
22 35 36 25 32 28
24 53 35 25 32 28
22 103 32 21 32 28
23 58 34 23 32 28
22 36 28 26 32 29
22 51 36 23 32 29
26 46 34 24 32 29
21 70 28 20 32 29
24 52 28 25 32 29
20 52 36 23 32 29
27 54 33 25 32 29
25 45 32 23 32 29
24 45 35 24 32 29
19 36 35 23 32 29
25 70 36 27 32 29
24 89 29 23 32 29
25 67 36 24 32 29
26 62 28 26 32 29
23 112 29 21 32 29
20 34 28 23 32 29
23 111 32 24 32 29
20 63 33 25 32 29
26 68 34 27 32 29
21 34 31 27 32 29
24 54 34 21 32 29
23 85 28 21 32 29
23 117 36 23 32 29
24 52 28 25 32 29
27 28 35 25 32 29
24 31 29 23 32 29
25 29 36 27 32 29
25 34 36 23 32 29
24 36 28 24 32 29
21 110 28 27 32 30
24 49 31 23 32 30
24 31 36 25 33 31
25 90 28 25 33 31
25 113 36 21 33 31
22 36 36 24 33 31
23 120 36 26 33 31
20 77 36 21 33 31
25 52 35 21 33 31
21 51 28 21 33 31
26 97 36 22 33 31
23 45 32 22 33 31
24 67 31 23 33 31
22 54 32 23 33 31
23 38 34 23 33 31
25 79 31 27 33 31
20 38 31 25 33 31
24 39 31 24 33 31
21 107 31 24 33 31
23 42 29 24 33 31
26 28 33 27 33 31
25 52 33 27 33 31
