RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
14 46 18 15 26 16
15 104 21 14 26 16
15 28 14 17 26 16
16 73 18 14 26 16
14 50 14 15 26 16
13 41 14 15 26 16
15 99 14 17 26 16
15 22 14 17 26 16
15 111 17 16 26 17
16 46 16 15 26 17
16 37 14 17 26 17
16 78 14 14 26 17
13 44 14 14 26 17
16 110 17 17 26 17
12 46 15 15 26 17
16 48 17 15 26 17
14 112 14 16 26 17
13 58 14 16 26 17
14 24 17 15 26 17
14 108 19 15 26 17
16 23 18 14 26 17
16 29 13 15 26 17
15 48 14 15 26 17
16 110 16 15 26 17
16 34 14 15 26 17
16 104 21 17 26 18
16 110 17 15 26 18
15 109 15 19 26 18
15 43 17 17 26 18
16 109 14 17 26 18
17 20 14 17 26 18
15 62 18 15 26 18
16 82 14 14 26 18
15 102 14 15 26 18
17 37 14 15 26 18
16 28 18 16 26 18
15 28 17 17 26 18
18 52 14 15 26 18
16 29 14 15 26 18
16 39 17 17 26 18
16 29 17 17 26 18
17 43 15 17 28 18
16 46 18 17 28 18
15 55 15 19 28 18
15 51 18 17 28 18
15 41 15 15 29 17
16 56 14 16 29 17
16 75 18 17 29 17
15 101 16 15 29 17
15 31 17 17 29 17
17 40 18 19 29 17
16 34 18 16 29 17
21 26 18 16 29 17
14 79 15 16 29 17
17 33 18 18 29 17
17 29 18 19 29 17
16 46 18 17 29 17
17 30 15 15 29 17
18 31 14 17 29 17
16 105 16 18 29 17
17 59 18 14 29 17
17 55 18 17 29 17
18 112 17 19 29 17
18 77 20 18 29 17
18 70 20 17 29 17
19 98 15 19 29 17
18 49 17 19 29 17
16 34 20 16 29 17
19 85 15 19 29 17
19 53 20 19 29 17
17 110 15 15 29 17
15 48 15 17 29 17
19 112 20 17 29 17
17 46 20 17 29 17
19 43 15 15 29 17
16 51 17 16 29 17
18 64 20 20 29 17
14 110 19 17 29 17
16 34 18 15 29 17
19 112 16 19 29 17
17 37 19 21 29 17
18 76 19 17 29 17
16 29 17 14 29 17
