RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
4266 377 858 13871 5 459
4287 394 905 14296 5 447
4487 342 1019 15377 6 499
5002 678 1110 18005 6 467
4339 362 880 13736 5 429
4320 491 876 13241 4 427
4585 304 878 14015 3 427
4321 326 867 13603 3 442
4349 312 858 13630 4 431
4408 312 857 13435 5 427
4345 331 843 13473 4 433
4299 332 843 13619 3 427
4261 356 873 13386 3 449
4307 303 862 13565 4 430
4309 310 816 13465 20 427
4292 284 884 13696 3 475
4887 430 976 15067 5 466
4531 407 965 15350 6 436
4663 336 899 14611 4 434
4194 277 894 13933 3 431
4282 322 871 14015 3 429
4342 332 870 13684 4 432
4462 328 849 13711 21 430
4322 324 873 13390 9 427
4275 443 878 13605 16 428
4555 413 888 13621 2 428
4486 449 849 13441 11 428
4303 303 913 13328 3 427
4437 331 850 13729 3 439
4289 374 866 13436 9 427
4292 370 858 13475 11 438
4463 321 872 14298 3 459
4512 355 909 14335 5 486
4679 409 1406 14974 7 447
4427 350 825 13791 3 440
4451 328 884 13938 4 462
4471 372 918 14152 4 450
4609 335 915 14047 315 454
4507 351 886 13966 3 456
4434 550 905 14432 4 447
4524 348 855 13831 4 438
4461 394 875 13346 4 427
4311 311 868 13703 4 433
4268 378 862 13447 4 430
4200 304 850 13951 4 462
4859 535 920 16665 7 467
4645 312 903 16722 5 464
4620 347 906 15583 4 459
4562 338 911 14276 4 463
4692 338 918 14496 5 458
4497 333 897 14136 4 455
4505 350 903 14344 4 454
4496 305 890 14273 4 452
4560 345 896 14335 4 453
4548 305 886 14372 3 452
4550 365 910 14151 4 453
4454 291 865 13734 4 442
4616 311 888 13807 3 436
4416 324 871 13718 3 438
4388 286 849 13623 3 436
4541 333 849 13672 4 446
4680 364 901 13553 4 469
4757 340 835 13773 4 486
4430 652 862 13761 3 432
4333 334 858 13442 3 423
4314 312 834 13492 4 450
4313 324 833 13600 3 432
4266 280 864 13321 3 424
4202 419 850 13586 3 442
4300 309 839 12941 3 423
4364 363 842 13748 3 427
4439 338 861 13364 3 444
4255 309 839 13312 3 423
4327 384 845 13579 3 439
4595 514 850 12933 20 423
4228 308 834 13273 4 422
4248 379 834 13582 3 425
4287 419 873 13005 8 422
4447 285 864 13263 4 425
4422 336 824 13251 3 422
4355 387 832 13243 4 423
4503 469 799 13145 3 423
4423 331 840 13091 3 423
4238 407 853 13284 8 450
4566 378 837 13729 3 429
4427 346 836 13564 4 447
4287 393 864 13366 5 456
4275 342 855 13477 4 427
4720 327 862 13425 5 440
4424 299 993 13544 5 428
4420 342 862 13184 4 439
4548 320 812 13448 4 447
4277 279 863 13108 3 474
4389 322 823 13189 3 450
4226 341 831 13217 3 408
