RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
6485 1117 1209 9068 44 631
4142 1094 1097 8433 41 636
4966 648 1089 8249 22 625
5575 874 1102 8484 6 626
5138 1054 1121 7516 5 629
5238 1069 1095 8429 6 622
5143 936 1088 7944 28 626
5196 857 1086 8065 11 618
5239 1001 1095 8573 6 621
5573 946 1086 8160 6 616
5268 772 1092 8114 10 622
5468 1119 1098 7963 6 617
4995 1104 1104 7002 5 633
5452 705 1094 7897 6 618
5403 788 1090 8355 6 617
4446 750 1104 8338 11 617
5257 1025 1088 8138 6 620
4514 976 1091 8262 24 634
4967 1135 1102 8818 12 611
5149 1198 1084 8470 8 622
4790 750 1091 8535 6 617
5507 780 1097 7453 21 628
5106 961 1093 8205 8 615
5435 1092 1090 8137 6 618
5158 820 1083 8738 55 614
4825 1173 1081 8188 61 611
5385 640 1073 8325 26 615
5262 762 1086 8210 46 610
5242 1077 1086 8201 14 613
4436 919 1089 8288 6 618
5390 1183 1084 8240 10 608
5212 801 1007 8769 39 537
5230 680 1010 8560 9 533
4468 692 1006 8396 8 531
5152 1226 1000 8155 773 531
5196 980 1001 7846 8 532
4765 796 998 7919 58 529
5077 1174 1000 8392 17 545
5318 847 1000 8679 10 544
5274 1098 996 7865 269 529
5338 853 997 8558 239 534
5171 895 990 8222 245 516
5525 1072 979 8281 38 518
4892 749 978 7948 95 515
4931 1044 986 8249 28 517
4918 988 989 8436 6 518
5192 951 985 8241 6 519
5125 1088 987 8343 5 516
5436 993 990 8612 11 527
5255 962 977 8718 85 523
5057 891 981 7877 6 520
4851 1572 988 8286 6 519
5620 884 983 8398 9 519
5270 877 981 8201 11 521
5149 839 1011 8307 15 537
5020 809 976 8206 12 530
4916 760 979 7878 6 536
5378 789 980 7879 6 515
5254 1043 978 8184 6 545
4966 721 974 8552 11 524
5787 838 974 8439 11 521
5348 911 978 8339 7 532
5180 1044 972 8000 11 521
5778 1242 979 8249 5 534
4942 936 977 8150 10 523
4431 875 997 8661 48 537
5273 848 983 7982 11 515
4903 1171 974 7948 6 521
5226 1087 967 8258 21 531
5009 909 1003 8405 13 522
4158 904 974 7790 6 519
4445 1203 970 8065 5 518
4770 1060 969 7810 6 518
5583 795 976 8069 37 517
5517 730 974 8170 19 517
5289 1047 966 7743 6 519
5239 992 972 7727 5 521
5268 697 971 7855 6 515
5134 918 962 8455 6 517
5088 733 970 8341 11 516
5026 831 963 8304 6 527
4990 770 983 8151 5 517
4930 875 967 7908 6 511
5524 805 995 7886 6 548
5736 1229 1021 8444 6 540
4703 955 992 8636 6 530
5899 936 1002 8199 12 528
5878 902 1010 8539 17 543
5131 953 985 8092 6 527
5572 948 1015 8539 6 527
5623 814 995 8121 6 529
5207 1263 962 7946 13 533
5241 1009 963 8247 11 523
4976 977 986 8686 6 511
5024 927 970 7801 5 524
4996 1320 964 8052 6 514
5395 1172 959 7983 13 511
5625 757 968 8183 6 525
4864 757 1076 8207 6 553
5611 1294 1215 8740 10 542
5591 1112 1016 8434 6 531
5468 1090 969 8309 10 554
5040 1084 969 8242 6 556
4468 963 964 7848 7 513
5201 737 977 8341 6 520
5276 1073 969 8127 11 517
5448 929 961 7833 14 518
5049 851 963 8544 6 512
5384 1166 958 7934 40 513
4636 1048 958 7956 51 511
5246 954 962 7833 25 512
5307 937 955 7989 6 511
4413 1008 963 8139 9 513
5525 892 959 8040 6 512
4966 1141 972 7888 6 513
4902 675 955 7724 6 521
4942 904 954 8492 5 515
4738 1289 955 7668 6 514
5113 796 962 7771 6 520
5346 832 961 8012 5 516
5924 1419 956 7690 5 514
5072 761 977 8605 5 520
4607 804 963 8499 5 512
4967 1129 957 8070 6 510
5307 770 961 7670 5 512
4898 819 953 7408 5 515
5416 1031 955 7662 12 512
4434 882 955 8271 8 513
5249 867 961 8120 5 513
5969 1497 952 8086 6 520
5693 807 955 8009 33 513
5082 997 961 8094 5 534
5637 756 1041 8280 6 526
5038 961 1046 8984 6 563
5912 1010 1010 8845 6 538
5026 978 1036 8330 6 531
5548 996 1019 8551 6 527
5812 878 1015 8416 7 548
5824 810 985 8981 27 566
5680 1110 978 7893 6 555
5479 1538 979 8194 13 563
5889 851 992 8196 6 572
5839 1145 1038 8676 15 572
5569 1180 1013 8378 11 560
5894 1211 1003 8437 11 541
5675 760 1017 8681 7 542
4819 860 1004 8746 18 548
5626 1004 989 8502 6 522
6065 835 1008 9013 12 545
5027 976 1009 8406 39 560
4564 884 966 8189 6 552
5487 787 969 8253 5 520
4736 911 969 8204 43 521
5441 1263 963 8116 7 546
4436 836 964 8122 12 523
5035 917 971 8252 6 523
4719 1247 967 8145 6 525
5361 797 970 8199 6 527
4519 696 998 8080 8 542
5303 841 965 7806 7 528
5404 1031 962 7840 7 515
4908 985 942 7608 7 519
5163 801 938 7773 7 524
4744 1478 931 8011 14 508
5420 1229 933 7662 27 518
5051 848 952 7763 13 510
5293 881 936 8134 5 515
5374 1208 934 7823 6 511
4937 723 936 8484 5 504
4887 1071 936 7921 6 517
5650 1039 930 8018 6 514
4937 1017 934 7842 26 506
5071 1496 938 8214 5 511
4817 1126 938 7901 6 514
5141 598 940 7785 15 509
5037 864 937 8334 16 507
5072 697 939 7510 20 506
5375 837 936 7795 9 519
5015 740 939 7582 14 508
5674 707 927 7545 5 507
4762 1059 1012 7608 10 509
4353 835 927 7504 12 504
4167 1008 951 7679 6 507
5051 808 935 8184 11 566
5459 865 1053 8025 16 544
5647 742 997 8354 13 541
5857 683 1004 8335 7 519
4885 1160 928 7618 18 534
5176 1005 955 8183 10 522
5098 1043 930 8109 6 503
5540 1282 929 7860 9 512
5588 1245 930 7676 6 502
5253 1154 931 8107 10 501
5420 968 932 7918 19 504
4651 876 948 8329 6 555
5210 1082 928 8009 6 501
5078 947 938 7744 42 512
5179 709 933 7609 9 503
5313 706 931 8028 6 504
5279 795 923 7831 6 504
5387 1123 923 8074 6 500
4694 1008 925 7605 14 510
5447 1178 929 7781 9 510
4399 913 934 7502 14 504
5563 1082 961 7680 8 508
4348 882 925 7615 59 501
5204 907 936 8147 10 504
5220 1065 929 7713 6 505
5281 1164 924 7960 6 561
4707 859 925 8374 26 499
5162 812 923 8077 6 501
5415 752 923 7773 6 500
4782 920 924 7558 14 501
5243 1067 929 7639 6 510
5329 892 936 7925 6 501
4992 876 997 7892 259 573
5666 740 986 7493 8 572
5131 947 992 7970 6 575
5778 1435 1033 8078 6 600
4975 918 1011 8203 9 597
5618 1157 1050 8178 6 625
5382 921 1016 7968 7 601
5710 839 1058 8212 6 625
5313 850 1032 8256 11 594
4309 893 1035 8759 10 610
5725 1295 1015 8391 6 589
5834 1009 1016 7785 6 579
5260 856 988 7532 7 578
5256 1189 988 7492 6 572
5981 703 990 7860 6 607
5101 973 1002 7777 6 597
5452 658 984 7471 15 576
4515 942 987 7920 6 579
4606 918 988 7878 242 573
4413 804 991 7439 8 572
4887 994 981 7666 5 576
4290 850 985 7498 6 577
4395 1244 985 7626 8 573
5480 895 985 7641 11 578
5459 944 988 7525 6 575
5698 932 979 7720 6 571
5082 856 987 7250 12 576
4656 964 982 7750 262 574
5033 769 981 8044 5 576
4477 885 983 7385 6 577
4976 1055 986 7489 6 574
4433 789 986 7883 5 578
5065 866 979 7529 5 573
4471 809 980 7335 5 579
4878 1161 977 7525 5 583
4760 1090 981 7770 12 585
5217 959 979 7640 12 576
5417 1508 982 7783 6 577
5551 835 982 7378 5 577
5196 786 975 7373 6 572
4750 1216 976 8019 5 581
5643 1161 976 7711 13 576
5978 859 979 7311 5 574
4782 1031 973 7788 6 577
5891 980 978 7536 12 576
5332 985 978 7646 8 577
5579 903 977 7611 5 578
4672 909 981 8034 10 572
5588 863 978 7795 16 577
5507 712 973 7472 19 576
5208 859 977 7460 15 576
5259 812 986 7983 25 587
5563 1145 989 7849 8 588
5004 1000 986 7574 8 585
5163 569 982 7504 6 589
5457 1155 984 7362 6 589
5484 703 988 7399 23 587
5056 1256 983 7687 6 591
5518 799 983 7743 16 587
5704 1134 982 7820 6 590
4603 1130 982 7624 11 592
5287 736 1000 7684 6 590
5593 1143 987 7386 16 587
4968 971 987 7295 10 586
5569 838 986 7775 11 599
5180 1205 952 7678 2927 555
5198 1045 953 7807 6 551
5038 1327 951 7473 8 553
4711 1225 951 7531 10 552
5537 747 953 7455 5 552
5521 964 962 7271 6 552
4859 750 1018 7540 922 623
4599 663 1043 7851 761 650
5243 1124 1043 7609 6 652
5162 709 1039 7747 8 645
5127 686 1043 7806 8 659
5887 959 1046 7494 14 655
5141 916 1042 7876 5 652
5089 821 1039 7571 11 657
4987 1162 1038 8016 5 653
4609 1016 1044 7297 1510 658
4338 720 1049 7712 15 666
5292 843 1048 7358 6 650
5559 831 1047 7394 39 674
5729 1116 1045 7398 84 664
5141 1073 1038 7201 8 655
5069 960 1044 7779 96 657
4748 1030 1051 6559 195 657
4837 669 1046 7434 6 654
5549 891 1044 7658 6 657
6252 793 1045 6550 6 656
4316 693 1042 7567 5 657
5448 1018 1042 7555 6 661
4414 1221 1042 7431 8 659
5565 1056 1044 7818 5 660
5026 817 1040 6166 6 656
4989 952 1034 7200 9 682
5309 1044 1039 7571 5 662
5283 929 1042 7292 6 651
5357 964 1045 7615 6 700
5252 667 1043 7097 6 653
4597 625 1042 7378 6 653
4761 704 1034 7744 8 652
4972 1362 1038 7500 6 653
4903 1210 1038 7736 6 658
5568 705 1036 7488 14 653
5983 1400 1040 7502 9 656
5553 951 1045 7720 6 666
5639 983 1043 7677 6 654
4770 790 1042 7213 9 671
5860 1163 1041 7318 5 659
4623 638 1045 7389 7 656
4665 692 1048 7422 45 652
4695 1092 1031 7612 15 664
5490 1004 1034 7652 6 650
5481 844 1036 7594 5 654
5751 1014 1031 7814 15 659
4581 1110 1025 6280 14 658
5323 969 1073 7435 6 653
5337 761 1032 7266 5 651
5562 961 1030 7814 29 657
4698 921 1035 8194 5 657
4995 1185 1030 7475 5 655
5483 784 1031 7537 6 655
4893 625 1028 7901 7 663
5659 1104 1034 7010 9 654
4874 1319 1028 7810 6 648
5335 1131 1034 7725 6 655
5401 1136 1037 7573 5 655
5291 747 1029 7745 6 654
5391 1091 1034 7846 6 661
4539 884 1027 7438 6 659
5144 918 1027 7350 6 654
5473 644 1028 7497 22 653
4573 991 1033 7439 9 652
4578 688 1035 7474 5 655
5323 1349 1030 7412 5 649
5093 850 1029 7250 6 652
5902 900 1036 7055 5 660
4804 1011 1024 6491 6 651
4418 756 1025 7213 6 654
5549 1165 1048 7346 6 667
5322 779 1078 8123 6 670
5243 781 1063 7380 6 669
5575 637 1052 7674 6 680
5311 1631 1077 7799 6 670
5615 816 1068 7772 6 682
5121 1118 1085 7576 6 695
5599 1160 1048 7723 14 676
5231 1232 1043 7137 7 690
4988 1024 1035 7075 14 655
5239 711 1041 7611 25 649
5066 1131 1020 7486 6 648
5347 1058 1030 7477 5 648
4979 961 1021 7289 14 652
4886 947 1032 7175 14 649
5113 656 1026 7553 14 653
5668 933 1024 7215 34 654
4858 943 1023 7155 27 669
5341 1000 1026 7364 6 651
5182 954 1019 7607 9 652
5277 959 1022 7010 5 649
5337 921 1018 7715 5 652
5222 914 1025 7330 6 656
5009 1288 1026 7427 5 657
5134 793 1026 7910 11 658
5232 872 1030 7104 14 655
5532 881 1020 6866 5 648
5115 1036 1024 7531 5 647
5325 1208 1024 6955 14 645
5403 1019 1016 7864 29 643
5742 664 1019 7712 19 652
5286 1017 1023 6219 13 646
5429 1249 1024 7494 12 652
5079 675 1028 6323 11 662
5351 885 1022 7487 9 662
5230 860 1041 7692 6 653
5435 976 1015 7356 9 651
4367 898 1019 6449 9 650
4975 1230 1020 7847 5 651
5202 996 1017 7295 5 652
4938 731 1021 7426 5 658
5807 945 1072 7474 11 655
4759 791 1010 7798 6 651
4084 1133 1017 7511 9 651
5056 1165 1019 7448 48 662
4685 953 1048 7453 44 697
5199 662 1054 7451 18 686
5324 840 1052 7197 9 689
4606 958 1045 7362 1690 695
4956 1030 1051 7689 6 681
4988 858 1052 7114 14 690
5146 958 1055 7354 14 678
5398 1169 1047 7416 6 690
5468 992 1048 6189 6 688
5637 850 1050 7284 6 688
5284 1205 1043 7355 6 686
5429 932 1047 7075 6 687
5347 1115 1044 7222 14 686
4253 716 1042 7239 6 683
5156 1064 1047 7257 6 704
5224 839 1258 7625 7 708
4808 566 1058 7205 7 688
5409 1090 1048 7652 12 706
5169 1027 1039 5856 6 681
5667 1183 1039 6075 8 690
5011 1157 1047 7305 15 693
5202 887 1039 7326 14 690
4996 870 1041 5936 6 691
5128 710 1040 7268 6 695
4499 631 1043 7379 14 686
5241 904 1038 7071 15 682
5514 1146 1041 7441 12 682
5149 868 1055 7575 23 688
5435 1014 1039 7174 6 682
5795 732 1040 7038 5 693
4747 1003 1050 7318 14 680
5543 981 1039 7315 6 689
4483 1129 1036 7415 5 689
5064 1007 1036 7651 5 685
4388 874 1040 7466 23 694
5097 653 1037 7220 6 684
4480 1151 1038 7511 6 684
5501 963 1032 7334 6 681
4982 1008 1032 7284 5 680
5469 1118 1040 6903 13 680
5311 998 1031 7295 6 683
5110 849 1032 7425 6 680
5642 1129 1031 7323 6 685
5370 1195 1037 5905 31 682
5002 749 1030 6061 6 678
5587 1027 1066 7695 6 688
4634 1233 1034 7220 17 683
4378 694 1030 6137 10 683
5219 723 1028 7400 6 680
5010 766 1027 7583 5 683
5342 689 1031 6973 5 685
4758 1124 1038 6979 5 693
4327 755 1031 6310 5 682
4924 741 1040 7126 5 697
4372 849 1028 7306 5 687
5025 1025 1045 7092 6 682
4855 914 1044 7275 26 679
5357 678 1033 5905 281 685
5143 704 1040 7305 6 687
5670 1057 1021 7314 5 683
5261 812 1030 7688 9 681
5317 864 1027 5968 5 684
5585 977 1021 7067 5 679
5710 749 1098 7589 6 695
5637 966 1024 7274 6 705
5658 1106 1019 7367 6 694
5789 1321 1033 6907 17 737
4714 747 1046 7164 11 687
5150 1222 1025 7447 6 693
5169 821 1031 7174 10 685
5297 974 1030 7387 5 703
5023 1102 1021 7233 5 690
4952 927 1037 7286 134 676
4992 951 1018 6956 22 678
5254 1013 1022 7493 6 686
4366 969 1027 7440 10 674
5161 1248 1027 7250 9 683
5497 986 1018 7111 12 679
4787 770 1022 7145 66 681
5531 893 1028 7405 8 685
4653 1031 1028 7563 5 675
4918 1414 1029 6862 9 676
5144 809 1013 7370 26 672
5720 846 1014 7263 16 677
5353 657 1014 7416 7 677
5367 1214 1016 7305 14 674
5086 820 1013 7219 10 675
5035 879 1012 7349 5 675
5044 749 1018 6890 6 675
5547 960 1014 6978 369 722
5004 949 1013 7101 6 678
5901 1218 1021 6073 9 677
5112 779 1030 7050 11 672
4938 1089 1025 7064 6 673
5208 1045 1013 7324 8 671
5012 957 1020 5986 6 668
4709 669 1022 7031 5 671
5484 984 1010 7223 6 670
4954 867 1005 7349 11 690
4607 945 1043 7381 9 698
5263 794 1037 7118 6 714
5401 949 1068 7198 24 703
5686 1051 1043 7720 6 720
5123 593 1037 7637 6 694
5391 826 1031 6287 13 692
5476 1240 1052 7263 9 711
5585 1119 1079 7510 10 698
5155 705 1018 6783 42 683
5583 896 1014 7245 18 675
5487 715 1003 7224 22 674
5010 786 1007 6863 11 673
5195 1019 1033 6868 15 747
5649 1143 1034 8899 65 732
5151 818 1054 7539 7 725
5935 927 1074 7466 6 716
5287 771 1008 7102 11 679
5719 868 1017 6653 7 701
5457 885 1013 6881 6 672
5363 802 1012 7278 25 673
5661 974 1014 6913 28 674
5248 957 1002 7338 14 670
5313 830 1004 7166 10 670
5293 776 1006 7268 6 672
5642 1129 1002 7066 24 668
5152 854 1004 6874 6 676
5270 826 1005 7301 6 675
5237 712 999 6078 20 669
5054 895 996 7259 6 678
5338 845 1000 6712 5 672
5328 696 1003 7380 14 675
5595 1100 993 7102 23 672
5463 1247 991 7062 6 670
5009 1096 991 7499 8 665
5637 931 986 7325 14 666
5444 1114 990 5556 33 669
5231 992 989 6892 28 666
5573 1212 984 5674 19 661
5492 827 991 7152 20 662
5205 925 978 7222 6 666
5173 913 982 7066 6 675
4064 1020 982 7301 6 664
5448 989 1035 6969 10 664
5288 821 993 6958 26 672
5232 903 992 6784 8 668
5413 1022 989 5914 7 658
5192 729 982 7469 35 668
5417 869 1001 7003 14 668
5623 1003 982 5653 6 665
5084 729 983 6853 6 677
5041 668 985 7272 5 683
5250 984 991 6047 6 661
5379 1072 981 6893 18 665
5074 866 973 5795 5 661
5372 1158 984 5710 5 660
5505 970 1004 7221 5 667
5564 1236 981 7098 11 663
5612 887 1004 7533 16 708
5278 987 976 7367 6 683
4746 724 1048 7477 11 706
5632 752 1041 7419 7 688
5729 1258 1094 6609 18 714
6326 1427 1187 7928 11 726
6264 1106 1021 6389 7 804
6881 1035 1094 7534 32 740
5982 954 2543 8300 17 702
5788 998 1029 8064 31 720
6203 766 1038 7747 13 707
5715 935 1023 7785 9 866
6674 752 1067 7517 8 727
5655 691 1025 7065 25 713
6073 941 1037 7332 7 734
6032 1083 1022 7828 14 695
5582 1324 1024 7421 7 709
6013 1209 1117 8978 7 744
5707 747 1086 8107 7 719
5890 1087 1033 7599 7 713
5449 837 1026 7445 7 711
5502 971 1033 7304 12 702
5010 1264 1136 5994 13 701
6409 800 1065 8068 8 688
5598 1073 1043 7636 7 714
7701 959 1477 21600 14 706
8788 1008 1788 7799 9 697
5824 1429 1116 6139 8 680
5721 811 970 5952 8 700
5871 729 1018 7205 7 690
5934 1223 1635 7807 9 706
5531 2669 2265 10996 12 686
5907 1126 1010 7119 7 692
5514 1314 1012 6531 8 693
5534 763 1025 6825 7 690
5527 975 1000 6348 7 686
5355 752 971 5582 6 644
5375 928 1171 7158 7 690
5691 1372 1427 7498 9 798
5733 798 1014 7404 9 699
5724 1168 1018 5930 15 701
5784 884 1013 7061 8 704
6047 1041 1014 7585 17 710
5906 1162 1671 8662 49 672
5740 1202 1232 6956 15 706
4631 1130 1006 6002 6 690
6183 973 1021 7365 8 769
5969 5805 1939 10703 9 882
8454 1003 1065 7195 8 778
5669 977 1014 9733 19 726
4664 1065 1240 7529 8 668
5874 1371 1429 10381 8 750
5321 1352 1022 7868 13 723
8159 1266 1329 7953 41 878
6348 1088 1010 7289 7 670
6195 792 1004 8130 12 862
6931 1042 1005 7369 14 701
5797 1536 1181 6088 6 665
4883 1319 980 6020 6 696
6291 997 1013 7475 7 669
5909 989 1000 7208 7 689
5633 1196 1015 6129 11 668
4939 1027 1006 7322 7 699
6361 1083 1064 6185 20 686
6023 1044 981 6647 11 670
5627 651 981 5663 7 682
5386 801 981 7086 6 653
6140 963 1007 7467 7 677
5455 784 998 5594 27 686
4603 885 1002 6854 6 651
4643 809 993 6820 10 658
5790 1127 976 5740 6 643
5419 830 964 7365 6 660
5560 770 954 6909 12 669
5911 1055 942 6554 11 639
5334 1172 932 6803 11 641
5354 1079 937 6751 6 644
5272 1006 942 5697 6 646
5172 730 943 6890 6 689
5834 1063 1011 7056 21 665
5655 851 999 6083 6 679
5536 1136 1008 5639 6 682
5123 1067 1011 7125 7 681
5343 1102 976 7385 21 658
5169 861 986 5801 12 682
6044 859 956 6721 7 690
5682 905 994 6685 12 689
5422 961 963 6899 6 654
5515 1080 954 5587 6 657
5275 821 933 5474 6 642
5307 1033 933 6999 6 646
4422 1038 931 6815 6 642
4506 671 927 5437 13 650
5174 812 930 5735 6 641
4984 634 937 6650 6 662
5629 1027 1197 7174 6 655
6198 623 957 7215 6 648
5328 1057 931 5751 25 649
5553 835 925 6517 6 646
5164 787 924 5503 6 636
5362 678 926 5595 6 640
5092 870 922 7150 6 648
4119 827 924 7266 6 638
5618 795 924 6939 6 645
4095 1235 925 6520 6 636
5025 1036 925 6258 6 637
4879 980 922 5339 6 644
4213 763 923 6918 19 639
5383 1228 926 6411 6 636
5245 742 938 6593 5 640
4224 915 922 5506 6 647
5362 643 922 5456 6 634
5534 618 925 6463 5 659
4072 848 922 6820 6 640
5596 905 928 6599 6 638
4597 619 924 5760 6 633
5223 900 923 5758 6 645
5248 1121 924 5473 6 638
5470 737 923 5552 6 642
5654 815 920 6490 6 639
5302 818 911 6874 6 638
5013 815 919 6506 6 640
5404 920 911 6682 19 631
5076 1235 912 6983 22 632
5184 779 918 6966 17 639
5288 934 928 7012 13 640
4280 1164 915 5716 8 639
5787 812 912 5288 22 648
5552 860 920 7087 19 640
5349 919 837 5607 42 529
5614 1257 809 6266 9 529
5644 1008 813 6344 6 536
5534 1351 817 5307 6 527
5555 1123 807 6381 6 529
5358 996 816 6264 6 530
4787 890 817 5306 26 526
5177 780 815 6595 5 531
5726 821 813 6964 16 533
4446 651 765 5525 20 492
5468 809 758 5551 6 478
5603 788 761 6865 6 481
5164 901 765 6174 6 480
5234 758 748 6560 6 468
5454 928 753 5608 7 468
4978 1028 732 6672 14 452
4434 1002 728 5706 10 471
5710 1109 711 6681 6 376
5013 688 643 6186 13 365
5051 749 638 6056 18 365
5197 652 639 6095 8 363
5115 788 638 6442 14 362
5225 892 644 6465 11 364
5155 927 634 5314 26 369
4986 734 638 6337 6 362
5611 1109 632 6213 5 367
4963 705 631 6198 6 365
4243 898 644 6022 7 357
5236 1098 626 6327 15 362
5061 848 632 6097 15 360
4945 875 626 6364 6 361
5105 812 630 6008 6 357
5128 759 634 6066 6 368
4946 1243 627 6171 6 355
5287 793 629 5519 6 353
4882 714 627 5308 6 357
4474 833 633 6510 6 357
4845 753 630 5308 6 351
5053 937 620 5956 23 358
5136 920 630 5903 6 362
4890 796 628 6099 5 362
5024 958 629 6133 5 361
4403 761 624 6022 6 360
5165 896 622 6221 6 358
5168 821 621 6073 6 360
4417 949 620 6369 6 356
4993 914 626 6169 6 360
5064 646 623 5432 16 354
4945 650 622 6115 6 357
5083 680 621 5283 5 357
5215 586 622 5258 5 361
5060 702 622 6023 5 366
5263 899 619 6136 5 358
5048 851 625 5464 6 356
4990 711 620 6218 5 358
5188 492 628 5922 5 355
5061 932 623 6176 6 354
4891 998 619 6268 6 353
4702 960 617 6154 6 360
4113 1153 615 6146 10 355
4810 1171 619 6075 5 351
4219 890 619 6115 6 353
4793 919 615 5899 6 357
5263 842 616 6118 7 354
5482 812 619 5363 5 358
4793 1124 616 5881 6 365
4213 868 614 6159 6 354
4469 702 620 6177 6 352
4923 872 624 6052 6 360
4477 898 620 6199 5 355
4477 941 617 5191 13 357
4671 563 615 6095 5 355
5440 687 610 5974 6 351
4311 702 618 6127 5 357
5416 909 676 6667 6 364
5183 880 611 6165 14 364
4977 773 612 6019 5 353
5154 871 613 6168 30 354
4941 830 613 6005 10 358
5267 690 608 6125 6 353
4721 993 652 6373 21 428
4728 1006 654 6119 6 395
4997 629 659 6247 21 401
4348 933 656 5959 6 404
5109 918 653 5875 6 399
4887 1152 656 6101 6 425
5468 765 704 6107 10 453
5100 851 713 6111 17 454
5257 727 718 6214 6 453
4946 687 706 6292 13 454
5269 796 715 6092 6 454
5240 761 717 6066 6 455
4548 770 709 6357 16 454
4493 927 711 6187 5 453
5164 837 705 5023 7 454
4288 1025 718 6312 5 454
4791 1025 708 6034 6 449
4948 914 707 6091 6 448
5025 1049 702 6152 7 451
5153 941 709 6092 6 451
4949 1057 708 6068 6 460
5062 912 704 5956 7 459
5150 1022 702 5863 6 457
5111 892 704 5989 5 455
5181 804 705 5916 5 457
5017 885 705 6044 6 449
4600 838 709 5763 5 454
5065 837 704 5921 5 456
5127 829 715 5165 6 457
5314 840 701 6225 6 450
4290 706 698 6249 67 446
4316 972 700 5882 6 452
4977 1106 705 5928 6 456
5310 886 703 5863 6 452
4981 882 702 6164 5 455
5125 737 719 6108 6 470
5289 1158 720 6246 6 485
5449 819 726 5976 6 483
5301 826 738 6268 22 466
4473 891 740 6263 6 480
4546 976 716 6300 6 462
5024 1064 711 5262 6 463
5038 951 716 6667 6 483
4697 986 718 6331 6 481
5505 888 710 6495 6 490
4390 1068 731 5981 6 450
5108 963 691 6031 5 449
4296 904 693 6163 161 450
5182 880 693 5223 17 448
5003 840 690 5960 8 450
4973 930 689 5869 9 467
4942 1076 692 5981 13 452
5291 577 680 5778 35 446
5028 810 694 6277 6 448
