RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
3371 422 3687 28493 6 18
3988 391 3695 29987 6 23
2974 417 3958 28388 5 20
2849 415 4371 27835 4 14
2982 452 3654 30521 12 25
3389 595 4209 29647 6 19
2853 380 3638 30283 48 22
3296 608 4791 29438 5 26
2742 449 3742 29034 6 20
2847 422 4197 32805 6 23
3417 440 4111 30448 5 18
2701 359 3837 27343 5 17
3075 453 3987 28659 5 16
3259 408 4026 28842 3 28
2646 418 4836 28815 6 25
3440 388 4325 27639 5 20
3231 565 4643 33109 4 25
2615 611 4291 27909 4 20
4192 469 4064 28656 3 16
3190 403 4317 27990 4 16
2900 404 3608 25706 7 19
2723 602 5073 31464 4 25
3057 421 4358 28735 5 27
3215 520 3735 29218 6 21
4191 513 4211 29757 5 17
3125 390 3591 27463 6 20
2975 363 3364 27950 5 16
2666 397 3585 25300 5 16
2714 392 4107 25088 4 17
2773 388 3475 25568 4 18
2685 380 3552 25514 4 20
2851 379 3560 25791 4 19
2764 382 3617 26351 3 16
2712 394 3741 27424 5 36
3604 388 3932 26455 6 16
3205 448 3537 27567 7 24
3675 472 4331 28973 7 25
3070 361 3791 26538 5 19
3008 370 4105 27022 3 16
3221 410 3967 27919 3 21
2874 393 3758 26817 6 23
2629 403 3797 26164 3 15
2697 388 3767 27169 3 16
3089 386 3716 26915 5 15
2802 350 3805 26072 5 14
2698 406 3583 26582 3 19
2815 397 3754 26842 6 22
3006 404 3781 26241 5 16
2820 418 3564 26456 4 19
2863 408 3743 26881 3 17
2805 403 3907 27868 4 19
2591 398 3739 25812 3 19
2568 408 3661 27126 4 18
2851 395 3740 28636 5 19
2753 391 3651 27012 4 15
2793 412 3454 26959 4 15
2825 392 4272 28651 5 42
2906 477 3650 27121 6 27
3270 365 4043 26617 3 22
3071 423 3869 30298 3 17
2886 375 4402 29097 5 15
3286 455 4068 27339 14 18
3133 434 4163 29438 3 18
2886 392 3837 28250 3 18
2608 412 4450 26843 5 18
3075 391 3814 27247 4 22
3450 380 4536 25737 4 17
3604 384 4998 25586 5 20
2677 455 5425 35276 5 16
2838 361 4126 27817 4 17
2715 450 4034 28452 4 18
3014 450 4375 29613 5 15
3310 358 4009 27555 4 19
2595 403 4791 30673 5 19
3273 390 3991 28782 4 18
2738 402 3752 29327 4 15
3124 418 3631 26137 13 20
2935 410 4477 30011 4 20
2621 392 4121 27993 3 18
2994 450 3540 34696 4 17
3329 446 4162 29602 4 16
3186 393 3506 28624 3 17
3198 364 3881 29004 6 40
2776 451 4395 38220 4 19
2593 355 7695 31144 55 20
2679 381 3346 24992 4 16
2743 401 4714 27221 5 18
3837 370 3980 26059 4 16
2679 482 4311 28477 4 29
2864 455 5134 29581 4 18
2851 475 4447 27465 4 20
3317 438 3566 27707 15 21
3058 436 4162 29278 10 29
3182 436 3962 28491 11 18
2604 446 4260 26864 5 16
2818 434 4193 29452 16 21
3082 413 4375 29556 3 15
2590 408 3407 29722 4 15
3288 403 3665 28648 4 20
2952 420 4190 29678 3 18
3188 476 3634 27566 11 17
2831 354 3681 28232 5 20
2726 451 4052 27493 5 17
2652 370 3575 26467 5 18
2967 498 3608 30997 5 17
3037 465 4347 29634 3 26
3486 410 4352 27749 4 18
3112 441 3398 28186 5 17
2824 439 4290 28941 11 26
3128 403 3896 29252 4 17
2557 456 3827 27699 4 14
2621 523 4101 29214 4 16
2837 393 4213 28564 4 16
2933 390 3500 28256 3 14
3036 458 3655 27369 4 17
3085 444 4282 29434 10 26
3198 416 4002 27688 11 16
2579 405 4277 28202 4 17
3061 420 4309 29448 10 23
3163 378 4108 27119 3 15
3223 400 4110 27948 4 15
3006 396 4162 28398 4 20
3255 466 4226 29541 3 28
3130 358 3960 27236 3 25
2907 375 3763 29806 10 18
2811 458 4120 29059 3 15
3037 381 3877 27570 4 15
2576 461 4029 27411 5 22
3512 400 4104 28310 4 28
3900 486 3678 30824 4 19
2717 391 3859 29819 5 19
3021 428 4144 29863 3 25
2867 439 4148 28277 11 15
3046 456 3644 29606 4 18
3089 458 4053 29411 3 17
2794 430 3990 27286 5 15
3095 360 3609 27808 5 17
3159 456 3981 28134 3 20
2933 480 4121 28826 4 16
3436 509 3490 25812 4 15
2969 450 3939 30588 16 19
4491 377 4232 25870 7 18
2696 392 4050 30344 5 18
2809 402 3671 27369 6 22
2768 397 3720 27904 7 18
2830 441 4904 26451 6 18
2812 400 4005 26200 4 23
3015 379 4732 30620 6 20
3380 485 3972 28639 4 26
3480 363 4306 27395 4 21
3081 431 4761 31497 4 22
2568 436 3612 29942 3 16
3510 456 3710 29431 3 17
2781 397 3733 28695 3 15
2983 407 4240 28393 3 15
3138 443 3650 29400 5 15
2964 458 4093 29600 4 14
2935 462 3742 27530 9346 15
2575 411 3899 27296 4 19
3230 399 4168 29077 4 27
3212 406 4241 27819 4 19
2555 399 3691 29530 5 14
