RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
9486 3552 1725 16825 36 899
6991 1014 1256 8819 7 633
4885 888 1097 8357 6 620
4990 845 1098 8476 6 624
5246 957 1103 9230 11 667
4747 834 1113 8968 7 670
5665 774 1129 8867 9 624
5295 763 1098 8341 8 627
5099 1061 1111 8932 13 624
6041 1063 1182 8636 7 664
5475 983 1172 8932 7 664
5275 674 1180 8272 6 623
5381 1032 1213 8412 7 624
5490 887 1169 8704 11 629
4444 1110 1163 8553 6 623
5421 984 1095 8704 6 628
4929 1047 1143 8369 6 626
4482 867 1120 8645 6 620
4419 919 1104 8416 11 618
4310 1232 1097 8017 6 620
5012 1130 1091 8293 6 622
5519 931 1096 8075 9 622
5164 1207 1093 8984 12 658
5841 1122 1182 9919 8 645
5966 1075 1151 9708 25 647
5080 1160 1085 8182 35 633
5208 751 1088 8059 6 626
5277 940 1092 9099 6 630
5437 809 1113 8101 6 650
4903 1000 1089 8194 11 622
4895 816 1093 8308 9 619
5556 1030 1092 7858 10 618
5321 726 1091 8590 6 629
5152 721 1092 8620 6 623
4954 899 1093 8265 36 623
4810 994 1086 9812 13 682
5797 1271 1172 9162 7 664
5406 756 1202 8618 6 681
5811 687 1191 9113 7 674
5217 1366 1191 8078 7 649
4869 1555 1087 8174 6 626
5302 1023 1079 8051 3135 661
6010 803 1173 10117 12 738
5204 1315 1213 12112 16 651
5354 866 1108 8571 11 659
5223 991 1084 8806 650 612
5314 800 1083 8171 9 615
5353 1221 1223 9683 59 662
5729 997 1076 8529 10 609
5172 1183 1099 8442 10 613
5488 1078 1111 8142 259 610
5386 1211 1134 8111 232 604
4910 774 1081 8776 218 650
5402 884 1074 8034 36 601
4932 728 1114 8583 91 627
5733 769 1075 8588 101 606
5088 937 1074 8079 18 602
5676 960 1106 8218 6 600
5359 890 1060 8384 6 604
5099 1129 1059 8191 6 603
4988 874 1086 8438 6 621
5478 982 1076 8303 88 610
4939 644 1060 8278 6 596
5620 1028 1077 8216 6 601
5139 903 1058 7864 6 606
5411 1013 1062 8179 20 609
5471 970 1074 8218 12 598
5185 795 1050 8481 12 597
5557 835 1112 8328 6 648
5628 1187 1089 8602 6 635
5792 948 1110 8792 6 633
5417 739 1144 8777 6 632
5482 877 1086 9357 7 618
5053 728 1142 8681 8 627
6107 1580 1086 8881 6 661
5371 605 1171 8525 6 648
4973 737 1079 8558 7 616
5928 1075 1153 8906 8 658
6142 1161 1107 8657 8 631
5629 949 1169 8845 7 639
5495 893 1143 8418 7 632
5150 992 1110 8677 7 644
5273 1353 1136 9077 7 632
5266 1058 1125 8671 6 629
5747 935 1093 8476 7 638
6261 911 1135 8633 15 630
5598 936 1073 8374 15 609
5592 1123 1112 8285 7 613
5311 1040 1212 8649 6 611
5256 910 1086 8512 6 614
5124 956 1104 9032 6 608
5442 1187 1075 8538 6 667
5659 991 1101 8127 7 620
5599 1046 1081 8435 6 614
5868 1017 1076 9071 7 629
5821 709 1078 8266 8 600
4970 902 1041 8400 6 604
5415 856 1047 8913 14 601
5178 965 1052 8113 11 604
5439 851 1087 8378 16 598
5200 765 1043 8417 6 592
5613 1019 1044 8719 6 593
5599 1110 1044 8192 5 596
5363 1036 1048 7916 6 598
4866 855 1046 8271 6 593
5715 1094 1046 8219 6 591
5484 1257 1040 8236 6 595
4952 839 1058 8278 6 594
5749 890 1083 19624 19 746
5943 862 1139 9202 8 659
6106 2216 1498 10821 8 652
14645 1366 1446 8981 8 654
6843 948 1226 9702 7 646
5207 805 1196 8504 7 671
5907 1292 1130 8904 8 844
5300 892 1150 8792 8 635
5636 1011 1147 8747 8 623
5490 781 1051 8199 12 599
5419 1253 1065 7781 6 594
5351 787 1039 8101 10 695
5206 1200 1071 8756 15 621
5641 1050 1156 8719 22 612
4974 753 1083 7838 21 597
5327 1130 1040 7964 6 595
5609 914 1045 8469 10 593
4739 737 1056 7773 7 592
5119 818 1035 8179 6 599
5588 808 1060 8213 6 596
5710 1131 1037 8008 6 642
5272 827 1081 8426 6 592
5644 1073 1093 8346 7 661
6000 862 1033 8554 6 598
5238 739 1072 8580 6 627
5963 968 1046 8380 7 605
5420 935 1207 8256 6 605
5471 809 1057 7698 7 597
5269 915 1050 7857 7 608
4984 773 1274 9392 8 653
7581 2310 1540 8983 13 833
5751 1076 1061 8380 13 596
4510 724 1037 8021 6 669
5156 699 1107 8641 8 634
5346 1067 1092 8881 42 628
5530 1024 1054 7966 7 630
5891 921 1085 8159 11 623
5953 1026 1081 8337 7 632
4642 921 1055 8548 6 615
5478 937 1086 7830 7 689
5392 1277 1074 7808 7 625
5008 1096 1082 8491 7 617
5343 794 971 7746 27 543
5951 830 971 7808 6 547
5211 1025 1021 8438 16 566
5713 1096 1046 8552 7 564
5596 856 1232 8082 16 565
5553 1296 1027 8407 13 562
5092 956 967 8059 12 540
5437 842 1028 8181 7 558
5416 660 968 8386 22 534
5307 868 1080 8176 6 533
5448 1037 997 8138 10 532
5300 973 962 8333 31 567
5449 755 978 7965 5 598
5543 808 992 8235 5 536
5170 912 986 8155 41 533
5793 872 979 8013 7 573
5415 739 1000 8444 13 548
5227 730 1043 8123 6 658
5328 1784 965 8540 7 542
5646 1425 963 8602 6 617
5590 1440 1143 9242 15 570
5632 883 1024 8388 7 533
5542 1069 1078 7989 7 622
5037 1126 1028 8590 7 565
5560 1248 997 8458 8 539
4502 1173 994 8232 7 557
5302 1460 957 7952 11 528
5488 864 959 7903 14 532
5187 837 965 7916 6 548
5131 737 958 8002 6 531
4886 730 993 8250 6 538
5652 1142 959 7644 6 530
5092 854 962 8392 6 531
5234 1218 959 8143 10 527
4503 1149 960 7894 6 531
5110 1056 1006 8381 6 538
5113 1082 959 10189 26 606
6011 1023 1024 8707 15 567
5305 715 988 7602 22 557
4342 963 964 7895 10 563
4459 949 963 8492 6 532
5618 846 997 7493 6 528
5117 696 958 7681 11 529
4580 952 952 7608 10 531
5308 697 955 7794 6 531
4653 818 966 8244 9 556
5203 988 955 7947 14 542
5428 755 954 8209 10 547
5226 1367 1080 8257 7 565
5733 964 979 8189 13 539
5466 849 1015 8090 12 546
4879 1044 973 7591 6 537
5340 871 950 7563 11 536
5393 1056 992 8082 5 526
5477 1031 951 7729 10 531
5407 1019 951 7902 39 529
5528 1004 971 7610 8 528
5247 919 975 7829 6 531
4921 1066 950 7560 41 529
5516 860 945 7609 10 533
5427 764 949 7520 6 528
5423 653 951 7656 6 528
5187 929 975 8684 17 570
5790 739 1017 8978 14 572
5711 1269 1008 8287 15 565
5313 833 1012 8865 8 597
6376 982 1009 9447 14 572
6853 1078 996 8393 127 597
5138 798 1023 8029 11 530
5790 691 954 7673 7 531
4909 1026 969 8432 6 539
4339 732 951 8441 16 536
4982 1042 1050 7641 6 525
4965 1006 939 8100 7 545
5292 1141 946 7923 6 533
5462 1011 959 7679 6 525
5079 812 942 7362 6 576
5670 964 941 7998 242 528
4435 765 1012 7997 10 524
4518 794 939 7707 6 527
5297 806 944 7917 7 528
5696 1067 941 7877 10 548
5048 1024 937 7812 6 529
5523 813 941 8113 6 527
5217 1020 936 7623 6 530
5439 979 963 8527 13 558
5628 1230 978 8076 12 563
5885 922 963 7764 8 542
5654 874 963 7753 6 541
5637 1153 999 8001 7 545
4716 1045 988 7573 6 540
6307 1086 996 8223 7 544
5738 1160 990 7851 6 542
5548 866 978 8275 8 546
5019 1115 937 7616 7 528
5634 1086 945 7685 246 528
5081 963 939 7568 9 523
4764 1016 939 7498 6 527
5362 789 934 7699 7 527
4796 959 934 7369 8 525
5882 982 941 7685 11 525
5297 1463 1741 8870 9 569
6047 1458 1215 8579 8 569
5883 1024 966 8317 20 548
5525 1524 1040 7932 277 555
5525 776 946 7597 9 615
5239 776 945 7974 6 542
4309 950 975 8172 6 535
5628 1127 944 7969 6 542
5607 890 979 8426 6 547
5525 951 937 8058 7 571
5053 993 975 8015 6 601
5351 727 938 7688 12 532
5575 1071 961 7714 13 537
5810 816 935 7458 7 537
5103 1104 939 7757 5 534
5065 981 942 7423 6 535
5769 1016 940 7341 6 537
4607 1111 939 7612 15 533
5704 842 937 7520 6 536
5366 727 935 7537 31 533
4596 804 957 7644 12 535
5544 878 956 7816 26 534
5280 1039 934 7611 5 542
5191 744 936 7323 11 534
5256 1033 935 7804 17 535
5400 871 945 7395 20 540
5606 1192 938 7811 18 559
5591 816 978 7753 27 582
5087 804 969 7488 10 564
5255 757 962 8161 9 559
5435 1406 966 7829 12 572
5199 1041 962 7326 7 565
4709 860 961 7384 7 562
5368 1042 959 7767 12 557
5042 889 958 7472 6 559
5038 788 956 7193 39 558
5353 956 957 7331 14 596
5491 1006 964 7778 6 558
5415 864 957 7309 17 566
5245 1012 966 7656 10 587
5365 1023 955 7489 19 557
4418 1097 994 7981 2891 602
5380 780 1002 7535 14 600
5207 858 995 7445 26 596
4627 785 1000 7702 10 596
5160 887 999 8580 5 598
4741 685 997 7156 5 601
4832 1157 1068 7422 925 673
5063 1021 1075 7928 763 692
4969 745 1074 7916 40 680
5493 1007 1075 7443 26 679
5237 1076 1069 7727 33 682
4550 766 1092 7866 11 682
5276 767 1065 7889 22 675
5302 1099 1069 7591 34 689
4322 959 1067 7672 5 684
4344 638 1081 7485 1495 718
4994 1025 1082 7456 15 748
5115 1195 1094 7470 32 692
5632 1052 1085 7779 56 699
4816 1173 1084 8086 92 698
5546 934 1086 7679 9 692
4606 897 1078 7625 105 709
5160 874 1085 7379 190 699
4554 611 1084 7951 14 692
5383 1025 1080 7645 14 691
5548 713 1074 7606 5 687
5220 889 1077 7863 5 694
5207 744 1079 7554 6 697
5226 831 1078 7641 28 691
4550 805 1082 7613 5 686
4592 773 1079 8168 6 694
5133 1014 1080 7530 9 694
4651 853 1074 7250 6 692
5023 803 1076 7227 6 701
5349 766 1079 7394 5 692
5421 725 1083 7562 11 695
5643 785 1073 7592 14 693
5638 1049 1073 7697 16 693
5223 826 1073 7719 6 696
4633 860 1074 7425 5 694
6026 990 1089 7596 6 690
5473 901 1071 8010 9 698
4738 1006 1074 7878 6 685
5195 1086 1070 7789 5 703
4821 720 1072 7627 28 692
5339 695 1074 7432 5 695
5658 809 1069 6979 25 690
4722 741 1072 7947 9 683
5228 1142 1070 7485 14 690
4565 723 1077 7546 5 689
4461 946 1073 7719 6 686
4438 1015 1072 7729 6 693
5750 945 1067 7531 6 705
5415 918 1075 7360 6 690
5197 881 1101 7671 6 688
5416 836 1066 7300 13 690
4405 1114 1070 7723 6 705
5411 1055 1067 7360 30 690
5144 1384 1068 7083 22 692
5333 1324 1061 7809 14 689
5122 943 1069 7967 35 693
5389 609 1065 7675 6 686
4851 897 1074 7791 6 687
4631 801 1068 7178 5 691
5015 663 1074 7460 6 689
4469 1527 1082 7542 6 690
4656 897 1066 7336 6 720
5744 913 1073 7575 6 685
5164 1116 1060 7515 6 701
4951 658 1061 7619 9 691
