RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1910 497 602 3427 4 359
1831 470 529 2919 3 290
1316 348 458 2605 31 265
1169 289 427 2415 3 246
1120 258 407 2187 6 232
1034 269 384 2252 22 228
1066 283 385 2178 2 231
1058 246 386 2305 3 231
1022 299 384 2167 3 232
1152 262 384 2193 3 261
1061 318 379 2207 11 235
1034 310 381 2208 28 230
1119 273 384 2187 11 231
1070 284 384 2173 3 232
1173 241 382 2182 2 230
1160 268 379 2206 3 230
1104 243 384 2161 3 229
1063 244 380 2156 2 234
1131 333 378 2259 2 229
1233 238 381 2173 2 233
1020 256 380 2235 2 231
1088 262 378 2219 30 238
1054 245 378 2179 20 241
1002 209 379 2180 6 230
1033 285 379 2111 8 230
1075 228 375 2130 74 227
1165 244 371 2198 11 224
1065 243 373 2162 11 232
1139 279 373 2103 11 228
1002 277 368 2160 12 227
1166 258 374 2173 2 226
1259 281 401 2231 2 227
1058 314 372 2198 3 229
1037 297 373 2169 2 224
1242 246 371 2136 5 225
1099 229 372 2146 2 228
1229 260 368 2179 2 225
1002 234 374 2105 2 225
1054 252 370 2113 3 228
1076 256 364 2135 2 220
1044 213 365 2140 3 220
1238 341 365 2118 3 228
1129 268 380 2191 3 226
1072 273 372 2342 4 241
1095 258 376 2177 2 235
1285 259 368 2144 20 248
1026 230 359 2147 10 227
1020 292 361 2097 8 221
1098 328 363 2102 20 220
1121 309 359 2125 36 219
1019 240 361 2130 28 218
1026 297 358 2065 4 219
1054 257 357 2055 4 218
1229 289 358 2158 3 221
986 256 360 2167 7 221
1096 292 357 2161 4 221
1054 263 360 2067 11 221
1067 260 361 2125 19 222
1093 336 383 2062 3 247
1025 199 379 2094 8 241
1146 325 377 2136 18 241
1044 373 372 2084 6 241
1007 263 377 2053 3 239
997 295 374 2156 2 240
1110 282 371 2054 3 238
1083 310 375 2076 2 239
1015 286 372 2067 9 236
1002 237 373 2097 2 237
1051 240 373 2097 2 236
1076 346 421 2114 2 237
1238 304 367 2050 11 244
1050 294 369 2077 44 238
1110 230 371 2091 7 237
1025 235 373 2043 19 237
1080 221 359 1997 11 234
1087 317 362 2104 28 226
1322 287 357 2053 11 227
1045 342 354 2026 3 231
1108 276 355 2053 11 228
1008 231 356 2023 11 227
1066 280 362 2006 11 229
992 327 360 2073 2 233
1011 326 361 2024 2 235
1104 249 360 2045 3 230
1023 308 360 2050 11 231
1126 218 358 2056 2 229
1017 306 359 2050 11 231
1032 245 358 2030 3 227
1026 279 359 2004 7 233
1019 341 357 2025 2 226
1075 357 358 2118 13 232
1086 304 374 2055 2 233
1019 217 361 2081 2 233
1031 281 360 2058 3 233
1013 208 357 2043 2 232
1066 261 372 1951 2 244
1083 311 369 2042 3 244
1124 244 369 1988 20 244
1044 298 369 2003 11 243
1077 256 354 2018 11 228
1030 302 345 2051 2 221
1101 341 344 1923 25 221
1049 250 346 2052 20 220
1085 349 380 1992 23 235
1154 281 350 1958 2 229
1064 239 350 2018 2 228
1072 250 353 2021 3 229
1045 304 353 1964 2 232
1050 265 352 2104 2 245
1010 231 352 2116 2 238
1006 238 353 2129 5 229
1107 231 353 1982 2 228
1084 235 354 1950 2 227
1215 215 354 1984 22 227
1139 248 345 1988 3 226
1039 282 347 1963 2 226
1077 253 347 2119 2 226
1077 306 347 1969 2 224
1078 274 348 1966 2 225
1093 197 344 1926 2 225
1042 371 345 2036 2 225
1123 258 344 1992 2 224
1087 330 342 1964 2 227
997 292 347 2025 2 226
1176 283 350 1922 2 227
1073 275 341 1896 2 227
