EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
2173 743158 207 2142
37 83201 209 7
12 80831 202 2
0 80987 202 2
0 80601 201 2
0 80601 204 1
1 80315 200 1
9 80551 204 2
0 80257 200 2
0 80310 201 2
1 80350 202 2
7 80691 204 3
1 82946 206 3
0 80410 204 2
0 80689 203 2
1 80161 200 2
1 80814 202 2
0 80306 202 1
7 80662 201 2
8 80205 202 1
4 82611 210 2
1 84451 221 2
7 84266 204 7
6 80528 203 2
1 80788 204 2
51 81581 212 2
59 81235 214 2
25 80563 206 2
39 80865 203 2
0 80579 205 1
0 81116 202 2
0 80436 200 1
35 81192 203 1
6 84849 229 2
10 86854 214 2
737 86003 231 3
5 87812 218 2
56 87714 222 4
5 84931 214 2
8 83885 217 2
252 84951 214 2
249 82497 211 4
229 81732 210 3
29 81279 200 3
97 80977 199 3
15 80576 198 2
0 80858 197 2
0 80468 198 3
0 85178 261 6
2 82761 212 3
94 80904 205 6
1 80939 202 3
1 80969 200 2
1 81092 202 2
9 80990 202 2
7 81011 198 3
7 83199 221 3
1 83975 207 2
1 83275 205 3
1 81001 201 3
1 80673 197 3
1 80641 200 3
1 80625 199 3
0 80822 199 2
1 80626 201 2
0 80911 199 2
1 80872 199 2
1 80863 198 2
1 80792 198 2
1 80979 198 3
1 80818 200 2
0 80691 199 2
0 80757 200 1
1 80862 203 2
8 80537 197 2
8 80928 198 2
0 80716 197 2
0 80670 199 2
0 80955 199 2
0 80483 198 2
0 80605 196 2
1 80871 197 3
0 80600 196 10
0 80605 201 2
1 80590 197 2
1 80198 207 2
0 80636 197 2
7 80555 199 2
12 80612 200 3
0 80857 197 3
0 80479 200 2
0 80682 196 2
0 80516 196 2
0 81403 220 4
0 84400 205 3
1 83493 213 3
1 80950 198 6
9 80711 198 6
1 80644 197 3
0 80508 199 1
0 80604 201 2
0 80669 198 2
0 80375 197 2
1 80537 197 2
1 81078 198 2
1 80740 197 2
5 80801 197 2
0 80866 197 2
1 80536 197 2
6 80555 198 2
13 80506 196 2
13 80516 196 2
0 80976 197 3
4 80732 196 3
1 80937 198 3
0 80759 198 2
0 80577 198 2
0 80897 195 2
0 80620 197 3
1 80676 197 2
0 80385 196 2
0 80923 197 2
0 80322 198 2
0 80630 198 2
1 80408 197 3
0 80593 198 2
1 80828 201 3
5 81046 196 2
5 80927 196 2
0 80865 196 2
1 82924 207 3
32 83706 217 3
1 82978 200 3
1 80650 199 3
0 80757 198 3
0 80814 199 2
0 80694 209 2
1 80882 196 2
1 82134 222 7
20 86086 221 4
1 82021 202 4
13 80800 199 3
1 80676 199 3
9 80767 196 3
5 80650 198 2
6 80793 199 2
1 80674 198 2
11 80637 197 3
0 80643 196 3
4 80540 194 2
23 80849 197 2
0 80832 198 3
1 81048 201 3
36 80948 198 2
1 80871 198 2
7 80948 197 2
0 80846 197 2
0 81445 203 6
1 81152 199 2
1 80695 198 2
0 80741 199 2
1 80551 196 2
0 80785 198 2
1 80872 203 2
1 80822 195 2
5 81082 197 2
7 80832 197 1
0 82782 207 3
1 84720 209 3
1 84590 199 2
1 80808 199 2
0 80507 195 2
5 80827 199 2
0 80510 196 2
1 80585 197 2
10 80827 200 2
7 80643 196 1
16 80621 197 2
4 80756 198 2
0 80615 194 2
0 81059 195 2
6 80630 202 2
5 80597 196 2
1 81313 197 7
4 80892 196 2
8 80366 195 2
4 80784 194 2
1 80559 193 1
5 80508 198 1
5 81134 198 2
0 80583 194 2
4 80701 197 2
0 80448 199 2
6 80370 198 2
15 80293 195 1
1 80266 195 3
1 80463 195 2
5 80330 194 2
5 80631 195 1
0 85178 211 4
1 81079 198 2
1 80941 198 2
7 81494 213 4
8 91396 219 4
2 84540 207 4
7 95430 223 4
65 86506 211 3
7 82444 203 3
2 81537 210 3
1 82237 200 3
10 82081 202 3
1 81252 198 3
1 82808 207 4
1 89459 202 4
2 82147 202 3
1 83612 215 3
275 82925 205 3
8 81876 202 3
1 81417 200 3
1 80944 193 3
7 81347 208 2
0 81144 210 2
1 81074 215 3
1 81148 195 2
8 81320 198 2
7 80936 195 2
0 81077 211 2
0 81026 196 3
1 83384 211 3
1 85944 215 4
2 85692 214 4
1 85413 208 4
1 85913 223 4
1 88036 218 4
261 86143 209 3
7 83707 228 4
1 85267 214 5
2 81651 198 3
7 82187 201 2
