EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
8505 1505801 2506 22644
30 10648 397 6
5 9820 364 6
7 9813 358 5
12 9731 411 5
2 9859 356 5
16 9725 355 6
5 14229 768 8
42 15344 378 8
3 14796 390 7
7 10136 353 5
9 9685 343 5
1 9727 338 4
6 9552 331 7
4 9578 355 5
1 9612 324 5
1 9523 355 6
1 9627 346 5
4 9759 348 5
1 10055 355 5
5 9646 333 4
1 9737 357 5
11 9920 364 7
2 9966 368 6
2 9534 341 4
1 9294 319 5
1 9258 325 5
1 11080 343 10
6 9248 342 5
2 9179 337 9
2 9277 334 5
6 9186 321 4
6 9063 317 7
1 9091 314 4
3 9019 316 4
1 11122 501 9
7 9538 451 6
2 15104 455 9
2 10869 364 7
8 12760 356 7
12 9818 359 6
6 9774 338 5
10 9417 318 6
1 9078 347 5
1 9594 335 5
1 9136 311 4
1 9132 315 5
0 9204 333 6
1 15162 575 8
2 9803 352 7
2 9549 338 6
2 9573 341 9
1 9492 330 7
5 9514 328 6
1 9479 326 4
5 9513 321 4
1 9445 355 6
0 9496 321 5
4 9117 306 4
0 9005 305 13
1 9144 325 5
4 9505 311 4
0 8983 304 4
0 9269 329 6
5 9370 306 7
0 9005 303 4
4 9044 308 6
3 9433 325 10
0 9239 307 4
0 9135 323 10
4 9433 309 5
0 9052 304 4
0 9412 321 4
0 9290 307 7
0 9032 307 5
4 9048 307 8
1 9421 322 8
0 9182 310 5
0 9233 339 5
8 9655 333 5
6 9547 328 7
1 10272 341 7
5 10211 323 4
1 9733 329 16
10 9608 342 7
3 9624 336 4
5 9561 328 10
0 9118 312 10
1 10555 334 6
6 9720 330 4
5 9544 325 10
0 9562 334 10
5 9669 348 12
1 9513 327 7
0 9463 324 5
1 9498 322 6
7 9493 322 4
1 9519 326 7
1 9618 324 5
1 9189 307 13
0 9278 319 11
1 9479 307 7
0 8963 306 6
0 9391 320 7
1 9203 308 8
0 9228 323 5
6 9514 318 21
1 9412 318 10
0 9018 306 11
0 9373 322 8
0 9267 306 8
1 9052 311 5
0 9551 323 8
6 9069 309 8
5 9312 323 7
0 9506 323 5
1 9537 324 10
3 9535 322 8
1 9125 307 5
0 9305 322 4
4 9335 310 13
0 9107 312 13
1 9511 320 5
5 9170 306 7
0 9266 321 11
1 9418 306 4
0 11349 334 5
6 9735 309 8
0 8975 320 9
1 9433 327 5
4 9497 321 10
1 9412 303 6
0 9063 304 9
0 9507 319 4
1 9171 303 7
1 9257 320 6
1 9389 304 10
0 9086 324 7
0 9621 324 12
0 9081 307 5
6 9204 318 9
0 9558 321 6
0 9521 331 5
4 9144 313 4
0 9402 320 14
1 9344 308 8
0 9216 320 5
0 9595 303 11
0 9070 303 4
0 9507 323 4
1 9382 310 4
1164434413 277879 1630 139
578 10657 314 5
244 9848 304 14
10 10004 305 9
1 10116 306 4
8 9536 303 10
4 9155 304 4
4 10162 325 8
1 9402 302 10
4 11980 317 1245
2087 12646 307 7
1 9133 300 4
5 9456 305 11
204 9415 305 5
1 10151 309 4
0 9363 305 4
0 9777 346 13
7 9902 315 4
1 9377 334 10
7 10091 309 247
1 9836 306 244
207 9966 306 4
2 10476 311 7
1 9601 311 4
1 10121 319 236
1 9980 320 5
2 9215 311 11
303 9856 310 4
1 10211 308 7
1 10181 302 251
211 10248 300 4
4 11286 309 4
1 9401 319 7
201 10128 595 255
1 10144 312 8
5 9902 309 4
0 9562 303 9
0 9627 301 6
3 9772 304 3
229 9118 308 8
237 9815 302 15
6 9128 300 3
1 9396 302 8
1 9667 305 11
1 9892 301 243
1 9275 304 4
1 9292 305 10
1 9153 306 4
1 9576 319 8
1 9968 305 4
1 9454 309 11
1 9250 306 4
7 9188 304 10
1 9333 298 11
4 9345 300 4
0 9286 301 4
1 9172 301 239
217 13078 391 5
1 9433 306 13
1 9187 305 4
4 9444 300 246
1 9166 304 3
0 9130 301 3
4 9117 302 7
0 9460 303 6
5 9127 301 3
4 9409 318 10
0 9135 301 7
0 9110 301 7
4 9618 298 4
0 9131 300 10
0 9136 303 4
0 9156 298 8
0 9241 305 5
5 9195 300 14
1 10145 299 4
0 9146 312 4
1 9140 303 6
4 9101 306 10
250 9371 301 4
0 9945 303 4
289 10059 303 4
0 9567 300 7
6 9797 302 4
1 10147 303 4
237 9675 302 4
0 10024 327 9
1 10051 398 9
7 9312 314 8
6 9968 305 4
1 9179 310 12
5 9932 310 251
1 9382 305 3
0 9580 301 4
0 9180 302 9
3 9112 298 4
1 9157 302 4
1 10121 334 5
1 9984 324 45
1 10220 318 7
2 9194 301 4
0 9147 300 9
1 9150 298 10
1 9421 299 6
0 9371 310 4
250 9358 304 7
0 9362 300 10
0 9371 301 8
0 9152 302 7
0 9271 311 4
1 9952 313 4
1 9660 325 10
6 9695 322 8
5 10121 331 5
1 10280 328 4
1 10171 328 223
188 10508 334 4
1 10207 327 4
1 10783 329 4
235 10104 332 250
1 9956 335 4
1 9975 330 6
5 9907 338 8
1 10050 335 10
2 10425 356 5
1 14180 620 6
31 17310 362 12
6 10009 388 11
2 9993 341 5
5 9951 336 11
1 9682 332 5
1 10052 331 9
1 9811 326 4
1 9999 332 8
1 10111 409 5
1 10350 383 11
3 11105 383 11
3 9893 345 10
1 11529 349 5
6 11033 352 39
1 10508 335 5
1 10473 331 5
3 9991 319 4
1 9559 315 17
1 9677 333 4
1 10134 316 4
0 9629 318 8
1 9412 301 3
1 9127 302 3
1 9065 300 4
