EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
1468 913220 259 3406
20 71163 240 12
11 67725 242 18
7 66350 242 16
26 66297 243 71
17 67138 246 49
1 75134 247 4
1 69391 247 4
7 67432 242 17
6 66371 243 18
3704 67113 244 14436
1705 66267 241 8176
1 66680 242 3
1766 66337 256 8440
5 66750 253 14
5 66687 246 13
1 67411 256 6
1 66832 243 4
7 66727 239 13
3374 66403 241 15163
6636 72139 260 31151
9 68243 240 16
7 75490 260 16
9 73455 255 16
16 77425 259 16
1810 86243 263 9968
3566 79541 285 15860
7 86657 261 16
8 76805 271 24
14 68493 249 18
6 67574 255 18
1 67025 245 2
6 75677 258 16
10 78637 269 28
72 71847 258 288
17 72945 256 64
13 73688 255 45
25 71506 258 93
22 76888 252 109
10 76348 260 34
18 69238 240 64
10 66991 239 41
1523 67018 235 7364
17 66076 237 81
23 66323 238 82
1 66002 236 4
1 67804 252 5
2 70104 251 5
2 82424 257 6
1 74220 247 5
13 66868 238 27
9 66630 240 27
1500 68071 243 7247
1 69213 253 5
2 67063 239 4
10 68475 256 34
1 66466 238 3
1 66436 240 2
1 66396 239 5
1 66146 237 3
1 66705 246 4
1 69865 260 5
2 67654 242 5
2 68874 250 5
7 68740 251 22
2 69321 252 6
2 66899 238 3
1 69560 252 5
1 67436 249 4
2 67136 238 5
2 65990 241 3
22 66149 234 73
6 66114 237 16
5 73887 450 23
4 92012 244 10
3 87792 278 11
4 68922 253 5
3 67388 244 4
1 68083 243 4
1 66425 233 4
11 65727 237 44
0 68884 251 8
17 67714 253 24
2 67219 245 6
2 65796 239 3
1 68258 261 4
35 66881 248 185
6 66433 237 38
22 66151 234 138
12 68287 253 91
16 71030 265 124
16 67565 243 79
1 66538 235 5
1 65945 233 5
9 66448 236 33
0 65963 244 3
1 70119 256 5
1 67664 240 4
1 66507 239 3
1 66354 239 6
0 66059 236 5
12 67268 241 62
1 66216 239 3
1 66322 236 5
0 66079 234 5
9 66760 247 49
1 67245 249 4
1 68919 246 4
2 68817 247 4
1 68567 235 7
1 65951 234 5
10 66405 234 57
1 66263 232 5
6 66894 247 34
1 66889 237 5
33 66029 235 121
1 66114 237 3
7 66204 234 23
5 66268 239 15
5 73674 254 18
19 71849 253 142
25 66976 237 208
181 69681 250 1428
20 69228 247 179
11 69629 250 39
2 74735 262 9
2 71512 262 4
1 71396 256 5
1 70835 259 8
3 69999 244 3
2 68865 253 4
2 69371 252 5
1 70200 248 5
1 68908 247 3
7 70126 252 43
2 68053 243 4
1 66468 237 6
8 66075 236 70
1 66356 238 2
1 66692 241 4
10 68553 237 50
1 67701 242 7
1 68299 243 5
14 67138 231 48
1 66162 236 4
12 66325 236 112
5 65809 236 35
19 66739 234 84
1 72941 267 13
24 74349 242 88
1558 67390 242 7761
53 68929 244 454
19 68713 247 104
2 67785 232 3
20 68997 255 143
18 67245 255 108
1 67759 237 3
23952 66211 228 109242
7 66234 228 23
2932 66068 228 13479
22356 71040 242 102397
11 66739 233 10
7 73753 238 19
9 132744 252 67
9 94482 245 15
11 112403 246 30
1629 69129 225 7079
1 66141 223 3
1 65748 223 2
8 76413 416 34
18 66947 238 25
6 74033 250 19
10 79256 242 16
6 67345 224 9
6 66852 223 16
1 66277 222 2
6 65833 223 17
4260 68587 238 21159
10 68239 235 20
7 66601 230 12
1403 66725 227 6870
1 65817 219 3
6 66814 222 20
2 66032 228 4
8 66545 219 15
13 72942 259 42
34 77302 240 86
6001 75916 233 27056
1 69452 233 4
1 68863 221 4
7 82208 240 19
10 68946 229 17
2 67951 223 4
1406 66491 218 6892
8 67955 219 30
70 72369 221 311
1 70820 227 7
23 66246 222 84
23 87345 351 108
14 73976 227 33
1 67133 223 4
14 65899 219 27
8 66332 218 20
5 65936 223 17
1 67532 250 4
1 68582 225 4
1 67269 226 5
1 66378 221 3
7 65930 219 22
1 66061 224 3
1 65879 219 3
5 66216 219 18
1 65752 217 3
1 72237 259 5
3 69088 220 4
2 68252 221 3
1 66282 224 3
1 66009 218 3
1 66070 216 3
1 71706 259 8
5 68723 227 4
1 67314 227 4
1 66356 216 3
