EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
2404 113070 76 786
1 6168 75 2
0 6077 77 1
0 6239 74 1
9 6178 76 1
4 6271 75 2
0 6287 75 2
6 6142 75 1
0 6253 76 2
13 6418 76 2
0 6005 76 2
0 6222 75 3
0 6120 75 2
0 6253 74 2
3 6011 74 1
0 6067 73 2
0 6011 75 1
8 6101 75 2
0 6014 74 2
0 6076 74 2
3 6032 75 1
24 5973 75 2
0 6008 78 2
0 6069 74 3
0 6204 74 2
0 5982 73 2
0 6136 77 2
0 6050 74 2
19 6000 75 2
15 6001 76 1
0 5991 74 1
0 6083 74 1
0 6120 74 1
0 5962 73 1
0 5980 73 1
3 5961 74 1
0 5961 74 2
0 5939 75 2
0 5957 73 2
0 5965 74 2
0 5971 74 2
0 5999 74 2
6 6018 74 2
0 5984 75 3
0 6013 75 2
0 5971 74 1
0 6324 75 3
0 6342 80 2
0 6211 75 2
0 6044 75 3
0 6114 74 2
0 6122 82 2
0 6135 73 10
0 6165 75 2
0 6177 75 4
0 6140 74 3
11 6103 74 3
0 6058 74 1
3 6089 72 2
0 6066 74 1
0 6172 73 1
0 6060 73 3
6 6315 73 1
0 6080 73 3
2 6128 73 1
1 6032 73 1
5 6132 74 10
5 6129 73 2
0 6110 74 3
0 6078 72 2
9 5927 74 2
0 6008 73 11
0 5915 73 2
0 6222 72 1
5 6154 72 1
0 6290 73 2
0 5922 77 1
11 5922 74 1
6 6013 75 18
0 5907 74 2
0 5946 75 2
3 6349 74 1
0 6010 77 2
27 5981 75 2
5 5911 74 18
95 5962 75 2
5 5969 74 1
0 6369 75 1
7 6745 74 18
0 6191 74 1
0 5949 73 1
0 5938 73 2
0 6633 83 2
0 5933 74 3
2 5931 77 2
0 6011 74 10
0 5966 73 18
0 5973 75 3
0 6238 95 4
3 6413 76 3
0 6025 74 2
0 5924 73 3
0 5943 76 3
0 6176 74 2
19 6097 73 1
0 6095 73 3
0 5977 74 2
0 6341 73 2
3 6313 77 2
0 5922 72 2
0 5925 72 2
3 5944 73 1
0 5959 73 2
0 5960 74 1
0 6132 80 2
3 6042 74 1
2 5920 74 1
0 5955 73 2
3 6012 74 2
0 6154 72 2
0 5932 72 1
0 6502 72 1
6 6520 72 11
0 6150 72 11
0 6062 73 1
3 6036 72 1
6 6118 74 10
0 6038 73 1
0 6135 73 1
0 6343 73 1
0 6275 72 18
0 6245 73 10
13 5932 73 1
0 6012 73 10
7 5937 74 1
0 6094 73 1
0 5928 73 1
0 5922 73 1
12 6234 73 10
0 5942 73 18
0 6215 72 10
0 5940 72 2
0 5928 72 2
0 6526 72 27
0 6199 71 3
10 6442 72 9
8 6478 72 10
20 5935 70 1
0 6094 72 3
0 6331 72 11
0 5947 73 2
2 6006 72 1
51 5916 72 3
0 5943 72 2
0 5970 70 10
0 5988 72 11
0 5911 71 2
0 5940 72 2
0 5945 71 2
0 5904 71 2
0 5940 71 2
0 6574 71 19
0 6148 72 2
0 6198 71 3
131 5922 73 2
0 6051 72 1
57 6198 71 12
0 6060 70 2
0 6500 69 10
0 6380 70 18
6 6336 70 19
9 5943 72 1
0 6021 71 10
0 5899 71 1
0 6575 71 2
79 5925 72 1
0 5941 72 1
0 5905 72 1
99 5966 72 10
5 5944 72 2
0 5970 71 1
0 6620 71 26
0 6125 70 1
0 5921 70 1
0 5993 71 1
0 5933 70 2
0 6497 70 2
0 5970 70 1
0 5945 69 2
0 6026 71 1
5 6694 73 2
7 5953 71 2
0 6637 70 2
0 6439 71 2
0 6382 70 1
0 6200 70 2
0 6354 70 10
13 6253 71 2
0 6424 68 10
8 6248 69 2
0 6099 71 1
0 5963 70 2
3 5961 71 1
0 5919 70 1
2 6193 74 1
0 6360 73 1
0 6135 70 1
0 5975 70 3
9 6350 69 1
0 5933 69 1
0 5962 69 1
0 5934 68 1
10 6398 68 7
0 6059 69 1
3 6378 68 17
0 6197 68 1
4 6535 68 1
4 6234 68 1
5 5986 69 2
0 6192 73 2
0 6202 68 1
288 6186 68 2
275 6615 68 2
2 6188 68 1
0 6455 68 1
0 6425 68 2
4 5930 69 1
0 6468 67 1
0 6622 68 10
8 6222 67 11
0 6202 67 2
0 5933 68 1
0 5912 67 1
0 6236 67 9
0 5962 67 2
0 6284 66 10
0 6430 66 1
0 6182 66 1
5 6353 67 1
4 5944 68 2
5 6663 67 18
5 5934 69 2
22 6263 64 2
2 5931 66 1
7 6213 65 27
0 6448 65 14
0 5928 65 2
0 6355 64 2
0 6575 65 2
0 6549 66 1
0 6442 66 1
0 6140 66 18
0 5960 65 2
3 5964 65 2
0 6247 65 1
4 6459 63 10
0 6249 65 1
0 5981 65 2
17 5977 66 2
0 5924 65 1
0 5915 63 1
0 5917 66 1
30 6414 65 18
10 5957 64 1
13 5939 64 3
10 5973 65 1
2 5959 63 1
114 6062 63 13
0 6072 62 3
0 5944 67 2
0 6083 64 2
0 5916 63 2
0 5932 62 2
25 5911 63 2
10 6055 63 1
96 6156 63 2
69 5975 62 1
0 5933 61 1
4 5919 61 1
0 6001 62 1
8 5937 62 2
276 5930 60 2
5 5964 60 2
28 5949 61 2
34 5926 62 2
12 5978 62 2
4 5960 60 1
11 5938 61 10
71 6283 59 10
50 5917 59 2
88 5928 58 1
0 6360 56 1
0 6052 57 2
83 5940 57 2
27 5960 58 3
14 5929 57 1
152 5967 56 2
210 5956 58 2
58 5925 55 2
0 5956 54 2
18 5954 56 1
17 5960 56 1
0 6309 55 1
371 5947 53 1
134 5963 52 2
421 5914 50 2
28 6451 51 11
3 6583 52 1
2073 6188 44 18
0 5931 44 1
264 5963 47 1
42 5989 43 1
194 5900 40 1
65 6012 41 1
1551 5978 34 1
4130 6299 26 1
