RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
38 53 48 41 45
48 63 40 49 45
45 63 40 43 45
43 46 40 45 45
49 62 43 41 45
45 49 45 46 45
40 63 48 47 45
46 54 45 45 45
45 49 45 44 45
43 53 45 43 45
40 48 45 43 45
29 47 40 41 45
37 63 46 36 45
46 46 47 42 45
38 38 46 33 45
36 37 46 43 45
38 33 45 40 45
37 46 40 43 45
43 34 45 37 45
36 55 45 38 45
39 46 39 37 45
36 36 39 35 45
38 41 45 32 42
38 43 42 34 41
35 43 44 38 39
36 37 39 34 39
35 52 44 36 38
37 45 44 35 38
33 35 35 34 38
35 43 44 33 36
32 41 38 33 33
38 47 34 35 33
36 34 34 35 33
31 32 34 33 33
28 35 37 34 33
29 31 34 33 33
31 45 30 34 33
33 36 35 33 33
33 37 43 32 33
28 40 31 37 33
31 36 31 30 31
31 32 30 29 31
29 31 31 30 31
30 29 34 27 31
30 31 33 29 31
27 26 31 26 27
25 27 29 27 30
27 29 29 29 29
28 25 24 22 27
26 29 24 25 27
27 25 31 28 32
25 25 31 29 32
29 31 31 29 32
25 24 32 27 32
24 27 28 27 32
25 27 28 27 32
25 28 31 27 32
25 31 27 25 32
25 31 26 25 32
25 28 26 25 28
21 31 27 23 27
27 23 27 23 27
22 26 28 23 27
21 25 27 21 27
22 31 25 25 27
19 29 24 24 27
23 31 23 25 28
20 24 28 20 28
21 20 26 20 27
18 30 27 20 27
23 21 18 20 27
21 30 21 24 27
16 31 20 20 27
20 25 25 23 25
20 17 25 19 34
18 19 25 19 34
19 18 17 17 25
19 20 24 19 34
19 19 15 21 25
18 24 25 21 34
17 22 24 19 34
20 19 25 16 34
16 30 16 21 34
19 25 18 21 25
20 23 22 21 25
17 16 20 19 24
19 19 19 15 24
16 23 23 17 24
19 24 22 21 24
15 23 22 15 24
17 16 24 17 24
16 22 21 17 24
17 29 24 19 24
16 20 16 19 24
18 15 19 19 24
18 16 24 17 24
13 24 24 20 24
19 24 24 20 24
15 17 19 21 24
13 19 23 19 23
17 22 15 19 23
14 15 14 15 23
17 18 20 15 23
19 15 14 19 23
14 18 19 15 23
14 27 21 15 21
16 15 14 17 21
14 20 21 17 21
17 15 21 17 21
14 19 14 17 21
17 23 15 15 21
16 23 18 17 21
19 15 19 20 21
12 20 13 15 20
15 15 14 16 20
16 20 14 17 20
15 15 17 17 20
17 15 20 19 20
13 15 15 15 20
13 14 13 17 20
12 15 13 13 20
14 15 13 15 20
15 20 13 15 20
16 15 14 13 20
18 14 12 16 20
13 14 14 15 20
13 18 15 15 20
14 15 18 15 20
15 15 13 15 19
15 15 16 13 20
16 15 15 17 20
14 23 14 13 20
14 15 15 15 20
17 20 18 17 20
18 20 13 21 20
15 15 15 15 20
13 15 20 18 20
15 20 13 13 20
16 15 16 15 22
14 15 14 16 22
13 20 17 17 22
14 15 22 13 22
16 22 22 15 22
16 23 21 21 22
17 18 14 17 22
14 15 13 13 22
16 14 16 19 22
18 28 22 13 22
13 23 22 17 22
16 18 22 15 22
17 23 16 16 22
17 15 22 19 22
14 18 21 15 21
16 14 18 19 21
13 16 13 15 21
15 15 17 17 21
15 15 15 17 21
15 20 14 15 21
15 22 20 17 20
17 27 13 16 20
15 22 16 15 19
13 15 17 15 19
14 15 13 15 18
14 14 13 13 18
14 13 18 13 18
13 14 14 17 18
14 14 18 13 18
13 13 14 17 18
14 15 13 15 18
13 15 18 15 18
17 15 13 13 18
16 15 18 15 18
16 13 13 13 18
15 15 17 17 18
13 14 13 15 18
14 15 16 11 18
12 13 18 19 18
14 13 13 13 18
13 15 13 15 18
13 15 14 15 18
16 26 13 15 18
12 22 18 15 18
14 23 14 15 18
15 15 13 17 18
14 15 21 17 21
13 15 15 17 21
13 14 13 16 21
14 22 15 17 21
13 15 15 11 18
13 14 13 17 18
13 15 16 18 19
16 15 15 16 20
16 14 13 14 20
16 15 20 12 20
14 14 19 17 19
14 15 18 17 19
11 15 19 11 19
11 23 18 13 18
14 14 12 15 18
15 21 13 11 18
17 15 13 15 19
16 20 13 13 19
13 15 19 15 19
15 23 12 17 19
15 14 19 13 19
12 15 13 13 19
14 15 14 13 19
12 15 13 16 19
13 14 13 15 19
15 15 18 13 18
16 15 12 15 18
12 15 18 15 18
12 15 15 12 18
14 15 12 13 18
15 13 12 13 18
16 17 17 15 18
15 15 12 13 18
13 15 13 17 18
12 15 12 15 18
13 14 17 17 18
12 14 18 17 18
13 15 12 13 18
12 15 13 17 18
14 15 12 15 18
13 15 12 15 18
14 15 15 15 18
13 13 14 15 17
13 24 13 11 17
12 21 16 11 18
14 15 13 11 18
13 20 12 17 18
13 14 11 15 17
12 20 17 17 17
14 15 17 15 17
14 23 11 11 17
11 15 17 19 17
12 14 17 15 17
