RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
41 56 43 42 48
39 78 43 41 48
43 2147483647 57 39 58
48 2147483647 47 48 58
39 2147483647 51 39 58
39 2147483647 58 48 58
51 2147483647 53 37 58
46 2147483647 58 46 58
36 2147483647 47 39 58
47 2147483647 49 46 58
50 2147483647 56 41 58
35 2147483647 49 51 58
43 2147483647 58 37 58
43 2147483647 56 40 58
38 2147483647 47 41 58
49 2147483647 58 40 58
46 2147483647 58 45 58
55 83 57 46 58
39 2147483647 48 48 58
40 2147483647 48 41 58
40 2147483647 51 44 58
49 2147483647 51 44 58
40 2147483647 53 45 58
41 2147483647 52 42 58
37 2147483647 58 46 58
49 2147483647 47 54 58
50 2147483647 54 36 58
40 2147483647 58 42 58
47 2147483647 58 39 58
49 2147483647 58 47 58
39 2147483647 47 44 58
41 2147483647 58 42 58
49 2147483647 58 39 58
44 2147483647 58 50 58
51 2147483647 52 44 58
44 115 57 43 58
47 2147483647 58 39 58
46 2147483647 50 41 58
50 2147483647 48 40 58
38 2147483647 56 39 58
46 2147483647 55 47 58
39 2147483647 51 46 58
45 2147483647 52 49 58
39 2147483647 50 40 58
37 2147483647 47 43 58
38 2147483647 58 39 58
34 2147483647 48 41 52
38 2147483647 40 37 46
37 2147483647 46 38 46
35 2147483647 36 41 46
40 2147483647 43 39 46
33 2147483647 47 32 46
41 2147483647 42 32 46
39 2147483647 42 35 45
33 53 39 36 45
32 2147483647 46 33 45
37 2147483647 45 38 45
38 2147483647 46 34 45
39 2147483647 45 35 45
38 2147483647 40 40 45
39 2147483647 38 31 45
33 2147483647 36 35 45
38 2147483647 38 44 45
34 2147483647 46 38 45
38 2147483647 40 36 45
35 2147483647 40 35 45
37 2147483647 40 36 45
37 2147483647 45 40 45
36 2147483647 41 44 45
35 2147483647 36 37 45
37 2147483647 40 38 45
36 2147483647 41 36 45
37 2147483647 46 37 45
37 2147483647 53 34 45
44 2147483647 43 40 45
41 55 43 38 45
36 2147483647 52 36 45
41 2147483647 41 41 45
38 2147483647 44 40 45
35 2147483647 42 39 45
33 2147483647 43 44 45
39 2147483647 40 38 45
33 2147483647 40 39 45
33 2147483647 45 41 45
41 52 41 37 45
42 2147483647 38 36 45
41 2147483647 43 37 45
36 2147483647 41 35 45
39 2147483647 45 36 45
37 2147483647 40 36 45
34 2147483647 38 32 45
35 2147483647 44 39 45
39 2147483647 40 44 45
40 2147483647 36 36 45
41 2147483647 41 37 45
40 66 56 34 45
38 150 45 34 45
35 2147483647 35 38 45
41 2147483647 34 36 45
37 2147483647 44 35 45
39 2147483647 40 35 45
40 58 43 42 45
36 2147483647 41 41 45
42 2147483647 51 42 45
34 2147483647 47 41 45
39 56 37 43 45
37 152 43 39 45
40 2147483647 55 43 45
40 2147483647 40 38 45
37 2147483647 41 43 45
32 2147483647 44 37 45
38 2147483647 40 40 45
42 2147483647 45 46 45
39 2147483647 40 39 45
35 2147483647 55 39 45
42 2147483647 37 38 45
38 2147483647 42 39 45
38 2147483647 40 40 45
35 2147483647 40 35 45
36 80 39 40 45
42 2147483647 42 42 45
38 2147483647 40 36 45
34 2147483647 39 37 45
39 2147483647 40 36 45
33 2147483647 44 37 45
39 2147483647 41 34 45
35 2147483647 41 38 45
39 2147483647 42 39 45
36 2147483647 45 35 45
35 2147483647 43 34 45
35 2147483647 50 39 45
35 101 40 35 45
33 2147483647 47 37 45
38 2147483647 36 39 45
41 2147483647 39 34 45
31 2147483647 46 38 45
33 2147483647 38 42 45
40 2147483647 40 37 45
34 2147483647 45 39 45
34 2147483647 42 32 45
32 99 40 39 45
45 2147483647 41 40 45
39 2147483647 40 37 45
42 71 42 33 45
33 2147483647 50 35 45
40 2147483647 46 36 45
35 2147483647 43 32 45
37 2147483647 55 38 45
40 2147483647 40 37 44
34 2147483647 37 39 42
38 2147483647 40 39 42
42 2147483647 39 38 42
34 2147483647 42 33 42
40 2147483647 40 35 42
41 2147483647 39 37 42
39 2147483647 40 35 42
38 113 39 37 42
36 2147483647 43 38 42
39 2147483647 39 40 42
39 2147483647 36 40 42
41 2147483647 44 37 42
32 2147483647 38 35 42
40 2147483647 38 39 42
36 102 40 40 42
38 75 43 35 42
39 2147483647 43 39 42
46 52 40 35 42
33 2147483647 38 37 42
37 2147483647 43 39 42
34 2147483647 41 41 43
37 2147483647 46 39 43
40 2147483647 41 35 43
39 55 44 32 43
39 2147483647 43 36 43
38 2147483647 43 43 43
31 2147483647 50 34 43
32 2147483647 41 37 43
31 2147483647 39 31 43
36 2147483647 43 33 43
33 2147483647 41 31 43
42 2147483647 41 38 43
30 109 37 38 43
30 2147483647 35 28 43
34 2147483647 44 39 41
39 2147483647 34 31 41
31 2147483647 33 32 41
40 2147483647 35 34 41
33 2147483647 30 32 41
33 2147483647 46 32 41
36 50 41 30 41
25 2147483647 35 32 37
30 2147483647 34 31 37
30 2147483647 34 33 37
32 2147483647 30 32 37
29 109 36 31 37
33 2147483647 35 27 37
29 2147483647 33 36 37
33 108 35 29 37
28 2147483647 35 30 37
27 2147483647 29 32 37
30 2147483647 36 31 37
31 2147483647 35 33 37
30 2147483647 39 31 37
35 2147483647 29 30 37
29 2147483647 37 28 37
34 2147483647 37 35 37
33 2147483647 34 29 37
34 2147483647 35 31 37
35 2147483647 35 32 37
31 2147483647 29 32 37
29 2147483647 35 31 37
27 2147483647 36 26 37
27 2147483647 32 34 37
31 73 33 31 37
26 2147483647 35 30 37
25 2147483647 35 26 37
30 2147483647 27 30 37
29 2147483647 37 28 37
26 2147483647 35 30 37
31 2147483647 35 30 37
35 2147483647 35 33 37
28 54 33 32 37
27 2147483647 35 30 37
29 2147483647 28 28 37
34 2147483647 29 28 37
27 2147483647 37 33 37
27 2147483647 34 33 37
31 2147483647 35 24 37
29 2147483647 36 31 37
33 2147483647 30 28 37
27 2147483647 39 30 37
29 2147483647 35 30 37
32 2147483647 35 29 37
27 2147483647 28 31 37
33 2147483647 37 34 37
35 2147483647 33 29 37
27 50 29 28 37
27 2147483647 29 26 35
26 2147483647 31 27 35
22 2147483647 35 29 35
28 2147483647 33 26 35
26 2147483647 35 25 35
28 49 29 27 35
28 2147483647 29 27 35
25 2147483647 29 31 35
26 2147483647 35 28 35
27 2147483647 35 24 35
23 2147483647 35 24 35
27 2147483647 35 28 35
24 2147483647 33 29 35
34 2147483647 35 25 35
27 2147483647 29 27 35
27 2147483647 32 28 35
27 2147483647 35 24 35
24 89 32 26 35
27 51 35 23 35
26 2147483647 30 25 35
24 2147483647 34 30 35
30 2147483647 33 29 35
32 2147483647 30 30 35
30 2147483647 36 24 35
32 2147483647 35 27 35
28 2147483647 24 26 35
26 2147483647 32 29 35
24 2147483647 26 30 35
26 2147483647 34 27 35
25 2147483647 25 26 35
24 2147483647 28 23 35
26 2147483647 30 23 35
25 2147483647 28 27 35
25 2147483647 32 30 35
23 2147483647 23 21 35
29 2147483647 26 25 35
22 2147483647 25 26 35
24 2147483647 30 27 35
35 2147483647 35 33 35
28 2147483647 23 23 35
26 2147483647 34 31 35
26 2147483647 31 23 35
23 2147483647 29 20 35
24 2147483647 30 25 35
23 2147483647 31 25 35
23 2147483647 25 25 35
24 2147483647 30 25 35
22 2147483647 28 23 35
24 2147483647 26 25 35
24 2147483647 31 26 35
24 2147483647 31 24 35
23 2147483647 35 23 35
25 2147483647 30 27 35
23 2147483647 31 27 35
27 2147483647 26 27 35
27 44 25 25 35
26 2147483647 25 23 35
24 2147483647 27 21 35
27 2147483647 28 27 35
31 2147483647 28 27 35
20 2147483647 26 25 35
27 2147483647 22 25 35
22 2147483647 24 24 35
25 2147483647 25 25 34
19 2147483647 27 24 32
20 2147483647 27 21 32
23 2147483647 29 24 32
24 2147483647 29 26 32
24 2147483647 27 25 30
23 2147483647 25 22 30
25 2147483647 28 19 30
23 2147483647 29 23 30
21 2147483647 26 25 29
21 2147483647 26 25 26
22 51 25 21 26
18 26 26 19 26
21 2147483647 26 18 25
22 2147483647 25 21 25
21 2147483647 24 21 25
21 2147483647 27 22 25
19 40 28 21 25
20 2147483647 26 20 25
19 2147483647 26 18 25
22 2147483647 27 20 25
21 2147483647 28 20 25
21 2147483647 26 20 25
20 2147483647 27 19 25
21 2147483647 26 22 25
20 2147483647 24 21 25
18 2147483647 22 21 25
23 108 27 20 25
19 2147483647 25 21 25
18 2147483647 23 23 25
21 2147483647 27 21 25
23 2147483647 25 20 25
21 2147483647 26 20 25
21 30 27 19 25
24 2147483647 26 21 25
20 2147483647 23 21 25
20 2147483647 25 19 25
22 35 22 23 25
19 2147483647 25 21 25
20 45 25 19 25
17 2147483647 25 19 25
20 2147483647 25 23 25
17 2147483647 26 21 25
19 2147483647 25 17 25
20 2147483647 27 22 25
21 2147483647 26 21 25
21 2147483647 25 20 25
20 2147483647 25 20 25
20 2147483647 22 19 25
20 2147483647 23 21 25
19 2147483647 22 19 25
21 2147483647 24 23 25
20 2147483647 26 17 25
19 2147483647 26 21 25
20 2147483647 23 22 25
17 2147483647 25 23 25
20 2147483647 25 21 25
20 2147483647 26 23 25
19 2147483647 22 21 25
20 2147483647 25 21 25
20 2147483647 25 17 25
19 2147483647 26 21 25
22 2147483647 25 19 25
22 2147483647 23 21 25
20 2147483647 26 18 25
17 2147483647 27 21 25
20 2147483647 25 19 25
19 2147483647 25 20 25
19 2147483647 26 27 25
22 2147483647 26 20 25
18 2147483647 27 21 25
20 2147483647 26 22 25
23 2147483647 26 24 25
20 2147483647 25 20 25
19 2147483647 26 22 25
20 2147483647 25 18 25
22 2147483647 25 21 25
21 2147483647 25 19 25
19 2147483647 22 22 25
20 2147483647 25 20 25
19 63 25 20 25
21 2147483647 22 21 25
21 45 25 21 25
18 82 25 20 25
19 2147483647 27 19 25
20 2147483647 22 21 25
19 2147483647 25 21 25
20 2147483647 25 22 25
20 2147483647 25 21 25
23 2147483647 25 19 25
22 2147483647 27 21 25
18 2147483647 27 16 25
17 2147483647 24 21 25
22 2147483647 25 17 23
19 2147483647 25 23 23
20 2147483647 26 21 23
19 2147483647 26 19 23
19 2147483647 24 21 23
19 2147483647 25 18 23
20 2147483647 25 19 23
20 2147483647 27 21 23
