RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
13 35 18 14 42
14 46 18 15 44
13 18 17 16 56
19 2147483647 19 16 2147483647
17 15 20 17 2147483647
13 25 15 17 2147483647
14 49 13 18 2147483647
17 2147483647 14 16 2147483647
20 2147483647 20 14 105
15 28 19 16 105
15 2147483647 20 19 105
13 21 20 17 2147483647
17 32 14 13 2147483647
16 2147483647 17 15 2147483647
13 36 20 14 2147483647
13 2147483647 14 14 2147483647
12 2147483647 16 16 2147483647
15 29 17 14 2147483647
14 2147483647 19 15 2147483647
15 2147483647 13 15 2147483647
15 29 17 14 105
16 34 20 14 2147483647
13 60 20 15 2147483647
14 2147483647 13 14 105
14 26 15 17 2147483647
13 22 13 14 2147483647
15 2147483647 13 15 105
13 24 12 12 93
14 58 15 14 61
13 15 16 13 2147483647
13 20 16 13 2147483647
15 22 15 12 2147483647
14 26 18 17 2147483647
14 28 15 13 2147483647
11 61 15 13 61
15 36 16 15 2147483647
14 54 14 14 2147483647
13 61 15 13 2147483647
13 2147483647 13 13 2147483647
11 23 15 12 2147483647
12 43 15 10 2147483647
10 2147483647 15 13 61
12 55 14 13 61
11 39 15 11 2147483647
12 35 15 14 61
11 24 11 11 61
11 27 14 11 2147483647
14 42 15 10 61
12 28 15 10 2147483647
12 11 12 10 61
14 21 15 14 2147483647
10 20 11 11 61
11 27 12 13 2147483647
11 2147483647 15 11 2147483647
11 24 15 13 2147483647
10 15 14 11 2147483647
11 25 13 12 2147483647
11 29 12 12 2147483647
9 29 15 12 2147483647
11 24 15 11 2147483647
10 2147483647 11 13 2147483647
10 35 9 11 61
11 32 9 11 35
10 19 9 9 35
8 2147483647 11 10 2147483647
10 22 13 10 2147483647
11 31 14 10 2147483647
11 31 13 9 32
10 31 13 10 2147483647
9 24 10 11 2147483647
9 31 11 13 2147483647
10 2147483647 14 9 2147483647
8 21 10 8 2147483647
8 2147483647 11 10 2147483647
9 14 12 9 2147483647
9 2147483647 12 9 2147483647
10 2147483647 11 11 2147483647
8 22 10 9 2147483647
8 2147483647 10 9 2147483647
9 20 10 8 2147483647
9 23 9 7 2147483647
8 18 9 9 2147483647
8 18 8 8 2147483647
8 24 8 7 2147483647
7 23 10 8 2147483647
8 14 8 9 2147483647
9 2147483647 8 9 2147483647
8 2147483647 8 8 31
8 2147483647 8 8 2147483647
8 27 8 10 2147483647
7 17 8 9 31
8 22 8 9 2147483647
7 15 7 7 2147483647
6 19 8 9 2147483647
7 16 7 7 2147483647
7 29 7 9 2147483647
6 17 7 8 31
8 2147483647 7 7 2147483647
5 31 7 6 31
5 31 6 6 31
6 14 7 6 31
7 2147483647 8 7 2147483647
8 2147483647 7 8 2147483647
9 28 7 7 2147483647
7 2147483647 8 7 2147483647
8 2147483647 6 6 2147483647
6 2147483647 7 7 2147483647
7 2147483647 6 6 2147483647
6 2147483647 7 7 2147483647
7 2147483647 7 7 2147483647
6 2147483647 6 5 2147483647
6 2147483647 7 5 2147483647
7 2147483647 7 7 2147483647
6 2147483647 8 6 2147483647
6 2147483647 7 5 2147483647
6 2147483647 7 6 2147483647
6 2147483647 7 5 2147483647
5 2147483647 8 7 2147483647
6 2147483647 7 5 2147483647
6 13 5 5 2147483647
5 2147483647 6 5 2147483647
4 2147483647 6 5 2147483647
4 2147483647 5 4 2147483647
4 2147483647 6 5 2147483647
4 2147483647 4 5 2147483647
5 2147483647 4 5 2147483647
4 2147483647 4 5 2147483647
5 2147483647 4 5 2147483647
4 2147483647 4 5 2147483647
4 2147483647 4 5 2147483647
3 2147483647 4 5 2147483647
4 2147483647 4 4 2147483647
4 2147483647 4 3 2147483647
3 15 4 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 4 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 4 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 2 3 2147483647
3 2147483647 3 3 2147483647
3 2147483647 2 3 2147483647
3 2147483647 2 3 2147483647
2 2147483647 3 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 3 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 3 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 3 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
2 2147483647 2 3 2147483647
