RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
41 57 43 51 48
38 69 46 39 48
45 2147483647 46 40 48
40 2147483647 48 45 48
43 2147483647 44 41 48
46 2147483647 48 40 48
52 56 46 39 48
35 2147483647 61 39 48
42 2147483647 49 41 48
44 2147483647 48 39 48
36 2147483647 61 44 48
43 132 49 47 48
36 2147483647 50 43 48
45 96 47 36 48
39 97 46 45 48
42 2147483647 55 40 48
39 2147483647 51 47 48
36 2147483647 47 40 48
40 2147483647 50 45 48
42 2147483647 43 37 48
43 2147483647 48 44 48
43 123 47 37 48
37 2147483647 47 40 48
44 2147483647 43 38 48
44 101 44 45 48
41 2147483647 45 37 48
40 103 46 55 48
37 2147483647 49 40 48
55 127 44 40 48
41 108 49 42 48
41 2147483647 46 37 48
45 2147483647 46 40 48
46 57 47 40 48
38 2147483647 46 44 48
37 2147483647 43 41 48
40 2147483647 46 44 48
49 2147483647 47 37 48
41 112 46 40 48
38 2147483647 52 42 48
43 2147483647 47 38 48
40 2147483647 43 45 48
46 2147483647 48 42 48
51 118 48 45 48
41 2147483647 48 40 48
33 2147483647 58 44 49
39 2147483647 43 42 49
40 2147483647 51 42 49
41 2147483647 49 51 49
43 2147483647 44 39 49
42 2147483647 44 40 49
46 2147483647 52 34 49
41 2147483647 46 38 47
39 134 49 40 47
39 137 43 44 47
39 2147483647 43 37 47
38 109 46 39 47
38 2147483647 44 37 47
39 2147483647 43 40 47
29 2147483647 44 39 48
30 2147483647 40 39 48
37 2147483647 43 39 48
41 2147483647 45 32 48
37 133 46 38 48
38 2147483647 47 37 48
38 2147483647 47 33 48
38 2147483647 40 33 48
36 2147483647 47 36 48
33 54 43 39 48
37 2147483647 43 37 48
38 2147483647 45 37 48
36 2147483647 43 32 48
32 64 43 34 48
32 2147483647 43 37 48
40 2147483647 44 38 48
37 2147483647 43 41 48
36 2147483647 45 39 48
37 115 44 34 48
31 139 46 33 48
35 2147483647 43 35 48
32 2147483647 46 32 48
32 2147483647 43 35 48
41 142 43 36 48
33 56 43 35 48
42 2147483647 43 32 48
30 2147483647 43 37 48
37 2147483647 46 34 48
31 61 46 36 48
35 2147483647 43 37 48
39 2147483647 43 31 48
29 2147483647 45 36 48
29 54 41 35 48
37 2147483647 43 36 48
36 2147483647 42 36 48
40 2147483647 46 30 48
35 110 47 33 48
38 2147483647 39 31 48
34 2147483647 43 34 48
39 118 43 39 48
35 75 43 38 48
39 68 43 38 48
38 2147483647 46 32 48
30 2147483647 43 32 48
31 2147483647 43 37 48
31 49 43 33 48
39 2147483647 47 41 48
33 2147483647 46 35 48
29 2147483647 46 39 48
36 2147483647 44 32 48
33 2147483647 43 40 48
30 2147483647 43 33 48
37 73 43 39 48
40 2147483647 43 39 48
35 2147483647 43 37 48
32 2147483647 43 34 48
37 2147483647 43 35 48
31 2147483647 43 34 48
37 51 47 36 48
41 2147483647 43 37 48
31 2147483647 43 37 48
34 2147483647 45 30 48
32 2147483647 43 34 48
37 2147483647 46 41 48
34 61 41 35 48
36 2147483647 43 36 48
36 2147483647 40 33 48
32 2147483647 42 32 48
37 113 42 35 48
38 2147483647 48 34 48
28 61 47 36 48
38 63 43 36 48
32 72 43 39 48
35 2147483647 47 33 48
34 42 43 30 48
38 2147483647 44 36 48
38 2147483647 46 31 48
36 2147483647 43 35 48
38 2147483647 42 34 48
