RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
12 24 12 13 13
11 17 14 12 13
13 24 15 13 16
14 2147483647 17 11 15
13 43 15 13 16
14 17 15 13 15
10 26 15 13 15
11 20 12 13 15
15 2147483647 15 15 15
13 2147483647 15 12 15
13 2147483647 15 13 15
12 2147483647 15 14 15
13 2147483647 14 14 15
12 2147483647 15 11 15
11 2147483647 14 13 15
11 2147483647 13 12 15
11 2147483647 12 11 15
11 2147483647 14 11 15
11 2147483647 13 10 15
12 2147483647 13 11 15
10 2147483647 15 12 15
10 2147483647 14 13 15
11 2147483647 13 10 15
11 2147483647 14 13 15
11 2147483647 15 10 15
10 2147483647 13 11 15
11 2147483647 15 13 15
11 2147483647 12 11 14
11 2147483647 14 13 14
11 2147483647 11 12 14
12 2147483647 11 11 14
10 2147483647 10 11 14
12 2147483647 9 11 14
10 2147483647 11 11 14
10 2147483647 12 11 14
10 2147483647 11 11 14
10 2147483647 12 11 14
10 2147483647 10 11 14
12 2147483647 12 10 14
10 2147483647 11 9 14
9 2147483647 13 11 14
12 2147483647 10 13 14
10 2147483647 13 9 14
10 2147483647 10 11 14
11 2147483647 11 11 14
9 2147483647 10 11 14
11 2147483647 14 11 14
11 2147483647 10 11 14
10 2147483647 14 9 14
11 2147483647 10 11 14
10 2147483647 11 9 14
12 2147483647 11 10 14
9 2147483647 12 9 14
13 2147483647 11 11 14
9 2147483647 14 11 14
12 2147483647 9 9 14
9 2147483647 9 11 14
10 2147483647 12 9 14
11 2147483647 10 9 14
12 2147483647 10 9 14
10 2147483647 10 11 14
11 10 11 9 14
8 2147483647 11 9 14
9 10 13 9 13
9 2147483647 10 9 13
11 2147483647 9 10 13
12 2147483647 13 9 13
12 2147483647 13 9 13
9 2147483647 12 11 13
9 2147483647 13 11 13
12 2147483647 13 9 13
10 2147483647 10 11 13
8 2147483647 13 9 13
12 2147483647 11 11 13
10 2147483647 8 9 13
10 2147483647 9 11 13
9 2147483647 9 8 13
9 2147483647 11 11 12
10 2147483647 12 9 12
7 2147483647 11 9 12
9 2147483647 8 10 12
8 2147483647 11 9 12
10 2147483647 8 9 12
9 2147483647 8 11 12
10 2147483647 10 9 12
9 2147483647 9 11 12
8 2147483647 8 9 12
8 2147483647 10 11 12
10 2147483647 8 11 12
9 2147483647 10 8 12
9 2147483647 12 9 12
8 2147483647 9 11 11
9 2147483647 9 11 11
8 2147483647 9 9 11
10 2147483647 11 11 11
8 2147483647 10 10 11
9 2147483647 9 9 11
12 2147483647 8 11 11
9 2147483647 8 9 11
7 2147483647 8 9 11
9 2147483647 8 8 11
7 2147483647 11 9 11
8 2147483647 11 9 11
8 2147483647 8 9 11
7 2147483647 10 9 11
8 2147483647 8 7 11
8 2147483647 8 8 10
8 2147483647 8 9 9
8 2147483647 8 11 9
8 2147483647 8 7 9
