RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
565 141 98 1504 209
1088 194 125 1484 110
1056 158 105 1461 204
1076 193 111 1506 97
949 143 128 1694 98
1086 197 107 1540 101
1161 149 114 1651 108
1127 138 174 1769 126
1144 138 113 1603 125
1148 192 169 1830 123
1231 260 113 1555 203
1142 238 164 1666 110
1357 201 114 1791 131
1108 260 121 1501 190
1122 136 108 1547 93
1127 101 126 1679 88
1130 192 133 1527 86
967 125 114 1564 96
990 209 118 1746 90
1238 130 117 1762 89
1120 170 117 1815 91
1097 248 119 1781 86
1107 135 118 1775 86
1122 288 118 1670 111
1152 243 119 1805 87
1148 147 123 1771 86
1213 145 126 1868 87
1203 194 126 1641 89
1190 208 124 1827 90
1136 209 125 1870 90
1174 204 125 1888 90
1166 144 168 1882 90
1194 139 137 1881 91
1222 190 137 1889 91
1192 158 137 1957 126
1177 215 133 1751 120
1241 177 132 1919 93
1208 192 142 1760 93
1188 144 139 1942 93
1200 202 148 1956 100
1199 220 150 2001 93
1267 154 138 1946 93
1195 141 139 1939 96
1195 190 136 1996 94
1213 194 135 1840 96
1199 217 136 1927 95
1213 142 136 1783 98
1212 285 138 2046 98
1442 387 288 1901 95
1290 341 142 1985 186
1192 202 137 2011 88
1191 233 139 1818 83
1370 205 135 1966 83
1189 215 187 2093 82
1264 294 142 1873 84
1210 146 143 1854 96
1210 229 142 2002 84
1375 304 141 2074 84
1272 217 149 1953 84
1259 224 143 2114 84
1325 152 142 1933 84
1306 242 153 2114 88
1314 378 154 2041 89
1305 247 306 2291 91
1310 247 153 2177 109
1337 322 145 2076 85
1488 149 314 2418 89
1451 297 165 2410 97
1514 335 153 2255 95
1327 277 156 2174 91
1525 281 156 2320 89
1363 242 160 2007 91
1424 435 177 2063 90
1406 268 168 2455 94
1500 168 157 2157 94
1488 279 414 2105 91
1452 167 169 2078 192
1446 374 165 2058 96
1578 357 163 2480 86
1436 166 162 2578 89
1444 255 379 2304 84
1573 412 326 2528 87
1425 368 173 2510 193
1671 189 168 2357 87
1553 304 175 2395 85
1515 449 168 2196 94
1520 317 177 2390 94
1628 161 169 2341 86
1461 191 212 2448 102
1426 164 169 2468 94
1543 166 172 2534 85
1489 444 170 2422 84
1563 323 165 2374 92
1558 386 181 2385 102
1404 168 175 2464 89
1427 282 186 2164 85
1412 329 216 2838 84
1466 163 190 2606 92
1495 383 175 2550 89
1726 304 182 2511 92
1456 365 180 2420 85
1431 345 182 2686 90
1467 328 178 2538 85
1665 164 177 2532 85
1515 311 178 2533 88
1396 266 336 2418 87
1375 218 177 2441 85
1367 303 179 2536 86
1593 359 168 2467 85
1445 260 169 2465 86
1454 415 175 2354 86
1540 340 338 2398 85
1413 301 179 2189 93
1454 304 180 2614 86
1613 272 180 2414 85
1403 350 178 2555 85
1479 158 182 2373 133
1383 207 181 2502 85
1654 320 181 2204 85
1431 228 185 2440 88
1523 421 178 2446 88
1534 263 173 2593 87
1434 164 170 2287 89
1469 308 177 2542 90
1516 402 172 2519 87
1468 249 185 2737 92
1559 274 185 2264 92
1492 406 186 2474 90
1423 271 185 2551 92
1487 208 187 2382 91
1608 288 185 2576 92
1685 496 190 2653 94
1524 334 348 2301 94
1488 283 177 2497 98
1464 445 191 2783 99
1496 325 190 2430 95
1442 349 182 2290 103
1642 298 183 2307 102
1584 268 189 2606 102
1528 173 202 2615 101
1532 278 190 2680 108
1501 258 193 2347 119
1564 249 188 2737 109
1544 272 187 2486 109
1497 391 185 2590 114
1646 330 192 2639 106
1521 280 193 2560 94
1703 319 186 2595 98
1472 228 198 2595 112
1543 205 187 2425 114
1568 258 196 2565 95
1533 377 195 2783 95
1650 183 194 2775 94
1423 187 199 2388 97
1598 291 188 2641 98
1501 389 190 2600 99
1480 192 196 2421 98
1704 368 196 2374 223
1490 273 199 2394 89
1678 362 198 2404 80
1495 347 201 2719 77
1552 343 202 2767 78
1418 227 191 2834 79
1516 170 197 2471 76
1572 319 191 2840 82
1569 337 291 2449 78
1509 257 201 2700 76
1693 250 215 2541 193
1613 273 201 2635 88
1656 186 195 2875 81
1497 333 205 2402 75
1638 215 333 2769 78
1489 378 273 2815 79
1501 300 203 2797 81
1616 446 195 2407 178
1477 237 238 2410 182
1499 259 193 2774 177
1460 469 193 2412 83
1567 335 192 2498 180
1530 337 199 2630 178
1506 416 193 2706 90
1447 224 195 2635 80
1553 317 194 2821 81
1510 405 205 2755 78
1544 199 192 2805 74
1583 189 220 2503 71
1439 234 194 2438 75
1628 254 207 2436 78
1663 211 201 2539 75
1537 302 208 2411 175
1514 316 238 2415 85
1456 392 192 2414 95
1577 305 193 2747 76
1540 324 196 2458 173
1483 262 205 2754 86
1516 296 216 2409 72
1568 303 212 2645 79
1479 396 207 2458 83
1645 388 196 2437 77
1672 358 209 2438 78
1480 211 201 2863 76
1477 365 210 2885 77
1519 252 198 2798 78
1476 315 199 2478 76
1603 296 210 2839 79
1551 294 211 3104 77
1455 264 209 2837 75
1495 325 239 2541 75
1615 263 199 2480 75
1483 201 199 3038 78
1467 347 201 2804 76
1485 361 198 2500 76
1618 276 206 2599 77
1466 339 204 2499 75
1645 298 199 2952 74
1722 357 200 2903 76
1576 353 205 2857 76
1637 268 202 2878 80
1520 353 203 2901 79
1536 305 219 2986 77
1512 337 203 2903 77
1502 363 268 2950 78
1479 282 205 2964 78
1520 344 218 3094 77
1548 204 214 2934 84
1525 424 203 2551 80
1551 277 211 2654 79
1463 306 205 2939 80
1504 425 213 2521 81
1579 413 230 3064 85
1559 292 224 2937 80
1544 246 214 2609 80
1495 188 206 2916 82
1624 358 209 2979 82
1502 274 214 3014 81
1567 477 206 3067 82
1691 372 210 3021 81
1534 302 216 2997 83
1495 266 216 3144 85
1573 357 229 2782 97
1651 410 213 3050 86
1580 256 220 3119 86
1543 274 226 3110 85
1599 192 212 3055 87
1561 217 211 3018 85
1566 454 221 3003 86
1534 232 236 3000 178
1573 230 217 3006 175
1649 342 210 3007 80
1627 313 232 3001 171
1574 298 210 2970 78
1631 383 212 3134 80
1617 286 220 3057 77
1586 317 218 3020 75
1530 187 239 3040 177
1572 329 230 3039 171
1540 302 214 3107 81
1550 318 213 2662 80
1577 297 221 3096 171
1487 221 214 3104 171
1587 398 290 3016 77
1554 216 219 3045 78
1599 398 238 2681 173
1505 213 216 3117 82
1505 263 217 3035 73
1493 294 403 3100 76
1501 204 215 3248 77
1785 274 222 3091 79
1495 232 296 2804 173
1522 258 216 3077 169
1542 225 225 2719 81
1486 223 217 3011 73
1567 279 216 3168 76
1507 316 217 3042 74
1515 241 216 2993 73
1481 390 224 2993 72
1515 335 215 3068 72
1550 241 235 3002 72
1512 411 220 3176 70
1652 231 221 3132 72
1579 317 219 3089 77
1492 268 220 3090 71
1673 281 221 3037 74
1546 371 226 3119 74
1515 347 224 3010 77
1548 226 222 3189 74
1657 349 219 3017 77
1647 265 226 3231 74
1509 324 316 3044 78
1627 280 288 3076 75
1517 392 219 3156 76
1556 308 242 3184 78
1587 279 219 3119 79
1504 283 237 3046 79
1592 290 229 3225 77
1571 280 223 2759 78
1540 336 255 3236 77
1515 246 230 3208 79
1540 210 223 3062 125
1593 296 245 3196 79
1487 291 226 3137 82
1517 354 225 3226 80
1550 303 223 3196 82
1562 331 228 3135 84
1536 274 231 3164 84
1488 191 225 3166 172
1575 357 247 3192 173
1599 234 227 3267 174
1521 225 243 3120 80
1650 251 226 3189 172
1600 321 229 3243 81
1519 231 233 3100 74
1613 214 231 3167 172
1478 312 226 3097 171
1580 229 227 3100 181
1528 301 239 3130 75
1581 265 230 3258 75
1707 270 243 3155 170
1603 299 247 3139 81
1481 217 239 3204 73
1585 264 229 3274 73
1580 351 230 3131 71
1601 251 224 3149 177
1555 251 233 3152 171
1590 340 228 3231 169
1467 267 293 2786 80
1510 405 232 3197 165
1491 261 227 3293 74
1521 233 227 3472 165
1486 322 230 3135 76
1574 228 227 3229 168
1584 418 227 3120 71
1671 239 247 3218 165
1521 245 225 3207 161
1692 238 228 2812 74
1459 228 250 3222 69
1474 303 228 2808 70
1633 292 225 3229 67
1533 297 236 3130 69
1474 251 251 3300 70
1621 300 232 3402 69
1700 295 230 3124 69
1659 298 230 3184 71
1593 241 231 3299 68
1485 279 240 3167 70
1512 414 248 3156 164
1521 242 282 3221 72
1503 300 232 3335 68
1569 291 228 3126 66
1495 262 248 3240 71
1517 362 250 3201 69
1522 249 230 3145 68
1577 219 232 3304 70
1555 388 286 3190 162
1521 329 239 3106 164
1519 216 235 3271 68
1596 237 282 3202 68
1572 239 248 3109 160
1547 479 231 3204 69
1591 313 248 3142 69
1545 239 252 3202 69
1687 248 259 3171 69
1471 214 236 3294 70
1644 260 278 3133 71
1530 357 234 3189 69
1588 318 241 3216 72
1591 348 238 3215 167
1735 211 238 3209 68
1536 288 229 3274 161
1526 273 235 3146 78
1534 210 233 3267 68
1481 231 261 3274 70
1549 211 239 3269 69
1582 206 237 3181 70
1587 195 256 3143 73
1582 267 233 3196 72
