RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
4926 919 589 5552 350
5823 761 740 6331 371
5335 1036 473 6736 408
6240 1111 772 6860 388
6173 997 525 6088 415
5336 698 556 6304 360
4646 1094 655 7167 356
6267 1079 635 7153 417
5580 1085 767 6435 413
5832 887 705 7255 368
5449 919 624 6759 420
5078 740 480 5821 326
5401 988 634 6559 375
5668 980 537 5913 355
5735 823 517 6339 334
4721 887 533 5076 348
5464 1044 637 6127 359
4641 836 516 5831 362
4832 843 639 6418 372
5858 766 516 6496 354
5693 774 508 6443 373
4711 1073 585 6443 384
4686 1085 536 6493 376
5584 991 528 6327 369
5728 880 640 6387 370
5747 791 535 5108 370
4604 1094 593 6469 362
5506 922 477 6303 358
4987 1132 504 5771 375
5458 1102 611 6602 333
6071 924 494 5800 418
4912 821 694 6320 366
4644 801 480 6265 332
5639 739 667 6286 368
4889 1008 483 5999 380
4829 894 535 6446 366
5457 937 606 6150 386
4932 1073 544 5897 328
5909 1133 748 5721 379
4968 1154 567 6570 373
5575 660 593 5295 364
5748 844 532 6859 393
5898 677 537 6436 397
4953 1055 531 5500 382
5746 1088 646 7094 377
4524 688 626 5123 354
6767 1008 647 7503 506
6191 751 500 6805 533
6258 1147 825 4971 505
5003 993 653 6449 413
6627 916 803 6221 516
5619 938 913 7593 413
5965 1091 855 6138 458
6264 939 651 6376 517
5875 1203 776 6622 526
6531 1223 685 7338 525
6587 874 917 7197 528
6592 1302 905 7796 505
6354 1161 675 6314 512
6224 1545 657 7357 526
4382 862 656 6460 473
6392 839 648 7588 521
6312 840 637 6167 529
6591 1192 882 5694 510
5042 778 513 7487 418
5820 1112 736 5542 531
5514 801 672 7294 443
6366 888 730 6139 544
4773 642 673 6147 459
5227 744 571 6316 404
4988 927 746 6280 469
5640 1086 589 6266 480
6509 1081 672 7175 538
6348 1212 601 6157 523
5413 1314 565 5676 464
6499 856 568 6505 458
5325 818 514 5810 457
4884 1273 676 5748 458
5732 825 678 5562 473
5240 1027 631 5573 444
5466 654 702 5892 459
5533 980 592 5759 424
5618 874 696 6087 468
5044 830 822 5941 422
5290 709 604 6678 474
5595 1101 596 6056 458
5542 922 698 6939 469
5912 922 639 6336 493
5908 1038 660 6820 489
6026 990 744 6588 461
5824 699 771 6785 481
5846 961 750 6382 459
4974 1135 727 7173 424
6785 1155 693 5361 528
6534 1133 662 6592 446
5119 883 515 6250 424
6900 1438 666 6183 550
5089 1193 665 7848 418
5961 1362 664 7024 524
6451 1093 816 7803 518
6331 1603 655 7636 541
5439 970 858 7272 547
6267 867 653 6535 526
5899 1323 654 7334 532
6429 959 922 6361 537
6633 1000 845 7487 524
5565 945 641 6118 513
6095 1157 674 6631 485
5681 1177 590 6307 483
6507 1356 798 7166 429
4511 851 516 7484 426
6436 1129 803 6022 544
4693 1483 602 7809 426
5743 1173 802 7896 550
5398 1345 732 7221 546
5492 1005 836 6252 533
5282 1177 711 6882 551
5837 841 583 6080 482
4997 1031 682 6644 472
5504 1006 643 6153 468
4898 890 572 6727 466
5702 1184 693 6291 467
5333 989 649 5942 428
5518 920 692 6092 468
4456 649 712 6567 494
5833 1217 634 5984 478
5420 883 830 5725 427
5496 1248 628 6177 472
5701 1188 584 6652 469
5797 1074 697 6965 469
4997 824 601 5827 476
6007 777 587 6212 465
5971 1014 834 6557 467
4312 773 593 6612 469
5916 997 649 6985 485
5283 802 761 6308 422
4946 886 689 6211 429
4366 891 539 6345 434
5248 779 700 6321 424
5147 1208 538 6190 432
5412 803 667 6487 688
5095 1233 539 6100 433
5368 791 702 6859 439
4554 820 733 6534 434
4756 621 630 6152 447
5596 1132 760 5542 432
5256 730 635 7494 429
6769 917 590 5499 495
4558 1143 653 5502 445
4620 765 556 5587 439
5055 871 554 5771 437
4634 913 650 6518 440
5305 984 599 6692 432
5211 1152 642 6792 431
4890 801 677 6840 440
4841 1125 598 6400 466
4585 729 590 5664 532
5647 1207 676 6426 439
6213 1322 875 6067 434
4569 957 785 6014 502
5764 1009 595 5603 457
5852 849 562 6521 479
4945 933 555 6393 436
4738 683 562 5505 435
5396 680 783 6177 434
4433 731 788 6381 430
5040 933 549 6129 430
5440 793 611 7346 428
5849 1092 626 7153 506
6444 1248 713 5472 474
5266 704 708 6094 395
5008 923 680 7341 404
5539 1014 570 6766 442
5348 1161 763 6387 416
6041 1364 702 6408 563
5483 1531 941 9114 392
6198 885 1001 7621 484
6640 1099 808 7708 478
5873 984 729 6913 468
5600 721 620 7257 457
4690 871 854 6907 446
5860 930 643 6902 434
5026 831 642 7097 439
5799 1027 816 6563 440
5405 1071 781 8084 434
5893 958 711 6579 516
6197 1128 772 7260 437
4663 724 714 6961 419
5251 1114 687 7272 447
5267 709 763 6986 415
6926 1082 710 7016 494
5008 908 692 7053 487
5228 1498 681 6963 485
5760 1134 669 7077 490
6034 750 658 7344 488
5081 818 799 6024 489
6009 998 710 6995 485
5964 775 790 7112 507
5524 947 790 6807 488
5372 998 694 7634 454
6138 1055 759 6578 507
6291 924 818 6573 527
5565 1514 678 7410 454
5350 1392 621 6440 505
5694 1194 815 7572 503
5461 1012 860 7225 495
5963 994 652 7173 492
5364 1204 776 7259 496
5050 863 788 7058 489
5824 793 710 7013 517
5853 1485 781 7032 490
6042 994 765 7176 501
5952 944 692 7202 498
5210 993 660 7293 461
6004 772 734 7297 498
4890 1042 667 7300 500
5627 963 684 6744 507
4717 795 798 8015 457
7103 1220 719 6575 564
6197 1160 803 7213 559
6219 826 764 7811 503
6754 1134 827 8674 597
6724 1333 942 8233 572
6633 940 741 8387 574
6850 1135 820 7853 577
6929 1088 806 8040 501
5297 1228 733 7382 562
6048 1007 769 5616 500
6252 1358 742 7540 504
6129 751 650 6858 521
5852 1055 687 6973 524
5223 1011 800 7891 462
6628 1116 865 6966 593
6934 959 799 8146 501
5953 827 876 7412 502
5387 919 739 7186 520
5139 1256 717 7632 525
6122 1200 680 7208 577
6117 1132 737 6392 604
5242 1004 792 7312 578
5066 904 793 7220 573
6241 1356 778 7600 618
5592 771 624 6747 562
5283 960 700 6303 596
5922 1029 620 7400 605
6093 898 743 6605 573
6058 713 915 7487 533
6173 1110 879 7632 577
5674 897 784 7478 583
6228 980 881 7243 583
6784 1323 915 8477 784
5537 1002 721 6581 624
6626 1352 939 7739 594
6614 902 833 8426 625
5920 1036 817 6781 581
6266 763 779 8076 586
6253 820 646 7595 580
6378 1446 762 6674 596
5436 780 882 7412 527
6037 857 622 6691 601
5964 958 778 7330 570
5701 1083 892 7348 589
5335 876 698 6406 604
6059 848 704 7508 618
5408 2048 699 7071 607
5445 882 828 7147 537
6185 903 664 7224 679
6999 841 828 7124 672
5979 1047 711 7840 679
5690 848 843 6132 640
5186 1034 833 7428 623
5914 986 668 7627 646
6316 1294 658 7386 625
4950 795 666 7899 646
6672 1462 871 7229 709
4938 1013 667 7037 619
5572 1136 670 7701 640
5620 838 1023 6944 620
5887 1004 1149 7633 620
5420 846 824 7768 628
6662 988 811 7923 903
6023 824 687 7848 694
6039 1049 663 8172 630
5292 1102 650 6841 659
5492 1045 608 7458 735
5953 926 658 7673 717
5736 856 878 6106 650
5848 742 685 7402 639
6094 801 960 7919 813
6057 782 701 6431 617
6500 918 907 6960 654
5465 761 667 6126 622
4695 1024 659 8416 619
6134 1185 696 8327 616
5330 867 713 7446 630
6260 1108 1107 8437 682
6244 1104 735 6947 684
6535 1515 698 7262 648
5941 964 1272 8016 571
6572 1215 803 6183 622
5894 968 720 8493 615
5775 1118 786 8606 642
5755 949 923 9490 573
5985 919 892 9355 711
6870 1022 854 6776 711
6425 1074 843 6802 635
6754 1330 727 7694 626
6854 880 892 8110 625
6608 1231 824 8003 626
6112 942 787 7818 633
6672 1074 666 6947 633
6566 1347 795 8047 569
6185 996 860 7591 619
6288 1731 741 7593 643
5857 795 731 7685 584
5847 1006 921 7781 643
4757 1145 655 8831 565
6963 1233 1067 9236 724
6735 1050 838 8867 720
7796 1166 1097 9076 747
7245 1202 755 8380 734
5918 1135 1040 8999 737
6344 1280 815 7649 716
6805 1320 864 7090 727
6965 1153 864 9135 589
7104 832 734 8075 731
6970 1180 886 7300 736
5849 1364 863 8893 584
5794 1339 763 8788 722
6768 1535 891 9380 674
6269 1284 825 9291 732
7198 963 820 9025 737
7042 994 1171 9140 723
6485 872 847 8725 732
6989 1238 816 8796 717
6080 993 888 9277 720
5756 1112 814 9164 586
7240 977 906 8079 749
6604 1392 912 8588 579
6001 1158 862 8624 592
7295 881 682 7821 742
5594 881 728 8217 749
7055 1096 1125 9366 664
7533 1052 812 9325 758
6455 1366 768 8641 738
6051 1104 747 8315 677
5909 1434 738 7613 649
6032 1281 763 8008 576
6402 1189 794 7633 660
5611 1018 813 8259 591
6640 938 838 8151 662
5900 1207 772 7139 678
6035 846 742 8025 591
6301 909 720 7568 655
6246 1232 1062 8110 650
6417 1178 738 7876 673
6878 933 750 8286 664
6927 1279 850 8501 719
6299 1290 794 8341 647
7223 908 897 9693 750
6492 1037 1139 8947 733
6843 831 905 8035 717
7150 1428 837 9208 680
6186 910 869 9179 712
5748 1011 702 7851 747
7602 1324 851 7868 737
5434 1094 1094 8700 596
