RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
1615 353 227 2007 14
1388 261 219 1868 18
1123 302 191 1587 13
1142 319 207 1520 14
1306 287 199 1648 14
2527 856 483 2917 56
2666 721 485 3276 18
1952 549 217 3608 30
2611 536 349 3359 20
3102 361 274 3202 35
2284 599 219 1590 32
1288 287 191 1625 18
1344 320 176 2009 18
1745 303 211 1590 14
1433 276 229 1635 14
1258 464 206 1562 17
1415 258 192 1624 14
1251 273 194 2027 14
1219 298 177 2359 17
1660 495 177 2770 13
1549 413 464 2244 19
1245 351 187 2037 14
1245 266 193 1978 13
1160 237 174 1703 14
1310 256 216 1711 14
1425 319 176 2078 13
1348 233 171 1804 13
1238 239 181 1869 13
1040 194 165 1741 14
1001 230 167 1772 13
1106 269 167 1794 13
1056 255 198 1820 13
1099 293 201 1446 13
1093 177 170 1832 13
1037 171 167 1760 13
1125 225 209 1787 13
1076 389 209 1769 13
1272 175 191 1839 13
1150 242 167 1726 13
1230 204 169 1782 13
1222 258 172 1579 13
1075 188 176 1811 13
1277 191 174 1828 12
1349 222 174 1557 13
1238 189 174 1781 13
1076 227 196 1571 13
1132 209 197 1587 13
1141 196 176 1547 13
1294 241 176 1823 14
1448 356 242 1973 13
1102 277 176 1817 13
1160 324 190 1689 12
1170 205 203 1818 13
1086 226 176 1553 13
1202 186 180 1804 12
1092 188 208 1583 13
1063 382 206 1910 13
1099 196 183 1822 13
1102 176 181 1922 13
1133 209 181 1576 14
1135 283 210 1841 13
1265 263 192 1706 13
1182 211 194 1752 13
1276 243 191 1725 13
1108 216 178 1620 13
1129 202 182 1524 13
1272 190 181 1544 13
1216 236 185 1839 12
1179 182 182 1644 13
1066 187 184 1945 13
1446 198 326 2335 14
1310 208 226 1879 14
1222 380 238 1879 14
1550 204 225 1794 14
1275 373 277 1930 18
1289 195 201 1870 13
1289 200 198 1990 14
1637 236 213 1885 14
1627 212 225 2000 14
1248 189 189 1561 14
1053 180 191 1631 13
1395 277 189 1589 13
1111 191 189 1637 12
1413 370 192 1690 13
1558 180 321 1673 13
1344 187 190 1647 13
1071 248 281 1852 13
1751 378 217 2190 20
1416 172 192 1699 14
1308 276 191 1719 13
1384 194 192 1659 13
1329 185 286 1653 13
1372 328 219 1611 13
1414 271 193 1678 14
1369 193 201 1623 14
1330 183 198 1679 13
1395 200 199 1689 13
1268 165 203 1814 13
1281 326 211 1784 13
1453 214 258 1813 14
1148 223 206 1667 14
1605 200 200 1896 13
1609 306 207 1702 13
1237 245 224 1863 13
1789 268 321 1972 19
1680 254 378 2009 14
1819 185 228 1936 17
1624 240 309 1960 17
