RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
12779 1397 771 7267 973
5730 945 655 6954 477
7700 1350 620 5676 410
4874 698 582 5180 363
5488 1018 500 6176 365
4929 875 608 4882 372
4235 922 496 6041 335
6118 1041 481 5812 378
4533 1021 694 6464 329
5388 661 798 7387 409
5772 988 598 6705 422
5780 866 541 6467 396
5648 888 538 6111 429
5670 905 626 6575 365
5794 962 635 6700 449
5782 927 505 6569 356
5902 1069 522 6273 398
5902 1099 652 6034 376
5556 1013 708 6701 350
5762 1019 577 5504 631
5448 1119 599 6271 343
4711 902 585 6404 414
5011 720 504 6129 363
5354 809 510 5887 369
5417 713 505 6071 368
4751 666 538 6214 369
5626 851 594 5703 364
5630 750 650 6358 383
4566 1034 547 5341 405
5142 876 602 6249 417
5598 1044 566 6303 407
5584 787 692 6387 364
5547 764 564 5069 385
5041 837 593 6198 330
5486 951 514 6172 366
4721 648 559 5651 335
4879 733 500 5628 370
5285 836 565 6522 367
5854 979 505 7149 428
5748 1013 655 7138 418
5646 1086 543 6563 419
5134 786 644 6826 418
5048 1339 753 6822 405
6092 1324 755 6492 383
5461 837 553 6308 388
5381 982 561 6527 385
5058 670 486 5723 359
5539 929 660 6357 367
5248 707 500 6137 361
4977 1153 486 5728 412
5703 1038 1033 6935 354
6594 1280 889 8571 370
5778 676 650 6908 474
7220 657 671 7972 454
6046 617 660 6543 483
4983 947 582 6593 464
4755 1101 709 5677 374
5411 611 523 6014 422
5243 962 597 6476 398
5308 1244 523 5172 409
5568 1114 537 6712 379
4440 864 721 6142 412
6350 993 672 6250 487
5962 1094 781 6581 454
5777 1038 887 6684 444
5554 1053 803 6494 468
5367 895 754 6531 409
5824 1063 642 7378 422
5646 941 643 7527 430
5720 785 825 7266 433
5952 801 539 7697 460
5573 873 490 6021 483
5547 919 569 6762 427
5422 987 842 5521 465
5024 870 557 5574 382
5438 932 693 5334 407
5268 927 722 6112 391
5671 805 678 6698 464
5662 950 750 6432 406
4817 796 558 6342 404
4820 834 540 6088 412
5499 681 605 6818 465
5561 1165 708 6877 458
4719 1110 625 6148 408
5375 871 535 6341 406
5090 766 683 6234 403
4829 617 722 6302 408
5343 1115 519 7126 396
5479 796 566 7584 423
5292 975 736 5405 644
5607 667 739 5991 452
4993 768 678 6434 403
5715 1370 679 6568 450
6137 868 730 6180 478
5653 898 790 6342 466
6199 1091 712 6959 481
5923 1072 796 7192 445
5991 793 718 7591 422
5139 765 630 6249 468
5803 1117 538 6462 485
4764 620 813 5979 409
5544 1004 524 5897 461
5309 1056 585 5417 389
5313 913 639 7037 411
5039 876 696 6460 374
5931 791 801 6341 430
5401 1065 825 5458 406
5549 936 676 7252 411
5856 939 570 6140 409
6234 712 617 6911 485
6016 963 852 6432 421
5349 1033 687 6161 509
5633 981 666 6755 410
5393 839 776 6301 427
5523 1017 587 5924 430
5343 822 505 6036 376
5679 711 628 7374 421
5273 621 547 5738 411
5833 833 654 7213 465
5427 1056 694 6555 374
5517 917 518 6553 424
5584 717 781 6009 443
5709 1072 856 6911 433
5260 870 566 6504 419
5636 664 769 6647 426
5877 1300 670 5745 499
5735 608 543 6364 409
4924 858 792 6826 420
5694 677 706 6487 419
5057 752 605 6562 395
6182 969 676 7016 423
5061 754 618 6685 426
5751 899 564 6403 460
5083 897 726 6787 409
5066 746 721 6805 484
5999 1174 559 7346 454
6121 1424 779 7404 415
5559 1339 582 7819 409
6498 905 801 7621 434
5560 1009 789 6269 409
4479 1032 573 6661 392
5326 750 791 6255 426
5047 724 528 6303 387
5300 628 536 6500 394
4360 881 643 6121 388
4788 993 567 6420 385
5333 893 678 6615 400
5243 1150 539 5349 427
5454 751 541 5608 410
