RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
1103 273 180 1470 108
1057 253 160 1464 121
1056 283 176 1452 116
1220 258 152 1755 114
1233 275 254 1879 152
1498 328 272 1964 131
1463 340 228 1947 152
1507 405 192 2008 144
1901 415 237 1767 140
1496 352 209 1840 114
1370 355 281 1967 110
1442 339 248 1773 134
1457 518 218 1834 122
1511 336 230 1747 130
1310 281 204 1765 107
1291 369 202 1707 108
1374 250 187 1652 105
1294 296 182 1585 104
1147 287 169 1513 93
1200 245 196 1645 100
1393 270 282 1918 126
1361 299 223 1903 102
1423 337 226 1695 109
1210 372 196 1653 102
1162 295 201 1627 105
1108 355 199 1672 93
1068 267 182 1455 94
1125 219 174 1567 95
1250 248 281 1852 105
1326 317 202 1884 126
1191 262 177 1750 110
1180 317 173 1703 116
1359 224 168 1527 109
1046 279 210 1544 91
1065 258 192 1661 110
1087 339 204 1910 110
1234 283 341 1854 113
1328 424 198 1631 112
1024 326 283 1729 93
1072 275 220 1831 106
1395 370 326 1699 105
1207 241 186 1729 113
1180 468 237 1910 119
1082 546 224 1815 110
1302 460 206 1724 112
1193 440 229 1997 123
1268 459 223 1844 121
1319 241 197 1708 100
1310 476 360 1727 122
1277 375 220 1884 122
1225 266 224 1808 120
1276 318 223 1960 118
1371 452 357 1972 108
1316 302 185 1796 124
1170 342 251 1737 124
1260 364 201 1967 108
1257 370 227 1757 125
1193 402 323 1778 114
1222 406 198 1739 105
1239 260 198 1794 110
1226 256 195 1902 108
1262 347 233 1965 115
1245 312 214 1805 134
1232 401 248 2018 135
1444 294 228 2012 131
1446 278 225 1749 139
1105 250 290 1950 119
1279 391 303 1973 135
1010 232 238 1690 101
990 352 209 1589 101
1027 363 210 1914 102
1215 358 251 1770 137
1124 284 330 1976 119
1293 240 270 1956 129
1121 376 227 1878 112
1257 385 199 2008 114
1047 202 193 1795 112
1100 423 218 1568 107
1061 254 231 1851 114
1480 364 277 2147 126
1278 385 241 1921 144
1159 418 288 2016 119
1271 343 233 1524 137
1007 276 200 1629 106
1093 427 223 1712 113
1093 448 206 1729 128
1118 331 238 2140 117
1143 252 218 1806 127
1076 280 222 1793 107
1210 478 261 1904 113
1106 372 248 1852 119
1414 457 220 2179 146
1216 456 238 2024 133
1213 367 260 1964 137
1378 278 253 2036 138
1344 402 261 2045 133
1249 363 239 1935 127
1345 483 251 2095 137
1330 318 224 1857 133
