RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
35 61 58 41 40 45 57
35 65 58 39 40 45 52
44 92 58 42 40 45 62
36 62 58 39 40 45 57
35 96 45 33 40 45 61
32 71 56 43 40 45 58
36 75 45 34 40 45 51
37 94 58 38 40 45 58
40 80 58 39 40 45 62
38 60 52 39 40 45 49
38 91 58 33 40 49 63
36 64 58 37 40 49 51
42 91 58 42 40 49 40
41 92 58 35 40 49 51
41 79 49 42 40 49 62
40 72 58 34 40 49 57
41 130 49 40 40 49 58
36 49 58 34 40 49 52
37 46 48 35 40 48 52
31 79 58 37 40 48 61
33 71 48 41 40 48 37
34 66 58 36 40 48 53
35 68 58 34 40 48 46
36 126 58 40 40 48 56
31 72 48 35 40 48 57
31 102 58 29 40 48 46
38 128 58 43 40 48 44
35 95 58 37 40 48 48
33 59 58 35 40 48 60
33 86 56 37 40 48 61
42 68 44 32 40 44 58
36 115 58 36 40 44 52
34 80 58 37 40 44 56
32 79 58 38 40 44 60
38 178 58 41 40 44 57
37 82 44 34 40 44 54
32 65 58 35 40 44 52
33 71 58 29 40 44 37
36 170 51 37 40 44 49
29 65 58 36 40 44 60
34 62 58 39 40 44 61
31 67 58 37 40 44 56
38 73 58 38 40 44 54
39 69 44 32 40 44 55
33 47 58 32 40 44 56
37 58 42 32 119 42 63
28 58 58 36 119 42 48
40 57 58 34 119 42 62
37 121 58 25 143 42 55
27 53 58 32 143 42 43
32 54 58 37 143 42 50
30 59 58 31 143 42 46
31 57 58 34 143 42 53
36 89 58 38 143 42 60
32 73 58 35 143 42 49
32 60 58 40 143 42 59
33 81 58 35 143 42 62
34 55 58 35 143 42 48
33 52 58 34 143 42 52
30 59 58 30 143 42 53
31 62 58 32 143 42 59
35 56 58 30 143 42 49
30 55 58 28 143 42 54
30 87 58 35 143 42 58
42 76 42 32 143 42 53
31 85 42 35 143 42 58
30 55 53 33 143 42 52
33 63 58 32 143 42 56
31 67 58 34 143 42 56
31 50 58 35 143 42 48
34 56 58 34 143 42 59
32 109 43 35 143 42 60
36 160 58 31 143 42 59
35 59 42 35 143 42 57
29 65 58 30 143 42 52
38 80 58 28 143 42 57
32 56 58 36 143 42 46
34 122 58 31 143 42 52
37 61 58 36 143 42 62
31 94 58 31 143 42 56
38 57 58 31 143 42 58
34 61 58 27 143 42 60
31 116 58 31 143 42 63
32 71 58 31 143 42 47
39 76 58 33 143 42 56
30 69 42 30 143 42 63
34 95 58 41 143 42 49
32 52 42 35 143 42 49
33 69 58 29 143 42 56
32 49 58 34 143 42 55
34 60 49 32 143 42 59
33 57 58 34 143 42 57
33 54 58 34 143 42 60
29 58 58 37 143 42 61
34 56 42 31 143 42 57
33 130 58 38 143 42 51
36 58 58 30 143 42 62
34 109 42 40 143 42 58
33 60 42 28 143 42 46
33 69 58 28 143 42 52
37 58 45 33 143 42 62
33 80 42 31 143 42 62
32 34 58 35 143 42 59
33 31 42 34 143 42 59
30 51 42 27 143 42 50
32 64 58 30 143 42 46
33 60 58 33 143 42 47
29 36 42 34 143 42 55
31 72 49 30 143 42 48
33 70 58 31 143 42 60
34 55 58 36 143 42 53
30 59 42 34 143 42 47
32 60 58 30 143 42 49
34 47 58 37 143 42 59
34 59 58 31 143 42 53
35 137 58 34 143 42 56
30 108 58 33 143 42 49
33 66 58 35 143 42 47
29 91 58 31 143 42 49
32 84 58 29 143 42 63
36 58 58 28 143 42 63
32 50 58 31 143 42 49
34 50 58 32 143 42 45
32 66 58 38 143 42 51
32 72 42 31 143 42 51
31 47 58 30 143 42 54
30 60 58 37 143 42 45
30 53 58 35 143 42 45
31 64 58 31 143 42 57
31 66 42 33 143 42 46
33 74 42 27 143 42 55
35 43 57 33 143 42 53
26 159 58 34 143 42 51
31 53 58 29 143 42 55
33 59 58 35 143 42 61
35 71 58 34 143 42 56
29 53 58 39 143 42 51
32 49 58 34 143 42 62
30 117 58 29 143 42 53
28 71 42 40 143 42 60
33 65 42 31 143 42 54
35 68 58 31 143 42 58
30 60 58 33 143 42 48
33 37 49 36 143 42 62
32 67 58 31 143 42 57
30 113 55 33 143 42 49
36 64 58 36 143 42 63
32 48 42 38 143 42 61
42 104 42 32 143 42 58
31 66 58 37 143 42 54
34 66 58 35 143 42 51
34 156 42 39 143 42 62
33 64 58 32 143 42 55
32 72 58 32 143 42 53
28 124 58 37 143 42 48
32 70 58 31 143 42 57
37 70 58 35 143 42 59
30 130 54 34 143 42 55
39 136 42 32 143 42 45
34 90 36 33 143 42 55
33 75 33 38 143 42 56
38 61 42 30 143 42 52
30 63 56 34 143 42 56
33 104 56 35 143 42 52
29 104 56 31 143 42 58
30 81 56 30 143 42 56
32 67 56 31 143 42 43
30 86 45 38 143 42 59
35 62 56 32 143 42 52
39 61 37 37 143 42 54
30 63 56 35 143 42 52
36 62 56 36 143 42 62
36 74 54 32 143 42 59
34 154 54 32 143 42 52
33 49 32 37 143 42 45
33 81 50 31 143 42 57
35 66 49 32 143 42 58
31 57 49 36 143 42 49
29 60 38 33 143 42 57
34 91 49 36 143 42 47
32 47 49 31 143 42 57
28 54 49 30 143 42 60
29 48 49 35 143 42 60
37 85 49 29 143 42 58
35 46 35 33 143 42 53
30 122 42 30 143 42 61
35 120 36 40 143 42 55
31 63 35 30 143 38 52
27 59 47 31 143 38 58
33 56 36 29 143 38 42
33 80 35 35 143 38 63
33 69 47 31 143 38 49
30 72 33 29 143 38 62
33 68 47 31 143 38 39
31 165 34 32 143 38 41
28 62 42 31 143 38 62
34 164 43 29 143 38 63
28 68 47 28 143 38 62
31 71 36 30 143 38 58
30 70 47 30 143 38 61
30 57 47 30 143 38 52
29 55 47 29 143 38 62
31 180 34 30 143 38 56
29 58 47 35 143 38 61
29 67 41 31 143 38 43
32 74 47 31 143 38 63
32 66 36 28 143 38 57
28 70 45 39 143 38 58
27 73 39 28 143 38 49
29 59 45 29 143 38 61
29 81 47 33 143 38 63
32 86 44 31 143 38 43
34 114 37 28 143 38 42
33 67 47 30 143 38 43
30 141 47 28 143 38 40
25 152 47 28 143 38 61
30 46 47 31 143 38 49
27 66 45 29 143 38 61
28 36 35 30 143 38 40
29 54 47 28 143 38 54
28 104 47 28 143 38 47
34 38 46 27 143 38 62
29 54 47 30 143 38 58
30 68 36 31 143 38 52
31 89 42 31 143 38 38
32 71 45 31 143 38 59
35 68 41 32 143 38 63
28 55 40 29 143 38 53
28 51 36 29 143 38 53
26 38 41 32 143 38 58
29 55 41 32 143 38 51
27 155 47 32 143 38 55
32 106 45 28 143 38 63
33 73 45 24 143 38 47
32 54 40 30 143 38 51
31 62 47 36 142 39 62
30 73 44 34 142 39 50
28 73 34 32 142 39 61
28 149 47 35 142 39 43
35 76 43 30 138 37 60
28 70 41 30 138 37 55
25 77 43 34 138 37 62
35 43 43 27 135 37 59
28 78 41 27 135 37 56
31 87 39 30 135 37 54
28 67 42 29 135 37 56
25 68 35 30 135 37 60
30 60 42 30 135 37 61
29 41 32 29 135 39 61
25 63 37 27 135 36 34
25 43 37 26 135 36 51
27 67 37 26 135 36 59
28 50 33 25 135 36 42
23 66 34 33 135 36 49
27 62 33 26 135 36 46
26 55 36 28 135 32 59
25 83 37 24 135 32 48
26 60 37 26 135 32 42
29 66 37 22 135 32 39
26 65 37 28 135 32 34
27 44 37 30 135 32 48
27 48 32 29 135 32 35
27 141 32 26 135 32 62
26 58 34 29 135 32 42
28 62 37 26 135 32 44
27 92 37 27 135 32 48
27 107 35 22 135 32 55
28 129 37 26 135 32 49
25 61 33 24 135 32 52
27 49 34 29 135 32 54
29 64 32 27 135 32 59
31 150 37 33 135 32 62
29 73 37 26 135 32 40
28 40 37 25 135 32 46
25 64 37 28 135 32 39
27 53 33 23 135 32 58
28 55 37 28 135 32 40
26 49 36 32 135 32 43
24 43 32 33 135 32 47
28 49 32 24 135 32 61
28 69 37 24 135 32 58
25 51 37 24 135 32 51
28 49 32 27 135 32 61
27 83 34 24 135 32 48
