RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
84 108 99 75 142 88
88 127 96 87 142 88
85 123 88 85 142 88
74 84 96 72 142 88
70 90 88 77 142 82
64 102 91 81 142 82
83 88 91 80 142 82
73 90 86 74 142 85
66 80 86 78 142 85
74 87 92 68 142 85
85 75 87 81 142 85
72 85 88 81 142 83
72 79 79 75 142 79
82 87 88 70 142 80
69 79 72 80 142 80
81 71 73 73 142 77
66 81 88 71 142 75
69 76 73 70 142 75
66 73 77 74 142 75
73 85 82 71 142 75
75 84 73 71 142 68
72 122 92 76 142 68
67 81 70 58 142 68
76 74 89 68 142 68
70 78 73 66 142 65
73 73 73 58 142 65
67 66 73 82 142 65
70 117 60 55 142 65
66 83 69 63 142 65
65 88 72 53 142 65
58 82 73 57 142 65
58 66 71 53 142 65
62 61 53 60 142 65
62 63 61 57 142 65
58 73 59 53 142 65
61 66 53 55 142 65
58 85 56 58 142 65
47 66 58 66 142 65
66 55 63 53 142 65
55 63 52 52 142 65
56 63 52 49 142 65
50 66 51 60 142 65
49 66 50 45 142 65
50 71 48 55 142 65
57 58 54 53 142 65
48 66 52 65 142 65
55 74 62 54 142 65
54 65 52 51 142 65
51 62 65 50 142 65
60 65 68 53 142 65
53 56 48 51 142 65
43 80 53 66 142 65
54 62 52 52 142 65
47 62 48 50 142 63
43 75 48 52 142 63
41 64 48 43 142 61
45 50 44 45 142 51
50 49 48 52 142 47
45 53 48 44 142 47
40 49 47 51 142 47
40 40 47 41 142 47
50 45 55 40 142 45
43 41 38 51 142 45
43 38 38 40 142 46
36 36 36 37 142 45
39 45 50 41 142 45
38 50 37 37 142 45
38 38 36 39 142 45
41 53 40 40 142 45
34 44 37 37 142 43
31 43 34 35 142 43
34 44 38 38 142 43
31 31 38 35 142 43
36 34 37 36 142 40
31 62 36 26 200 40
36 43 38 36 189 40
34 36 37 28 160 40
31 36 38 35 153 39
29 34 34 25 142 36
28 29 34 31 142 36
26 29 36 26 142 36
29 24 36 24 142 36
24 40 36 31 142 36
25 29 25 22 142 36
24 31 24 29 142 36
22 31 22 22 142 36
21 29 26 26 142 36
28 22 33 24 142 33
23 28 24 22 142 33
23 29 33 27 142 36
21 30 22 23 142 36
