RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
39 61 47 41 163 48
42 127 42 37 163 48
35 70 46 40 163 48
41 127 40 36 163 48
36 86 42 39 163 48
41 131 48 40 163 48
34 62 43 33 163 48
39 63 47 37 163 48
34 64 40 41 163 48
41 157 43 38 163 48
42 66 43 37 163 48
38 78 47 41 163 48
41 114 41 39 163 48
41 91 46 39 163 48
38 66 44 37 163 48
40 121 46 34 163 48
36 163 45 40 163 48
44 82 45 36 163 48
33 68 46 41 163 48
35 100 46 42 163 48
38 60 48 43 163 48
36 111 43 37 163 48
41 115 45 39 163 48
41 107 45 39 163 48
35 50 44 36 163 48
40 143 48 37 163 48
39 94 46 39 163 48
40 59 41 35 163 48
33 47 40 41 163 48
39 58 44 35 163 48
38 56 44 37 163 48
39 59 44 34 163 48
40 64 45 37 163 49
35 149 48 35 163 49
41 163 40 43 163 49
41 87 41 43 163 49
33 155 55 32 163 49
35 54 42 37 163 49
35 52 46 35 163 49
40 62 38 34 160 46
36 110 40 36 160 46
38 51 46 40 160 46
38 105 46 34 160 47
39 60 40 35 160 47
36 80 38 33 160 47
34 92 43 36 160 39
32 53 42 32 160 37
30 72 37 29 160 37
27 55 36 34 160 37
35 50 37 29 160 37
30 51 39 36 160 37
30 40 40 25 160 37
33 113 33 35 160 37
29 63 35 33 160 37
33 55 36 29 160 37
31 107 40 32 160 37
29 84 42 36 160 37
32 65 33 32 160 37
30 83 33 32 160 37
30 77 36 36 160 37
32 51 38 33 160 37
33 68 41 31 160 37
32 114 37 34 160 37
33 100 42 28 160 37
34 66 33 37 160 37
32 140 39 30 160 37
32 61 32 31 160 37
32 70 38 32 160 37
30 59 37 29 160 37
32 57 38 27 160 37
31 110 38 31 160 37
30 66 35 31 160 37
35 55 33 35 160 37
34 40 38 30 160 37
32 51 42 33 160 37
30 70 35 29 160 37
33 146 40 32 160 37
31 55 42 30 160 37
30 56 38 30 160 37
28 63 38 37 160 37
30 54 38 37 160 37
31 75 37 32 160 37
30 47 42 29 160 37
30 54 42 32 160 37
29 46 41 31 160 37
31 127 41 31 160 37
33 53 38 31 160 37
27 50 38 31 160 37
29 48 40 28 160 37
29 114 33 28 160 37
30 57 38 34 160 37
32 72 38 35 160 37
28 85 42 31 160 37
29 85 36 33 160 37
28 102 39 30 160 37
30 56 38 31 160 37
32 71 33 33 160 37
34 110 42 31 160 37
33 37 36 35 160 37
33 50 37 40 160 37
35 52 38 35 160 37
29 77 39 29 160 37
34 51 34 32 160 37
29 43 38 33 160 37
35 137 38 31 160 37
27 76 35 31 160 37
33 98 42 30 160 37
35 115 41 31 160 37
30 82 38 31 160 37
31 145 34 32 160 37
33 67 33 29 160 37
30 85 35 32 160 37
33 67 37 37 160 37
34 55 42 29 160 37
31 67 39 33 160 37
27 111 35 31 160 37
31 88 35 36 160 37
30 36 38 29 160 37
33 124 38 30 160 37
31 63 36 34 160 37
32 50 41 29 160 37
34 154 38 30 160 37
34 110 35 31 160 37
32 115 33 29 160 37
31 67 33 33 160 37
31 150 38 33 160 37
32 46 41 30 160 37
30 150 35 29 160 37
30 38 34 31 160 37
29 57 38 30 160 37
32 90 36 28 160 37
32 88 35 31 160 37
32 72 41 30 160 37
28 47 38 37 160 37
32 64 35 29 160 37
31 89 37 30 160 37
30 78 37 31 160 37
29 49 39 31 160 37
33 49 40 32 160 37
30 61 40 34 160 37
29 115 34 29 160 37
33 73 38 30 160 37
30 57 33 32 160 37
33 56 34 30 160 37
31 61 33 29 160 37
34 64 36 30 160 37
30 82 37 30 160 37
33 73 38 27 160 37
28 49 38 33 160 38
33 41 34 33 160 38
27 52 34 29 160 38
29 58 32 33 160 38
30 91 40 30 160 38
30 41 39 31 160 38
29 110 38 32 160 38
35 70 38 33 160 38
29 58 40 32 160 38
27 71 38 37 160 38
30 64 36 33 160 38
32 105 38 29 160 38
32 48 40 30 160 38
34 77 37 26 160 38
30 107 39 31 160 38
32 53 38 28 160 38
34 71 33 31 160 38
30 54 33 29 160 38
28 65 39 28 160 38
26 50 38 31 160 38
27 54 36 36 145 37
31 63 39 30 145 37
30 48 36 31 145 37
32 79 36 29 145 37
30 51 37 31 145 37
35 72 33 37 145 37
32 131 38 31 145 37
34 82 36 32 144 36
26 153 33 33 144 36
30 52 38 33 144 36
29 53 35 31 144 36
30 107 39 31 144 36
30 146 36 30 144 36
29 99 36 37 144 36
27 115 33 29 144 36
28 129 33 33 144 36
24 42 33 31 144 36
28 102 33 27 144 36
30 80 36 30 144 36
31 56 32 24 144 36
29 126 33 24 144 36
27 26 30 31 144 35
27 113 29 27 144 35
25 114 34 29 144 35
25 42 29 26 144 35
25 50 31 25 144 35
27 49 26 26 144 35
29 37 29 31 144 35
27 42 35 28 144 35
26 42 30 25 144 35
22 118 29 23 144 35
30 118 29 31 144 35
23 92 27 25 144 35
25 42 34 31 144 35
24 41 36 31 144 35
23 77 35 26 144 35
28 140 33 29 144 35
26 45 29 24 144 35
26 115 32 24 144 35
28 78 29 29 144 35
26 53 34 25 144 35
26 105 27 27 144 35
24 52 29 24 144 35
24 45 26 25 144 35
32 57 35 25 144 35
26 110 28 25 144 35
27 101 27 26 144 35
28 72 32 28 144 35
25 55 27 24 144 35
24 35 34 27 144 35
30 86 32 25 144 35
30 53 33 31 144 35
26 49 34 28 144 35
28 71 29 33 144 35
25 50 29 26 144 35
27 81 33 26 144 35
26 115 27 25 144 35
27 65 26 27 144 35
28 118 34 27 144 35
31 114 35 28 144 35
28 111 28 29 144 35
25 73 29 28 144 35
34 115 31 30 144 35
25 71 30 27 144 35
27 116 33 25 144 35
30 31 29 27 144 35
24 41 26 25 144 35
24 51 33 27 144 35
23 51 26 23 144 31
23 68 27 24 144 31
26 81 27 25 144 31
25 101 27 23 144 31
23 66 32 23 144 31
24 47 26 25 144 31
24 36 30 27 144 31
23 45 27 26 144 31
23 106 31 25 144 31
24 43 32 18 144 31
21 70 26 22 144 31
25 102 30 21 144 31
25 109 31 25 144 31
25 31 27 22 144 31
24 87 29 23 144 31
23 58 26 23 144 31
24 51 27 25 144 31
22 50 28 24 144 31
24 47 25 27 144 31
24 47 30 28 144 31
24 87 29 25 144 31
23 73 26 26 144 31
23 102 29 20 144 31
25 58 27 24 144 31
27 106 30 22 144 31
24 42 30 23 144 30
22 39 27 25 144 29
26 65 26 20 144 29
21 55 26 23 144 29
22 34 29 21 144 29
23 60 28 22 144 28
21 60 28 24 144 28
25 98 25 24 144 28
22 54 27 24 144 28
20 67 28 22 144 28
23 51 28 23 144 28
19 52 29 23 144 28
24 32 26 21 144 28
23 34 28 25 144 28
22 50 27 21 144 28
24 88 25 24 144 28
24 25 28 24 144 28
22 51 27 27 144 28
25 41 25 24 144 28
22 98 27 20 144 28
20 51 27 27 144 28
22 71 27 21 144 28
21 46 28 21 144 28
23 88 25 25 144 28
20 40 26 22 144 28
19 49 27 22 144 28
20 51 25 21 144 28
23 110 28 21 144 28
22 87 26 21 144 25
22 46 25 23 144 25
20 43 25 22 144 25
23 46 27 24 144 25
19 69 25 22 144 25
21 101 26 23 144 25
22 44 25 23 144 25
23 61 23 21 144 25
20 66 26 21 144 25
20 40 24 21 144 25
18 47 29 21 144 25
20 39 25 20 144 25
19 94 26 19 144 25
24 70 24 22 144 25
20 81 26 21 144 25
21 47 26 21 144 25
21 40 26 20 144 25
20 58 22 19 144 25
20 57 25 19 144 25
22 30 26 21 144 25
20 79 26 20 143 25
21 45 26 21 143 25
20 67 26 20 143 25
19 83 24 19 140 24
19 49 22 21 140 24
16 54 22 20 140 24
20 49 24 21 140 24
20 39 21 19 140 24
21 61 24 20 140 24
18 68 21 21 139 24
20 85 24 18 139 24
20 86 22 17 139 24
18 53 23 21 139 24
21 107 24 18 139 24
20 44 23 21 139 24
19 44 25 19 139 24
19 43 24 20 139 24
17 29 22 19 139 24
21 40 24 20 139 24
20 51 23 21 139 23
20 88 23 21 139 23
20 42 23 22 139 23
18 46 23 20 139 23
18 46 23 16 139 23
18 28 23 18 139 23
18 28 22 17 139 23
17 65 21 18 139 23
21 91 23 18 139 23
18 71 23 17 139 23
21 25 23 20 139 23
18 46 23 20 138 23
20 50 23 19 138 23
19 76 23 19 138 23
18 41 23 21 138 23
21 40 23 17 138 23
17 109 23 20 138 23
17 57 23 17 138 23
19 30 23 21 138 23
19 66 23 23 138 23
18 110 21 21 138 23
18 23 23 19 138 23
21 47 23 16 138 23
18 96 21 17 138 23
20 60 23 17 138 23
19 39 23 19 138 23
20 66 23 19 138 23
18 97 23 21 138 23
19 40 23 18 138 23
21 38 24 17 138 23
18 67 22 19 138 23
19 101 23 18 138 23
18 40 21 20 138 23
18 75 23 19 138 23
20 33 23 21 138 23
21 68 23 20 138 23
19 109 23 19 138 23
19 129 22 22 138 23
19 61 21 20 138 23
19 45 23 18 138 23
18 74 24 18 138 23
19 47 21 18 138 23
18 111 22 20 138 23
20 24 22 18 138 23
20 48 22 19 138 23
20 44 21 20 138 23
17 47 22 21 138 23
17 42 23 17 138 23
16 57 21 18 138 23
18 59 23 18 138 23
18 56 21 18 138 23
22 39 21 19 138 23
18 101 21 18 138 23
20 46 21 17 138 23
18 52 23 19 138 23
18 72 23 19 138 23
17 87 22 18 138 23
18 42 23 19 138 23
18 89 23 19 138 23
20 43 23 18 138 23
21 89 22 16 138 23
18 54 23 20 138 23
18 54 23 18 138 23
18 41 22 21 138 23
20 46 23 19 128 23
20 108 22 18 128 23
17 90 18 20 128 23
20 113 19 19 128 23
20 65 23 19 128 23
19 56 20 19 128 23
19 25 23 21 128 23
17 48 20 20 128 23
20 52 20 18 128 23
