RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
40 61 47 37 185 48
38 78 46 42 185 48
39 73 46 42 185 48
34 110 46 36 185 48
36 82 47 42 185 48
36 122 45 37 185 48
36 111 44 37 185 48
39 62 47 47 185 48
33 65 48 32 185 48
41 79 47 32 185 48
39 101 43 43 185 48
41 62 48 37 185 48
37 75 46 47 185 48
39 131 49 39 185 48
36 99 40 37 185 48
41 106 47 35 185 48
38 111 44 40 185 48
34 117 42 37 185 48
42 81 41 37 185 48
37 67 39 39 185 48
41 55 41 38 185 48
37 58 47 38 185 48
36 116 36 36 185 48
37 68 52 38 185 48
40 57 41 40 185 48
38 71 50 43 185 48
41 66 39 40 185 48
40 49 45 40 185 48
38 55 46 43 185 48
38 131 41 37 185 48
37 69 44 39 185 48
34 87 45 40 185 48
38 67 51 38 185 48
32 109 46 36 185 48
42 80 44 39 185 48
36 133 40 35 185 48
38 86 44 38 185 48
37 106 47 34 185 48
40 47 45 38 185 48
44 97 45 39 185 48
36 131 44 39 185 48
37 82 50 37 185 48
34 177 45 38 185 48
32 59 51 37 184 49
37 163 44 34 184 49
41 94 45 39 184 49
37 56 43 36 184 49
36 69 38 37 180 49
40 95 46 39 180 49
34 58 48 42 180 49
40 103 40 37 177 46
39 152 48 39 177 46
37 96 46 37 177 46
38 59 42 33 177 47
38 114 38 40 177 47
42 67 46 33 177 47
32 127 44 33 177 47
30 109 42 31 177 39
31 65 37 35 177 37
33 64 33 31 177 37
31 46 34 31 177 37
34 59 42 31 177 37
31 62 36 35 177 37
31 156 33 33 177 37
30 110 39 30 177 37
33 54 35 29 177 37
33 78 42 30 177 37
31 64 36 31 177 37
28 62 36 32 177 37
31 53 42 33 177 37
34 103 38 26 177 37
28 85 39 32 177 37
32 105 38 29 177 37
31 148 42 31 177 37
28 129 37 30 177 37
32 67 42 30 177 37
31 79 42 33 177 37
33 104 42 32 177 37
34 34 35 30 177 37
32 128 42 29 177 37
36 87 36 28 177 37
34 70 38 29 177 37
34 54 35 32 177 37
29 60 38 30 177 37
30 116 42 39 177 37
32 81 38 29 177 37
30 109 35 31 177 37
31 61 35 30 177 37
31 53 39 31 177 37
37 86 33 29 177 37
28 112 38 27 177 37
32 82 40 30 177 37
33 83 42 30 177 37
34 148 37 28 177 37
34 69 42 28 177 37
33 153 39 34 177 37
30 46 42 33 177 37
34 49 42 32 177 37
31 61 36 34 177 37
34 79 38 35 177 37
28 110 32 33 177 37
30 108 38 28 177 37
30 96 37 35 177 37
32 153 34 29 177 37
33 49 36 37 177 37
26 70 35 34 177 37
35 54 37 33 177 37
30 81 39 31 177 37
30 112 39 31 177 37
27 55 41 31 177 37
36 80 37 34 177 37
34 45 33 29 177 37
32 56 38 31 177 37
34 57 37 34 177 37
31 53 42 33 177 37
35 61 42 33 177 37
28 63 34 30 177 37
29 77 40 33 177 37
27 48 39 33 177 37
35 41 39 35 177 37
33 88 33 31 177 37
32 68 38 31 177 37
32 62 38 33 177 37
31 45 36 32 177 37
32 75 42 33 177 37
31 64 39 31 177 37
33 94 34 30 177 37
31 66 36 31 177 37
30 78 37 30 177 37
32 95 38 32 177 37
27 41 42 29 177 37
31 59 33 31 177 37
31 95 38 33 177 37
33 115 39 28 177 37
29 69 37 29 177 37
32 115 33 31 177 37
35 75 37 29 177 37
30 153 42 27 177 37
32 51 42 29 177 37
32 125 38 32 177 37
31 88 38 35 177 37
31 64 38 34 177 37
34 51 38 33 177 37
34 106 42 28 177 37
34 127 37 31 177 37
35 77 36 32 177 37
31 58 33 33 177 37
29 144 38 32 177 37
33 118 38 29 177 37
29 72 37 31 177 37
31 67 39 25 177 37
33 64 38 31 177 37
30 90 37 30 177 37
33 61 38 31 177 37
30 42 38 32 177 37
30 59 39 26 177 37
34 81 33 34 177 37
30 103 37 33 177 37
30 64 38 31 177 37
29 66 39 37 177 37
31 46 38 35 177 38
27 56 40 28 177 38
35 145 34 27 177 38
30 138 36 30 177 38
33 55 39 33 177 38
32 87 39 29 177 38
27 95 40 35 177 38
32 48 40 28 177 38
26 67 33 29 177 38
34 64 40 29 177 38
31 99 36 39 177 38
35 124 40 34 177 38
32 69 41 35 177 38
31 153 33 31 177 38
28 49 36 29 177 38
34 75 40 35 177 38
33 123 35 29 177 38
31 58 38 32 177 38
33 60 40 30 177 38
27 112 40 30 177 38
27 117 37 28 177 37
31 72 34 35 177 37
38 58 38 25 177 37
32 74 38 29 177 37
31 70 38 39 177 37
29 52 37 32 177 37
28 89 37 33 177 37
29 59 38 31 177 36
28 109 38 29 176 36
26 102 33 25 176 36
29 64 39 26 176 36
31 108 39 31 176 36
32 152 36 35 175 36
26 72 36 32 175 36
27 133 33 27 156 36
27 57 32 33 156 36
28 109 36 31 156 36
29 86 29 29 156 36
26 80 35 28 156 36
29 53 32 29 156 36
27 55 33 28 156 36
28 110 33 27 140 35
25 38 26 26 140 35
29 132 31 30 140 35
27 41 34 25 139 35
25 61 36 27 139 35
27 102 29 29 139 35
25 42 32 29 139 35
25 100 30 29 139 35
27 109 26 26 139 35
28 51 33 26 139 35
27 107 34 29 139 35
25 105 35 23 139 35
25 47 26 27 139 35
25 44 26 32 139 35
28 49 34 27 139 35
26 85 33 27 139 35
26 61 29 26 139 35
30 46 33 24 139 35
24 105 29 23 139 35
32 106 28 29 139 35
26 65 32 25 139 35
29 38 26 24 139 35
27 72 32 25 139 35
28 116 32 25 139 35
29 39 27 26 139 35
25 42 33 25 139 35
28 109 35 31 139 35
27 51 28 27 139 35
25 73 34 26 139 35
24 87 28 26 139 35
29 62 29 25 139 35
25 114 33 27 139 35
29 57 34 22 139 35
27 74 29 24 139 35
27 96 34 25 139 35
26 106 29 27 139 35
24 110 28 27 139 35
28 50 33 27 139 35
26 108 33 27 139 35
34 26 36 27 139 35
26 34 34 25 139 35
30 53 26 29 139 35
29 47 35 25 139 35
28 51 29 25 139 35
32 82 26 27 139 35
29 50 29 29 139 35
27 108 34 25 139 35
24 50 30 25 120 31
26 42 28 22 120 31
24 41 29 24 120 31
25 55 31 24 120 31
24 52 31 25 120 31
26 115 29 24 120 31
24 87 26 27 120 31
25 108 28 25 120 31
26 60 27 21 120 31
24 86 28 22 120 31
23 97 26 24 120 31
25 42 28 23 120 31
26 76 32 20 120 31
26 76 30 25 120 31
23 42 28 25 120 31
20 64 30 26 120 31
