RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
13 15 13 13 64 13
13 22 12 11 64 13
12 19 14 13 49 13
11 18 11 12 33 14
10 13 12 11 32 14
11 13 12 11 32 13
10 18 11 10 32 13
11 25 13 9 32 13
11 17 13 11 32 13
9 19 12 11 32 12
7 29 11 9 32 11
10 15 11 9 32 11
10 13 10 9 32 11
10 14 11 11 32 11
10 11 10 11 32 11
8 14 9 11 32 11
11 21 9 9 32 11
12 14 11 9 32 11
11 16 11 9 32 11
11 21 11 11 32 11
10 15 11 8 32 11
8 25 11 11 32 11
9 12 11 11 32 11
8 17 9 8 32 12
8 25 12 9 32 12
10 11 9 9 32 12
9 10 9 11 32 12
9 11 9 9 32 12
9 16 12 9 32 12
9 25 11 7 32 12
8 11 8 7 32 12
9 11 12 8 32 12
10 11 12 11 32 12
9 28 10 11 32 12
9 17 10 8 32 12
10 10 11 11 32 12
8 28 9 10 32 12
10 25 8 9 32 12
9 29 12 10 32 12
9 27 10 11 32 12
8 28 11 11 32 12
9 9 9 9 32 12
8 26 10 8 32 12
10 12 9 8 32 12
9 12 12 9 32 12
8 21 12 8 32 12
11 14 8 9 32 12
10 11 8 10 32 12
9 19 10 9 32 12
9 11 11 11 32 12
11 30 8 9 32 12
8 13 9 9 32 12
8 14 8 9 32 12
10 25 9 9 32 12
9 30 9 7 32 12
9 12 8 9 32 12
7 20 12 11 32 12
8 13 9 10 32 12
9 12 9 9 16 12
9 12 8 9 16 12
9 10 11 9 16 12
8 10 9 8 16 12
8 12 8 9 16 12
11 11 10 9 16 12
8 10 11 11 16 12
10 8 8 9 16 12
9 11 8 11 16 12
7 9 11 9 16 12
9 9 9 10 16 12
10 9 8 9 16 12
8 9 8 8 16 12
9 10 8 8 16 11
10 10 11 8 16 11
8 14 10 8 16 10
7 13 9 9 16 10
6 14 8 7 16 10
8 11 10 9 16 10
8 9 9 11 16 9
7 8 8 8 16 9
7 11 9 7 16 9
7 10 7 7 16 9
9 8 6 7 16 9
8 8 9 9 16 9
9 12 7 8 16 9
8 12 7 9 16 9
7 9 8 8 16 9
7 11 10 9 16 9
8 9 8 9 16 9
10 8 8 9 16 9
8 9 8 9 16 9
6 10 8 9 16 9
9 8 7 7 16 9
7 13 8 9 16 9
7 9 7 7 16 9
7 11 8 9 16 9
8 10 8 7 16 9
9 9 9 7 16 9
8 10 9 9 16 9
8 12 8 7 16 9
8 13 8 7 16 9
8 12 6 7 16 9
8 12 9 9 16 9
7 12 7 9 16 8
6 7 6 7 16 8
8 7 7 7 16 8
7 9 7 7 16 8
7 9 7 7 16 8
6 9 6 9 16 8
7 10 8 7 16 8
6 10 7 7 16 8
6 7 8 7 16 8
6 7 8 7 16 8
7 10 7 7 16 8
6 13 7 7 16 8
7 10 6 7 16 8
8 9 8 7 16 8
7 12 7 7 16 8
6 13 8 6 16 8
6 9 6 5 16 8
6 10 6 7 16 8
6 8 6 7 16 8
7 8 8 7 16 7
5 12 6 7 16 7
6 9 7 5 16 7
6 12 6 7 16 7
6 8 6 7 16 7
6 11 6 6 16 7
5 10 6 7 16 7
5 8 7 7 16 7
7 9 7 7 16 7
7 7 6 7 16 7
6 14 6 7 16 7
5 13 6 7 16 7
5 9 6 7 16 7
5 10 6 7 16 7
5 8 5 7 16 7
6 12 6 5 16 7
6 8 6 7 16 7
5 8 7 7 16 7
6 10 7 7 16 7
6 8 7 5 14 7
6 6 6 7 14 6
6 6 6 7 14 6
6 7 6 7 14 6
5 7 6 5 14 6
6 8 6 7 14 6
5 7 5 7 14 6
5 8 6 5 14 6
6 7 6 7 14 6
5 7 5 7 14 6
5 7 7 5 14 6
6 7 6 7 14 6
5 7 6 7 14 6
6 7 6 5 14 6
5 7 6 7 14 6
7 8 5 7 14 6
6 7 6 7 14 6
6 7 5 7 14 6
6 7 6 7 14 6
5 7 6 5 14 6
6 8 5 7 14 6
5 8 6 7 14 6
5 8 6 5 14 6
6 6 6 5 14 6
5 8 6 7 14 6
5 6 6 5 14 6
5 7 6 7 14 6
6 6 6 7 14 6
5 8 6 5 14 6
6 7 6 7 14 6
5 7 6 5 14 6
5 7 6 5 14 6
5 7 7 5 14 6
5 9 5 5 14 6
6 7 6 5 14 6
5 7 6 5 10 5
5 7 5 5 10 6
5 8 6 5 10 6
5 7 5 7 10 6
5 6 5 7 10 6
6 6 5 5 10 6
5 8 6 5 10 6
5 7 5 6 10 5
6 7 5 5 10 5
5 7 5 5 10 5
5 8 5 5 10 5
4 8 5 5 10 5
5 8 6 5 10 5
5 7 6 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
5 8 5 5 10 5
5 6 4 5 10 5
6 7 4 5 10 5
5 7 5 5 10 5
5 6 5 5 10 5
4 7 5 5 10 5
5 7 4 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
4 7 5 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
4 7 6 5 10 5
6 7 5 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
5 7 5 5 10 5
4 6 5 5 10 5
5 7 4 5 10 5
5 7 5 5 9 5
5 6 4 5 9 5
5 5 5 5 9 5
5 7 5 5 9 5
4 6 5 5 9 5
5 7 5 5 8 5
5 6 5 5 8 5
4 6 5 5 8 5
5 6 5 5 8 5
4 7 5 5 8 4
