RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1150 237 154 1388 14944 1208 3210
1035 234 156 1389 16045 1557 3698
1181 272 157 1300 29486 1405 15256
1028 264 158 1488 29625 1574 13207
1009 297 160 1481 22676 1563 7064
1066 264 157 1548 19958 1597 4035
1027 252 179 1457 19712 1617 3807
1171 241 161 1413 27446 1628 11047
1150 268 163 1488 34633 2079 17455
1027 241 159 1437 27192 1933 9922
1209 280 162 1497 29648 2301 11801
1100 223 164 1369 19177 2218 5994
1037 278 160 1435 14984 2371 4346
1046 350 161 1431 16740 2432 5290
1046 292 162 1472 15962 2865 4704
1057 361 182 1538 15420 2647 4102
1132 324 164 1479 19709 3271 8459
1099 278 162 1534 19134 3327 7686
1115 374 165 1496 94010 2593 75057
1056 271 166 1596 24928 2138 8525
1031 358 164 1537 21630 2565 5389
1128 257 169 1476 21197 2389 4976
1066 278 167 1494 21074 2573 4966
1066 307 168 1482 27279 2589 10749
1005 191 171 1543 95706 3134 76602
1152 204 166 1715 32549 3119 6671
1068 297 170 1583 35164 3043 10432
1220 206 170 1372 33249 3318 8280
1077 370 168 1495 31341 3255 7415
1117 323 183 1584 30669 2988 7020
1100 483 170 1552 41227 3228 16755
992 263 174 1550 32633 2828 8086
1071 263 173 1527 31062 3266 6512
1192 358 208 1554 32663 3092 7426
1005 189 199 1467 34811 3692 7858
1133 310 180 1630 33098 3808 7298
1285 295 179 1765 34621 4013 7814
1076 249 182 1556 32916 3808 7112
1090 312 183 1650 58026 4190 27442
1020 425 178 1467 33981 4843 6507
1104 278 181 1441 35091 5812 7435
1287 374 211 1643 33960 5003 6730
1150 254 190 1557 33758 5559 6434
1065 208 175 1595 34073 4555 7162
1224 461 184 1618 38076 5962 7991
1007 381 184 1577 35348 4676 6521
1245 186 181 1569 38926 6076 10646
1159 365 193 1668 39740 5533 10281
1149 381 195 1654 37751 6522 8965
1197 346 207 1668 35593 5573 6674
975 277 184 1530 34548 6553 7184
1178 304 186 1510 34088 5085 6607
1042 189 188 1670 34502 6718 7061
1061 217 183 1585 34789 4502 7335
1213 284 195 1642 36038 7735 6767
1000 350 188 1542 34995 4844 6497
1220 336 193 1664 38628 6328 6901
1128 292 187 1539 34711 5045 6644
1112 212 194 1526 34464 5421 6488
1122 215 208 1645 34934 5392 6835
1124 229 188 1585 40489 5502 12081
1095 386 192 1786 41292 5580 12398
1125 331 192 1765 36187 5415 7842
1176 332 192 1638 34892 5492 7118
1257 207 200 1676 34957 5471 6715
1150 362 192 1591 37802 5657 8840
1194 398 192 1774 35263 5567 6595
1155 211 190 1598 34237 6032 6609
941 374 233 1629 35158 5811 7462
1116 438 191 1578 34085 5779 6624
1046 296 194 1821 35061 6017 7674
1172 286 192 1781 58674 6867 30971
1256 271 241 1986 48708 6809 15497
1426 392 211 1755 43263 8555 11468
1328 229 217 1756 40747 6725 7251
1113 377 201 1941 45262 7065 14635
1010 347 211 1869 48127 7234 15740
1129 303 209 1668 43739 7544 12375
1306 364 203 1668 38516 7189 7427
1170 303 207 1700 40768 7658 7509
1053 196 203 1584 40895 7047 8519
1115 306 203 1616 39989 9318 8721
1184 365 212 1638 41491 7230 8388
1205 411 203 1880 38036 7544 7424
1338 354 204 1627 38066 7368 7450
1033 324 205 1675 39398 9266 8046
1185 342 207 1579 40327 7703 8808
1232 315 212 2033 45255 9365 9129
1057 384 235 1829 41902 7650 8198
1163 308 214 1651 53598 8746 21917
1054 241 207 1673 38383 8324 7252
1202 202 202 1620 44878 10025 12723
1110 276 202 1749 42997 10812 8187
1198 419 213 1851 43300 13253 8445
1166 413 216 2078 43604 12455 8204
1259 355 220 2136 56386 12298 19552
1187 302 210 1701 40025 11849 7644
1093 278 207 1705 42634 12097 9843
1056 322 213 1918 41696 11432 9270
1080 352 213 1739 43323 11205 9948
1105 504 280 2769 43312 12101 8627
1025 277 220 1907 41579 10783 8155
1145 310 213 1935 54831 11883 22217
1235 424 227 1670 41481 11213 7939
1160 329 220 1655 44490 11962 8472
1225 344 223 2017 42205 10892 8878
1205 256 229 1686 40375 13087 7660
1217 423 212 1737 40682 12272 8181
1119 316 209 1740 40444 11127 7893
1161 475 207 1644 39800 12469 7689
1126 437 211 1689 39562 12727 7545
1103 325 213 1640 39355 11562 7463
1071 288 212 1842 39627 12673 7808
1146 372 219 1712 44074 11396 12260
1018 294 213 1628 39849 13808 8438
1109 426 210 1859 39795 11575 7344
1136 291 210 1686 39050 19284 7172
1355 509 231 3098 120427 12439 13754
1133 257 220 2461 52075 14291 16025
3607 265 226 6578 48190 12485 8040
1264 288 223 1776 40385 13772 7632
1113 333 221 1813 40220 12493 7852
1089 302 218 1723 40257 14335 7880
1090 288 218 1722 42682 12954 9745
1128 351 232 1753 43161 14545 10326
1105 296 215 1934 40835 13131 8595
1103 321 212 1698 40285 15087 8495
1345 229 229 2123 42542 13351 8354
1289 249 219 1758 41181 15397 7750
1677 236 224 1702 43042 12990 9190
1085 258 217 1741 39868 14522 7874
1044 313 216 1706 41986 13555 10007
1100 261 218 2069 40088 13968 7604
1112 228 213 1646 39929 13670 8060
1095 232 214 1713 41333 14289 9004
1093 418 216 1732 40032 15190 8011
1041 215 218 1938 40196 14619 8045
1136 285 216 1965 39860 14158 7889
1115 282 216 1843 39722 14435 7495
1079 257 217 1894 39292 14448 7292
1110 215 217 1886 42198 14173 10067
1078 312 234 1892 43901 14790 11838
1116 270 218 1959 39672 14579 7522
1147 228 218 1729 40106 15980 7882
1134 268 214 1728 49455 14934 16392
1099 390 221 1826 42990 16483 10820
1162 305 226 2039 41094 15814 8877
1257 278 225 1978 40747 17118 8507
1050 293 227 2023 39838 16233 7654
1137 366 229 2016 39456 17358 7219
1142 252 226 1974 39559 16708 7364
1141 222 229 1964 39435 18495 7166
1085 394 232 1944 39524 17092 7250
1097 441 232 1720 39529 17462 7316
1097 369 232 2102 39270 17222 7074
1144 278 226 1715 40005 17623 7657
1245 288 227 1993 39966 17446 7429
1080 209 232 2029 42751 18101 10403
1139 342 228 2020 40023 17755 7702
1100 222 233 1998 39963 18028 7541
1068 266 235 1997 40893 16457 8240
1091 230 234 2001 44699 17615 12357
1104 255 229 2012 40136 16365 7809
1178 283 230 1946 40264 17602 7870
1071 326 230 1785 41844 17840 9064
1107 292 227 2013 40113 17760 7739
1168 352 232 1798 39576 18201 7191
1097 310 232 2036 39753 18705 7440
1102 202 237 1870 42924 19791 9454
1085 311 253 2710 62331 33205 8209
1444 346 244 3847 42936 20253 8310
1164 319 251 2049 42983 19763 8288
1124 235 241 2047 42241 17789 8052
1208 348 243 2101 42032 18590 7987
1255 313 238 2061 42211 18195 7906
1174 329 253 1852 42128 20771 8285
1272 302 239 1869 41420 18256 7819
1162 310 244 2097 41403 18670 7856
1125 344 243 2039 41609 18909 7831
1154 300 242 2056 41729 19783 7870
1083 252 244 2114 41741 19313 7815
1187 337 249 2153 42468 19290 8021
1265 298 250 2166 42490 20840 8760
1105 301 244 2107 41863 17411 7967
1197 394 244 2127 42154 17240 7904
1094 307 246 2073 42602 17638 8512
1151 363 249 2091 41875 17612 8208
1074 291 247 2048 42112 19236 8333
1156 295 246 2224 42757 18417 8702
1168 309 258 2123 43555 18384 9210
1156 348 257 1939 42479 18819 8445
1124 357 250 2188 42060 18693 7879
1154 268 255 2104 42778 19622 8481
1115 300 254 2113 42391 19092 7924
1075 313 256 2085 45836 20363 8021
1198 293 258 2152 43756 19867 8844
1124 310 259 2161 43384 20861 8184
1168 321 258 2145 42789 19412 8141
1191 390 273 2096 43331 19717 8405
1257 243 261 2217 46502 21155 11101
1302 341 258 2185 49506 20599 13172
1082 237 254 2051 43528 24210 8923
1202 365 265 2126 45935 20439 10844
1127 276 260 2138 44345 22750 8833
1142 247 262 2027 42838 28294 8186
2126 353 262 2544 93766 24450 14282
1272 412 709 3156 46731 28404 12955
1287 334 444 2366 84478 27703 17043
1390 275 304 2387 43127 21111 8666
1138 358 267 2142 45708 22515 9714
1050 524 270 2155 44639 22029 10687
1325 244 270 2138 44536 22433 8972
1060 411 266 2181 43426 20822 8796
1097 333 267 2269 43844 22636 9794
1137 325 267 2087 42760 21988 8514
1054 352 268 2132 43084 23112 8845
1183 331 267 2270 42871 26690 10639
1998 256 275 2248 45885 24936 9449
1399 231 294 2287 46644 22302 8916
1132 362 366 2205 44391 26640 9159
1227 311 295 2353 51785 22428 9345
1294 222 279 2264 44466 23906 8550
1073 285 262 2159 43604 22126 9219
1138 322 264 2238 43485 24011 8482
1140 380 266 2272 42834 22288 8778
1088 260 264 2203 45640 24201 8254
1125 275 264 2142 42232 22459 8151
