RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1571 261 159 2620 19336 178
1596 341 169 2391 16657 164
1555 299 181 2370 16594 169
1890 381 187 2734 25811 204
1838 307 164 2424 17867 179
1823 276 193 2732 17415 173
1861 232 222 2506 17570 175
1892 370 188 2662 17941 188
1876 310 185 2763 17718 185
1964 281 169 2826 17717 186
1968 225 169 2799 18620 209
1933 392 267 2829 18734 213
2235 238 233 2717 19120 202
1824 291 247 2708 18681 204
2025 362 176 2913 18894 208
1826 426 273 2604 19359 211
2155 376 221 2634 22925 237
2111 312 206 2900 20138 218
2042 351 232 2641 18628 226
2105 413 181 2817 19048 219
2107 286 281 3142 18027 217
1900 344 213 2889 18846 224
1790 302 310 3040 18129 222
2039 291 217 2974 22742 226
1892 339 176 2664 22958 230
2083 292 178 2778 22802 228
2049 348 212 3047 22860 232
1905 297 185 2733 23213 265
2011 375 306 3070 23136 270
1992 377 327 3160 23709 276
1854 436 336 2770 23660 281
1876 423 184 2683 23673 277
2061 240 350 3086 23863 252
2059 430 258 2887 23635 255
2182 375 187 2768 23716 258
2042 219 193 3013 23099 251
2048 531 189 2690 24203 251
1916 432 232 2847 23729 250
2058 232 284 3238 23021 229
1849 315 192 2761 23152 223
2062 290 189 2997 23178 231
1845 530 280 3104 23357 234
2126 363 243 2896 22517 241
2015 292 195 2999 22230 229
1931 307 192 3178 23114 236
2069 300 193 2825 31050 232
2115 278 197 3206 23395 231
2066 295 280 2963 22471 231
1946 464 334 3285 23859 234
1918 446 198 2973 23561 238
1880 259 248 3249 38296 233
1965 254 298 2801 38141 308
2253 543 252 3474 38663 240
2382 353 198 2861 38217 295
2034 398 201 3077 38680 245
1860 395 309 3248 38981 297
1930 240 311 2982 38072 306
2119 494 321 2926 41071 256
2061 486 204 3265 40167 202
2040 448 206 3052 41435 266
2239 254 208 2936 40861 201
2124 225 209 3037 40575 273
2131 408 326 2936 40633 262
1939 336 208 3091 40187 268
2067 457 207 3050 39779 265
2247 237 279 3051 40344 334
1828 555 210 3533 39857 333
2127 227 281 3431 39830 267
1902 398 210 3072 30792 271
2029 347 215 3414 40195 286
2358 587 219 3474 34040 203
2160 379 212 3279 31652 205
2350 660 282 3239 31242 203
2129 553 218 3463 41364 277
2473 601 230 3167 41919 138
2116 370 218 3330 41062 212
2094 476 214 3460 46738 141
1820 364 221 2992 47027 140
2287 458 219 3146 47647 145
2102 457 221 3106 47097 137
2528 353 221 3278 46622 136
2128 474 222 3650 46960 136
2543 485 225 3214 46915 144
2257 386 224 3120 46264 141
2227 620 226 3554 45884 138
2257 830 224 3149 45670 139
1868 627 225 3063 45171 140
2283 346 227 3163 45534 148
2178 626 231 3360 45810 146
2154 637 239 3315 45732 151
2147 505 238 3521 45236 148
2633 473 229 3192 43507 151
2311 235 240 3295 43104 151
2230 356 230 3400 42493 145
2292 341 232 3233 42028 141
2351 481 236 3341 41456 138
2122 382 233 3431 42264 151
2228 227 242 3426 40665 140
2388 227 234 3607 42798 143
2511 235 237 3263 42123 143
2183 385 234 3339 40874 141
2707 504 239 3441 40999 141
1988 457 234 3281 41271 144
2281 746 238 4019 40889 141
2403 526 233 3180 40994 143
2395 656 238 3179 41143 145
2227 364 240 3286 41540 151
2455 380 252 3463 43269 165
2396 570 355 3712 42901 151
2327 247 257 3988 43190 158
2714 377 255 3403 42905 153
2335 531 247 3424 42875 160
2469 642 252 3632 43986 178
2568 377 368 3859 43916 156
2303 368 256 3661 43856 262
2447 419 251 3626 43020 161
2595 276 251 3366 42580 160
2191 549 358 3754 41777 156
2347 414 254 3896 42036 160
2428 636 427 3775 43036 158
2369 377 245 3373 40862 152
2211 534 247 3289 41350 164
2310 290 410 3840 40807 150
2226 404 250 3501 45634 154
2144 590 249 4136 41685 146
2151 410 320 3921 41818 154
2329 382 250 3661 41659 151
2397 495 255 3722 42863 151
2338 486 251 3714 41455 148
2329 393 251 3361 41714 150
2387 267 256 3831 45684 151
2406 239 260 3372 42243 151
2326 537 247 4042 42676 151
2482 390 248 3527 41928 151
2453 267 252 3465 41605 149
2217 621 348 3979 44210 151
2271 355 254 3578 47625 155
2241 377 255 4080 42756 169
2457 384 249 3592 43830 164
2434 397 258 4213 42536 154
2411 313 256 3908 42104 150
2222 454 256 3893 42186 163
2322 386 254 4224 42173 156
2269 609 253 3895 42358 153
2362 237 256 4082 42651 151
2206 454 578 3949 42622 160
2467 489 270 3811 43422 166
2605 327 274 4257 43643 162
2464 665 274 4371 44404 165
2688 427 272 4258 42644 155
2361 412 260 3881 42528 156
2532 616 258 3456 47260 158
2158 546 265 3452 42597 160
2332 247 261 3445 42546 163
2637 297 264 3467 43590 156
2200 468 259 3985 47989 165
2366 314 487 3832 46323 157
2247 410 268 4080 43416 158
2279 469 263 3969 42985 158
2290 248 267 3531 42634 171
2194 549 261 3529 43545 156
2422 422 267 3965 42154 157
2411 620 261 3917 43727 157
2448 665 265 3914 43268 170
2251 702 267 3669 42732 158
2398 623 269 3582 43550 163
2547 303 273 4140 42427 158
