RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
6439 853 539 5928 350219 467
5354 1254 700 5542 398721 464
5882 1343 576 6197 415792 356
5236 1195 568 6257 407252 460
5668 981 605 5535 395758 467
6227 1144 809 5709 397779 393
6119 1542 611 6512 401775 425
5422 804 812 7412 382105 378
4293 757 575 5302 386495 533
6062 986 607 6244 407755 468
4433 943 673 6412 410374 434
5879 927 673 5232 410192 401
5873 1041 653 6608 379200 377
5349 1099 505 5050 405684 476
5606 957 492 5405 404205 478
5968 962 614 6933 397771 404
5530 1046 766 6210 396869 388
5449 1055 480 5273 404535 401
6046 1099 636 6765 397291 418
5593 1168 718 6676 396242 382
5267 912 575 6143 401030 467
5964 859 868 5693 406162 493
5991 797 551 6051 411179 420
4774 1026 541 5383 380783 404
5460 875 523 6004 376856 467
5463 802 556 6239 373790 406
5827 1227 678 5913 400113 427
5673 1094 516 5831 410726 445
5469 1146 734 6338 405168 366
5639 1079 520 5181 443235 454
5661 677 536 6160 414986 456
6451 1137 606 6985 406880 446
6231 1097 574 7130 509508 474
6545 1148 745 7293 407051 394
5220 753 508 6008 411344 423
6142 853 544 6991 438237 517
5996 1256 550 5516 480321 381
5895 840 575 6419 419487 495
5961 786 636 7321 446581 426
5260 986 645 6660 554466 434
6023 1076 611 5933 429001 431
5380 914 770 6342 435216 396
5337 750 652 6478 486142 400
4652 707 594 6675 431066 424
6214 793 594 6775 387697 404
4569 978 629 6007 465974 414
4547 969 957 8597 472677 440
6789 1529 755 6292 477636 443
5375 672 562 7013 479627 544
6251 945 634 6483 460931 440
5595 911 711 6812 468775 469
5428 1065 730 7168 459649 522
6053 1520 811 6782 461261 448
5095 963 554 7250 465967 540
6287 874 791 6609 470571 551
6115 781 716 6586 470233 453
5568 1008 681 6630 468670 430
5880 689 615 7145 469947 478
5441 1132 737 6990 485832 449
5851 776 809 7519 470175 526
5021 855 615 6431 476685 493
6107 977 535 6438 480127 565
6400 1089 654 6109 476436 546
5338 945 773 6894 478279 538
6136 870 698 6277 460725 447
6948 1029 603 6736 479693 531
6253 1311 563 7288 470306 422
6569 1067 759 8278 463633 533
6519 1035 571 7346 484936 563
6101 1218 670 6887 470121 471
5930 1001 651 7400 460771 447
4913 1107 788 6491 462048 491
5133 1053 911 7673 465715 492
5024 1163 741 6069 462623 489
5967 904 681 6500 466552 538
5666 1503 792 7166 476688 520
4470 1063 565 6350 458565 475
5341 852 641 5920 420776 458
5451 1002 626 6217 477099 518
5783 882 532 6083 477318 552
5795 1021 551 6794 483262 465
5609 1002 567 6941 456704 432
5906 959 708 6346 450488 529
5477 967 650 6469 459112 435
5099 986 827 6898 487894 490
5439 1009 629 6200 483452 454
4815 1399 730 6754 443962 488
4627 1289 721 6374 429367 467
5661 888 587 6232 436284 467
4904 836 745 6396 438827 543
6176 982 680 7069 464817 532
5756 1126 677 6991 457008 481
5973 879 893 6820 462665 483
5698 1041 866 6557 511538 522
6507 1104 674 7587 473333 506
5922 901 654 6528 475299 460
5168 854 770 6281 470487 478
5733 935 642 6663 467898 477
5047 1188 694 7297 470516 483
5349 673 548 6205 487299 526
5822 841 694 8571 467379 448
6073 1006 704 7093 471999 550
5896 958 792 7576 477112 480
5815 756 532 6761 464172 455
5411 1151 659 7347 463934 576
5960 763 735 7508 483870 486
6291 780 761 7112 471600 590
5352 801 740 7430 465605 478
5938 805 719 7748 470533 544
6015 950 733 7447 468604 476
5532 627 749 6016 423282 433
5293 1171 697 5913 462525 564
6177 1124 575 7146 470178 578
5859 816 732 7460 473424 486
5544 877 527 6560 456740 478
5366 843 817 7154 475985 463
4431 846 779 7280 472003 506
5395 997 699 7286 473653 472
5159 1129 641 6873 463040 565
6677 1222 620 7313 470169 508
6247 1050 652 6728 457663 503
5867 1360 692 6994 488276 501
5409 826 664 7610 469650 539
5881 1032 825 7259 460485 505
5752 944 893 7499 471141 570
6337 863 725 7852 465564 497
5775 790 587 6428 469179 695
4956 1017 703 7511 475333 512
6051 1393 810 6408 479961 527
5232 878 630 6967 470417 487
5049 1225 611 8156 466523 461
5381 1274 849 7418 465128 566
6052 1324 627 7455 462349 469
5334 1220 757 8178 464009 528
5037 1139 858 7123 480134 592
6372 859 709 7285 470649 564
6260 1350 883 6931 466619 576
6109 1149 728 7611 464384 588
6147 1292 869 7472 482963 510
6516 925 795 7743 468782 589
6258 851 652 7859 482859 548
6412 760 721 7509 481578 460
6421 846 867 7658 472912 451
5175 1061 622 6945 474407 500
4769 1258 944 8649 504291 477
5215 946 901 7052 557165 560
6481 913 725 8589 476014 497
4985 772 715 7207 484731 515
5620 881 611 6762 457062 483
5108 863 681 6471 445679 524
5793 1023 888 6986 445935 473
5474 1333 933 7695 450187 568
5448 1241 781 6946 453775 453
5011 981 609 7775 457445 496
5978 1276 614 6136 451125 540
4795 1122 826 7448 517553 511
6774 906 971 7599 470814 480
5284 930 649 6507 467099 586
6255 928 741 5731 492643 706
7342 1153 700 7064 508877 553
6232 1112 757 6095 478760 534
5417 872 679 7452 469395 583
5811 1591 597 7699 467070 466
5716 915 661 6491 470559 509
6277 1061 758 7340 470515 622
6717 771 793 7496 488362 520
6159 965 632 6635 477856 582
6424 1072 683 7688 493263 551
6176 964 772 8013 529897 514
5911 1680 570 6520 491387 408
5339 1188 733 7640 480690 448
5268 988 610 6215 488576 462
6446 1078 973 7257 494133 471
5240 929 890 7382 489519 445
5909 963 659 6912 468896 421
4490 862 750 6673 502068 409
5464 767 730 7872 529570 394
6218 1000 749 7285 498668 417
5856 1032 693 7114 512331 450
6362 690 630 7497 489490 503
5594 989 693 5924 543243 492
6100 1244 971 6518 475614 533
5850 801 779 8523 549168 590
6514 1519 862 7413 509296 585
7220 1175 792 10062 507770 559
6851 1117 681 7745 496342 559
6182 810 718 7486 484341 527
6593 1310 660 7231 511427 579
6157 1122 718 8037 504655 560
6378 1439 662 7113 617733 490
5045 794 770 7564 524755 518
5136 1286 851 7387 524271 644
6988 998 693 7877 513741 646
6457 1240 968 7135 527492 587
6538 1447 873 6365 530441 614
6362 1146 705 6610 534677 496
5498 1434 707 7251 535436 501
5691 1103 880 6873 528023 512
6075 905 687 8410 515718 549
6113 1169 742 7535 509799 626
6118 1050 1044 8627 534003 621
6574 1046 728 8063 526304 560
6806 1112 820 7514 538269 645
5031 887 711 6238 528710 499
5230 1299 892 8071 466965 532
4967 1054 641 8288 511013 546
5615 913 808 7038 486122 490
5081 808 672 6816 493304 547
5909 716 763 8405 531763 602
6932 971 770 6728 521934 651
6685 888 782 7029 527449 619
7109 990 959 7483 528414 570
6517 1033 886 8603 516076 493
5920 1027 977 7896 542726 523
5799 1174 648 7748 555792 651
5478 1207 959 7339 525051 561
6810 1153 1011 8814 545092 635
6639 1095 784 7277 515860 570
5792 1161 808 7451 520581 594
7791 1459 768 7202 529885 624
6586 1034 775 7644 528948 536
4996 710 938 8128 564678 537
5883 1375 713 7159 580753 503
5978 1118 789 7142 523775 551
6172 995 769 6922 549820 656
5564 981 1078 9068 528898 652
6695 1146 1058 7246 618222 699
6814 933 730 7886 524311 522
4716 913 795 7626 519408 563
7191 895 957 8129 523691 523
6177 1012 910 8358 556199 537
6060 1097 974 7970 526292 617
5302 950 747 6537 529917 584
5889 1197 923 5892 529590 532
6009 696 789 5851 527628 630
5035 733 677 6155 520979 509
5589 991 876 8184 606162 744
5512 1019 726 7024 564582 820
6173 894 766 8139 566667 847
5645 1082 673 7103 564607 785
7080 1282 1020 7643 567443 678
6366 957 771 8453 561755 763
6444 916 983 6838 599233 778
6245 1071 982 7310 580755 849
6069 826 931 6156 573148 811
7120 1476 934 8696 548955 792
7219 1038 749 7210 589660 699
6587 1233 979 8251 557534 687
6781 1276 706 8061 550900 696
6191 998 754 7359 693772 3132
12072 750 1291 24185 622736 667
6629 1058 807 7300 606522 732
6790 798 959 8509 573248 697
5673 1024 624 7434 639538 654
6597 1196 1065 9123 573086 650
5569 804 758 6954 575071 819
6625 1018 817 6250 578987 711
5827 795 1034 8528 542945 717
6141 806 678 7453 530260 667
5439 953 713 6518 535142 654
5963 1204 722 6149 558045 831
6779 1222 742 7594 675675 657
5654 688 663 6667 605385 675
6183 1374 768 8396 610325 741
5769 1270 662 8522 594810 661
4895 897 967 6997 685037 726
5859 1051 824 7347 616939 770
6214 962 845 6808 609526 826
6059 748 867 6588 605518 818
6461 920 1040 8433 609300 862
6804 1187 851 7047 604827 708
6022 1180 813 7828 608385 806
7522 1000 793 8735 603305 768
6633 1529 801 8144 630592 765
6130 1084 792 7579 594029 785
7070 1037 799 8646 615033 722
6080 776 815 7912 600822 766
7106 1554 826 7819 607408 651
5925 901 696 7357 605380 988
8043 1398 954 8345 599472 682
6228 1159 749 7303 592432 806
6262 811 847 7242 627199 778
6475 1882 798 7285 639199 813
6837 967 1179 8042 600242 969
8583 955 798 7800 648033 673
5642 855 671 7368 594267 666
6332 849 668 7699 664324 828
5945 965 808 7639 654137 801
6460 856 704 7514 670687 706
6670 1027 839 8130 664613 677
6384 850 785 8158 639957 784
7067 1395 1206 7004 634925 685
6245 1139 714 8556 653784 842
6596 1372 829 8224 635300 764
7185 1141 735 7320 639449 737
6534 1114 833 7500 641922 715
5780 984 727 8293 647269 805
6787 983 1006 6524 660944 804
6212 1431 687 10305 640519 752
