RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1136 300 185 1838 18593 169 8321
1371 510 193 2583 22349 114 8483
1491 278 187 4511 18761 118 5332
1159 311 183 1836 18444 120 5418
1165 303 184 1780 18592 119 5757
1143 302 181 1851 18233 128 5757
1182 275 176 1826 18290 115 6491
1402 299 185 1854 18897 115 6300
1393 285 185 1937 19637 118 6716
1423 266 185 1855 19520 115 6835
1151 304 186 1894 19714 114 7116
1193 307 192 1921 21078 118 11212
1245 314 198 1929 21425 116 7491
1207 290 184 1914 20925 130 7534
1458 267 182 1893 20995 117 8325
1332 290 186 2041 22298 132 8053
1540 250 185 1897 21911 126 8030
1431 267 190 1912 21422 125 8265
1187 308 196 1895 21591 112 8471
1351 282 181 1916 22199 119 8811
1477 347 203 1993 23094 119 9016
1415 337 190 1951 23617 124 9515
1257 338 188 4430 28483 117 9280
1403 341 193 1915 23045 117 9291
1431 279 186 1952 23378 115 9594
1620 331 189 1962 23764 119 9756
1474 267 183 1929 23594 126 9826
1390 296 188 1898 24292 117 10137
1449 321 192 1659 24533 110 10119
1362 338 185 1893 24753 119 10449
1390 297 196 2097 25034 125 10917
1311 298 190 1748 26304 115 10685
1229 236 201 1915 26191 115 10860
1336 279 185 1892 26278 134 13696
1344 278 196 2019 26316 115 10995
1204 279 186 1912 25513 116 11178
1179 354 189 1901 25849 111 11126
1324 290 190 1620 25735 113 11203
1159 269 188 1948 26782 121 12221
1285 289 192 1955 29207 117 12534
1161 239 186 1850 27209 113 11638
1125 249 183 1870 25927 113 11516
1198 220 183 1626 26492 109 11639
1139 303 187 1606 26269 112 11593
1051 295 188 1532 26749 108 11840
1272 321 185 1614 27464 113 12250
1230 264 183 1707 27422 111 12190
1165 335 197 1572 27880 111 12075
1175 348 187 1599 28032 111 12290
1172 212 185 1699 27956 114 12478
1257 357 183 1609 28280 115 13673
1219 385 198 1726 31132 112 13418
1082 336 196 1696 29805 109 13137
1184 214 188 1676 29444 110 13054
1082 216 185 1601 29326 108 13030
1465 350 185 1557 29634 122 13596
1301 278 196 2035 37834 119 15752
1147 257 195 1874 32050 118 14463
1413 212 215 1687 41449 121 16554
1405 295 200 1737 35234 123 16202
1201 245 200 1752 35374 121 15157
1556 233 209 1753 35519 120 15679
1705 287 207 1890 36562 122 18934
1747 227 226 1731 36534 124 16682
2263 363 318 2669 37869 122 15636
1874 619 193 2015 38564 193 21113
3581 369 386 1831 51235 191 22364
1532 478 356 2169 40836 118 16440
1161 198 194 1676 36701 126 16844
1648 222 202 2042 41654 126 19701
1495 232 202 1995 41491 192 21474
1943 314 206 1834 39928 119 16447
1141 210 223 1795 37536 124 16606
1635 300 207 1784 46423 129 17958
1754 240 224 2090 45694 125 21205
1574 224 219 1947 41540 123 17219
1590 193 204 1785 41034 124 17204
1594 381 205 1737 40526 114 16533
1310 280 200 1629 41264 116 16511
1507 212 205 1644 38468 116 16147
1409 239 205 1784 38539 113 16233
1395 278 195 1695 38592 143 16851
1526 211 212 1732 40326 116 16862
1241 290 204 1602 39493 113 16414
1273 268 195 1747 39618 113 16535
1135 180 207 1873 40287 115 17415
1192 198 197 1593 41150 114 16839
1356 382 203 1632 40400 114 16703
1297 295 196 1659 40711 112 16756
1184 195 193 1842 40921 110 16830
1129 211 200 1779 41219 112 16950
1183 178 199 1631 41261 112 16660
1129 188 196 1623 41677 112 16842
1144 483 197 1598 41715 112 16919
1206 192 203 1570 42334 118 17055
1199 205 201 1747 43089 114 17649
1196 209 201 1713 42641 120 16963
1233 290 203 1595 44174 117 17320
1228 386 202 1730 43122 112 16932
1206 378 200 1782 42924 114 16882
1083 287 203 1740 43159 114 16903
1152 299 206 1876 43813 112 16893
1079 287 202 1737 44590 113 16791
1153 170 201 1738 46726 126 18750
1253 187 223 1851 51527 119 18276
1342 297 201 1873 46709 116 17103
1102 183 203 1921 45147 119 16787
1164 185 202 1865 44705 114 16514
1158 182 201 1810 44693 119 17029
1144 190 203 1741 46168 121 17308
1208 185 206 1916 45686 118 16916
1170 192 201 1814 59215 174 18592
1253 192 217 2052 49383 121 17626
1187 190 207 1803 48879 122 17764
1203 398 205 1900 48287 125 17382
1096 300 210 1849 46750 140 17919
1301 193 221 1907 47369 123 16441
1376 295 244 2029 46952 130 16977
1269 186 214 1925 50283 129 18631
1479 208 247 1864 75063 123 17896
1320 196 213 1973 50126 127 17583
1302 316 222 2336 51145 127 17053
1252 190 218 1973 50980 126 16594
1229 195 219 1936 49306 128 16238
1331 194 225 1898 52263 129 17684
1386 225 267 2376 50552 121 17361
1250 183 224 1811 48951 129 16911
1241 191 218 1993 53430 123 15779
1252 183 212 1895 46399 123 15169
1324 190 223 1880 45312 120 14329
1267 186 216 1817 44436 149 16300
1322 180 212 1817 45257 128 14249
1190 188 210 1817 44723 130 14064
1249 195 231 1935 47217 327 14571
1208 189 218 2015 48941 123 13565
1170 196 214 1893 43882 122 13045
1204 324 213 1911 44714 123 13640
1186 187 220 1957 49594 155 16184
1258 199 216 1815 44856 124 12929
1248 315 216 1911 42803 124 12207
1197 184 213 1933 42774 130 12310
1224 193 224 1910 41858 120 11215
1183 183 214 1838 40839 121 11300
1180 193 222 1851 41330 121 10829
1280 188 224 1846 41690 125 11104
1224 214 224 1903 41612 123 10466
1222 189 226 1944 43605 124 11330
1207 204 220 1878 40677 121 9691
1252 184 225 1845 40183 123 9631
1191 191 228 1874 39305 125 9060
1221 193 228 1877 40497 123 9017
1183 185 221 1907 38787 124 8635
1207 198 220 1876 38808 123 8575
1185 184 224 1922 41841 134 9773
1270 202 240 2005 41395 126 9290
1190 185 221 1880 39210 125 8729
1185 198 226 1883 39065 125 8996
1199 185 225 1870 38838 124 8785
1188 184 223 1873 38908 131 8683
1191 196 235 1886 39442 133 9577
1239 187 231 1947 46123 143 11514
1405 202 356 3034 47862 147 10506
1283 198 231 1952 44157 149 11126
1389 232 324 2634 45983 143 10940
1277 196 260 2026 45440 140 11774
1234 204 244 1994 42634 143 9693
1206 191 232 1961 40713 150 10049
1243 200 245 1996 43342 141 10142
1289 194 251 2020 42338 137 10035
1250 199 248 1944 41493 139 10227
1237 321 234 1908 40326 135 9432
1204 184 238 1908 39712 146 10117
1221 192 242 1962 49045 149 13511
1286 194 246 2049 42033 140 10226
1340 206 236 1949 40453 137 9430
1200 206 276 2230 40464 141 9566
1286 187 235 1927 39678 134 9205
1248 188 313 2012 41469 140 9821
1222 219 245 1928 39878 138 9343
1188 187 241 1912 39768 135 9231
1184 186 240 1910 41112 143 9736
1237 193 256 1995 39703 143 9291
1204 188 244 1949 39776 152 9349
1293 194 265 2070 39805 143 9345
1216 187 252 1963 40188 143 9561
1239 186 271 2002 40940 165 10493
1252 201 269 1945 43880 166 10444
1453 222 332 2249 44472 152 11181
1301 223 279 2265 48814 168 12190
1247 227 443 2740 47147 171 10293
1202 188 257 2122 42384 151 10063
1269 190 257 2010 41496 149 9610
1192 208 256 2024 41287 149 9750
1248 191 268 1953 41355 156 9558
1206 182 258 1955 41722 169 10665
1619 196 291 2145 42416 149 10411
1245 188 256 1967 43276 156 11022
1218 186 254 1988 42318 151 9912
1234 188 265 1986 43445 157 10248
1216 183 276 1971 41234 165 9359
1176 197 257 1957 40665 153 9338
1176 201 268 1960 40673 148 9255
1241 180 260 1976 40768 149 9251
