RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
6130 999 512 6036 224827 398
5417 900 584 6001 217293 403
5948 1383 549 6107 209472 420
5648 675 578 5708 211357 426
5781 840 735 6687 207839 470
6222 885 621 6737 194654 412
5931 1008 543 6545 197171 385
5427 821 573 6801 201779 402
5142 862 569 5343 206120 413
5656 861 528 5810 199104 401
5074 823 517 6867 212884 421
7084 964 656 7238 214064 373
5895 1314 850 6494 215344 409
5667 828 540 6324 219012 457
6178 1305 546 6272 203146 486
5249 1192 729 7346 206556 404
6237 1391 654 6427 207637 429
5956 1106 562 6307 207041 490
5360 1046 520 4963 206626 369
5300 769 707 5595 203231 410
5768 1014 652 6213 204757 420
5732 779 583 6692 205612 481
4844 1183 590 6105 200506 416
6053 1106 610 7120 202089 463
5892 984 603 6331 214258 555
6435 1018 614 6941 206925 452
5663 1216 619 5768 203998 476
4806 1054 603 7485 213772 367
5158 737 576 6435 200136 473
5608 1212 520 4978 193018 399
5839 711 534 5352 195413 467
5636 1107 544 7040 192720 411
5807 960 553 6756 209851 487
5888 1028 734 6841 215288 485
6238 1279 825 5358 207772 409
5821 629 488 4956 261939 495
6047 993 590 7212 209963 477
6480 1307 636 5931 195996 445
5300 1237 701 6578 210622 432
5664 793 523 6740 205345 494
6181 1025 526 7355 204008 425
6322 1152 702 6561 330601 483
5972 848 667 6215 205487 519
6186 1213 506 7760 314502 487
5969 1210 625 7133 216549 527
6763 1033 598 5419 212426 487
6162 986 652 6372 239217 418
5432 1162 536 6311 270683 480
4998 793 653 6764 212518 517
6768 1026 549 6338 249244 422
4411 833 497 8148 345613 429
5464 1213 712 6174 214348 386
5703 1138 730 6824 217693 483
6448 1245 821 7094 268620 446
5793 839 661 5596 225116 410
6026 1014 682 6454 224513 415
6251 834 713 7136 217487 517
5716 1661 678 7163 251843 454
6103 1046 635 6653 254407 539
5367 969 567 7326 244038 493
6463 1193 566 7336 246060 449
5876 879 628 6226 241991 517
5978 648 556 6148 243515 554
5932 925 925 6517 237334 536
5887 998 517 6476 234454 545
6308 1146 894 6527 239095 529
6399 1131 770 7427 235101 533
5969 1142 632 6650 233712 530
5795 1286 645 7786 255825 516
