RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1305 358 180 1508 24720 137
1202 324 215 1526 27693 143
1310 363 195 1668 42716 201
2401 755 254 3343 34914 132
1449 466 218 1803 43816 135
1283 393 191 1711 32638 124
1259 278 232 1696 36031 138
1331 252 234 1746 35618 120
1284 311 218 1953 33771 125
1290 391 220 1790 40410 136
1189 286 204 1478 33436 126
1290 340 241 1498 30791 122
1315 261 289 1518 32549 124
1320 291 205 1681 35746 141
1059 365 242 1713 41159 170
1750 393 276 2190 32209 112
1208 351 196 1788 32608 117
1061 336 219 1839 35146 148
1265 284 205 1627 32353 141
1493 438 249 1689 33773 130
1332 356 234 1838 36119 124
1281 393 238 1709 36447 123
1192 535 225 1628 35057 121
1305 308 180 1548 37658 114
1111 307 230 1631 36876 136
1277 284 187 1768 40425 126
1302 361 214 1876 41869 123
1230 444 178 1498 39533 114
1285 234 176 1746 38881 106
1467 277 190 1520 37664 101
1093 360 230 1717 39201 119
1235 379 257 1827 38491 107
1009 232 220 1614 36264 114
1010 262 192 1566 41475 111
1049 351 292 1556 42637 112
1215 575 275 2150 44557 136
1245 321 191 1835 41092 123
1315 249 210 1718 44610 117
1039 371 200 1643 47216 116
1233 300 187 1567 41679 135
1074 366 292 1877 45634 134
1367 412 215 2027 42212 138
1229 388 224 1681 43058 118
1211 521 225 1892 42958 123
1236 419 308 1956 39580 130
1415 339 276 1801 43715 122
1426 299 205 1811 43222 116
1329 409 223 1816 43170 146
1423 439 264 2000 40165 129
1008 242 191 1765 38477 129
1095 206 212 2086 43651 164
1323 261 218 1776 45286 154
1155 291 204 1974 45213 121
1207 325 253 1976 40667 124
1429 315 198 1865 39875 105
1079 335 192 1722 41499 138
1226 327 324 2046 41883 146
1163 274 194 1925 43049 121
1239 431 257 1947 45530 127
1157 365 184 1565 44179 136
1097 375 288 1948 42421 120
1043 424 184 1725 43957 144
1223 234 205 1681 40399 141
1224 378 224 1833 40117 127
1097 380 213 1747 39592 128
1197 323 202 1704 39181 128
1317 278 220 1737 40525 136
1315 342 255 1782 40561 130
1121 254 214 1819 40405 125
1153 247 212 1704 40153 115
1235 264 198 1666 40643 130
1185 349 219 1837 43415 127
1156 376 263 1782 45223 144
1390 283 276 1964 43389 127
1412 316 221 1932 42784 131
1226 469 192 1862 39734 115
992 322 227 1657 39022 123
1104 412 213 1733 41358 126
1252 414 210 1870 39854 123
1287 350 245 1882 41566 122
1277 259 212 1934 39643 121
1146 302 215 1740 39354 122
1183 233 277 1740 39577 131
1214 277 197 1794 40540 127
1283 452 214 1823 40261 127
1388 287 241 1914 40793 127
1396 341 266 1745 39144 129
1131 357 235 1795 41125 126
1052 332 212 1820 40609 144
1078 351 230 1755 40479 134
1240 348 225 1800 40408 138
1222 237 212 1797 40130 127
1087 287 204 1880 40116 141
1240 299 220 1802 41049 149
1158 318 236 2159 43383 154
1245 344 281 2240 49609 162
1448 336 264 1754 51105 147
1080 356 279 2141 45283 175
1325 544 220 1808 41957 139
1138 373 223 1766 42608 144
1143 438 275 2316 48646 140
1053 371 232 1841 39880 139
1266 251 217 1992 44313 171
1833 355 216 2018 43549 193
1207 320 243 1762 40984 187
1266 314 254 1746 40915 203
1319 289 237 2041 43072 181
1204 288 254 2011 40869 159
1255 302 312 1626 40973 167
1075 327 258 1601 40209 182
1159 292 364 1955 40808 190
1173 328 328 1843 41002 177
1276 296 241 1793 44064 187
1258 243 249 1823 40365 174
1182 349 212 1711 41051 175
1097 354 245 1858 43615 190
1451 297 257 1872 41177 201
1386 298 329 2082 42079 198
1241 304 232 2138 41860 188
1475 248 313 1886 39785 179
1340 327 224 1815 40728 177
1256 390 277 2269 47501 235
1415 378 249 2072 42518 196
1297 448 264 2183 41805 185
1356 284 231 1795 40948 187
1265 258 273 1724 38837 189
1210 379 254 2053 42757 208
1470 313 250 2057 41643 197
1352 237 361 1853 40267 214
1376 309 332 1944 40968 191
1151 306 210 1814 40081 189
1218 334 245 1905 43142 211
1354 254 335 1953 43979 203
1382 317 258 2267 45807 244
1545 416 278 2301 41159 178
1296 315 228 1797 41736 211
1168 315 229 2127 40863 194
1443 308 243 1914 42416 212
1358 371 344 1915 40897 182
1218 400 284 1969 45622 196
