FastMIS KBoundedMIS GreedyMIS
69 77 75
69 77 75
69 77 75
69 77 75
69 77 75
69 77 75
68 76 75
68 77 75
68 76 75
68 77 75
68 76 75
68 77 75
68 76 75
68 77 75
68 76 75
68 77 75
68 77 75
68 77 75
68 77 75
68 77 75
68 77 75
67 76 75
67 76 75
67 77 75
67 76 75
67 77 75
67 76 75
67 77 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 76 75
67 75 75
67 75 75
67 75 75
67 75 75
67 75 75
67 75 75
67 74 75
67 74 75
67 74 75
66 74 75
66 74 75
65 74 75
65 74 75
64 74 75
64 74 75
63 74 75
63 74 75
63 74 75
63 74 75
62 74 75
62 74 75
61 74 75
61 74 75
60 74 75
60 74 75
60 74 75
59 74 75
59 74 75
58 74 75
58 74 75
58 74 75
58 74 75
58 74 75
58 74 75
58 74 75
58 74 75
57 74 75
57 74 75
56 73 75
55 73 75
55 73 75
54 73 75
54 73 75
54 73 75
53 73 75
52 73 75
52 73 75
51 73 75
51 73 75
50 73 75
49 73 75
49 73 75
49 73 75
48 73 75
48 73 75
47 73 75
47 73 75
46 73 75
46 73 75
45 73 75
45 73 75
44 73 75
44 73 75
43 73 75
43 73 75
42 73 75
42 73 75
42 73 75
42 73 75
41 73 75
41 73 75
40 73 75
40 73 75
39 73 75
39 73 75
38 73 75
38 73 75
38 73 75
37 73 75
37 73 75
36 73 75
36 73 75
36 73 75
35 73 75
35 73 75
34 73 75
33 73 75
33 73 75
32 73 75
32 73 75
32 73 75
31 73 75
31 73 75
31 73 75
30 72 75
30 73 75
29 73 75
29 73 75
29 73 75
28 73 75
27 73 75
27 73 75
26 73 75
26 73 75
25 73 75
25 73 75
25 73 75
24 73 75
24 73 75
24 73 75
23 73 75
23 73 75
23 73 75
23 73 75
23 73 75
22 73 75
22 73 75
21 74 75
20 74 75
20 74 75
19 74 75
19 74 75
18 74 75
18 74 75
17 74 75
17 75 75
17 75 75
16 75 75
15 75 75
15 75 75
14 75 75
14 75 75
13 75 75
13 75 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
12 76 75
