FastMIS KBoundedMIS GreedyMIS
193 226 207
193 226 207
193 226 207
193 226 207
193 226 207
192 227 207
192 228 207
192 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 229 207
191 230 207
190 230 207
190 230 207
190 230 207
190 230 207
190 230 207
190 230 207
190 229 207
189 231 207
189 231 207
189 232 207
189 233 207
189 234 207
189 234 207
189 235 207
189 235 207
189 235 207
188 235 207
187 235 207
187 236 207
187 236 207
187 236 207
187 236 207
186 237 207
186 236 207
186 236 207
186 236 207
186 236 207
186 238 207
186 238 207
186 238 207
185 238 207
185 239 207
185 239 207
184 240 207
184 240 207
183 240 207
183 240 207
183 240 207
182 241 207
182 241 207
182 241 207
182 241 207
182 241 207
182 241 207
182 241 207
182 241 207
182 243 207
182 243 207
182 243 207
182 243 207
182 243 207
182 244 207
182 243 207
182 243 207
181 243 207
181 243 207
181 244 207
181 244 207
181 245 207
181 245 207
181 245 207
181 245 207
181 245 207
181 245 207
181 245 207
181 246 207
181 246 207
181 246 207
181 246 207
181 246 207
181 246 207
181 246 207
181 247 207
181 248 207
181 248 207
181 248 207
181 248 207
181 248 207
181 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 248 207
180 249 207
180 249 207
180 249 207
180 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
179 249 207
178 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
177 249 207
176 249 207
176 249 207
176 249 207
176 250 207
176 250 207
176 250 207
176 251 207
176 251 207
176 251 207
175 251 207
175 251 207
174 251 207
174 251 207
174 252 207
174 252 207
174 252 207
174 252 207
174 252 207
173 253 207
173 253 207
173 253 207
173 253 207
173 253 207
173 253 207
172 253 207
172 253 207
172 253 207
172 253 207
172 253 207
171 253 207
171 253 207
171 254 207
171 254 207
171 256 207
171 256 207
171 256 207
171 256 207
171 256 207
171 256 207
171 256 207
171 256 207
171 255 207
170 256 207
170 256 207
170 256 207
170 256 207
170 256 207
169 257 207
169 258 207
169 258 207
169 259 207
169 259 207
168 260 207
168 260 207
168 260 207
168 260 207
168 260 207
167 261 207
167 262 207
166 262 207
165 262 207
165 263 207
164 263 207
164 263 207
164 263 207
164 263 207
164 264 207
164 264 207
164 266 207
164 266 207
164 266 207
164 266 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 267 207
164 268 207
164 268 207
164 268 207
164 268 207
164 269 207
164 270 207
163 270 207
163 270 207
163 270 207
163 270 207
163 270 207
163 270 207
163 270 207
162 270 207
161 270 207
161 270 207
161 270 207
161 271 207
161 272 207
161 272 207
161 272 207
161 272 207
161 272 207
160 273 207
160 273 207
160 273 207
160 273 207
160 273 207
160 274 207
159 274 207
158 274 207
157 274 207
156 274 207
155 274 207
155 274 207
155 274 207
155 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
154 274 207
153 276 207
153 276 207
152 277 207
152 278 207
152 279 207
152 279 207
152 279 207
151 280 207
151 280 207
151 281 207
151 280 207
151 281 207
151 280 207
150 280 207
150 281 207
150 281 207
150 281 207
150 281 207
150 281 207
150 282 207
150 281 207
150 282 207
150 282 207
150 282 207
150 282 207
150 282 207
150 281 207
150 281 207
150 281 207
150 281 207
150 281 207
150 281 207
150 281 207
150 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 281 207
149 283 207
149 283 207
149 283 207
149 283 207
149 283 207
149 284 207
149 284 207
149 284 207
149 284 207
148 285 207
148 285 207
147 286 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 287 207
146 288 207
146 288 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
146 289 207
145 289 207
145 289 207
145 289 207
145 289 207
145 289 207
145 289 207
145 289 207
145 289 207
145 289 207
144 289 207
