FastMIS KBoundedMIS GreedyMIS
67 77 77
66 77 77
66 77 77
66 78 77
65 78 77
65 79 77
64 79 77
64 80 77
64 80 77
64 81 77
64 81 77
64 82 77
64 82 77
64 83 77
64 83 77
64 84 77
64 84 77
64 85 77
64 85 77
63 86 77
63 86 77
63 87 77
63 87 77
62 88 77
62 88 77
62 89 77
62 89 77
62 90 77
62 90 77
62 91 77
62 91 77
62 92 77
62 92 77
61 93 77
61 93 77
61 94 77
61 94 77
61 95 77
61 95 77
61 96 77
61 96 77
61 97 77
61 97 77
61 98 77
61 98 77
60 99 77
60 99 77
60 100 77
60 100 77
60 101 77
60 101 77
60 102 77
60 102 77
60 103 77
60 103 77
60 104 77
59 104 77
59 105 77
59 105 77
59 106 77
59 106 77
59 107 77
59 107 77
59 108 77
59 108 77
58 109 77
58 109 77
58 110 77
58 110 77
58 111 77
58 111 77
58 112 77
58 112 77
58 113 77
58 113 77
58 114 77
58 114 77
58 115 77
57 115 77
57 116 77
57 116 77
57 117 77
57 117 77
57 118 77
57 118 77
57 119 77
57 119 77
56 120 77
56 120 77
56 121 77
56 121 77
55 122 77
55 122 77
55 123 77
55 123 77
55 124 77
55 124 77
55 125 77
54 125 77
54 126 77
54 126 77
54 127 77
54 127 77
54 128 77
54 128 77
54 129 77
54 129 77
54 130 77
54 130 77
54 131 77
54 131 77
53 132 77
53 132 77
53 133 77
53 133 77
53 134 77
53 134 77
53 135 77
53 135 77
53 136 77
52 136 77
52 137 77
52 137 77
52 138 77
52 138 77
52 139 77
52 139 77
52 140 77
52 140 77
52 141 77
52 141 77
52 142 77
52 142 77
52 143 77
52 143 77
52 144 77
51 144 77
51 145 77
50 145 77
50 146 77
50 146 77
50 147 77
49 147 77
49 148 77
48 148 77
48 149 77
48 149 77
48 150 77
48 150 77
48 151 77
48 151 77
48 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 151 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
47 152 77
