FastMIS KBoundedMIS GreedyMIS
193 210 207
193 210 207
193 209 207
193 210 207
193 209 207
192 210 207
192 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
191 210 207
190 210 207
190 210 207
190 210 207
190 210 207
190 210 207
190 210 207
190 210 207
190 211 207
190 210 207
190 210 207
190 210 207
190 210 207
190 210 207
190 210 207
189 210 207
189 210 207
189 210 207
189 210 207
189 210 207
189 210 207
189 209 207
189 209 207
189 209 207
188 209 207
188 210 207
188 210 207
188 210 207
188 210 207
188 210 207
188 210 207
188 210 207
188 210 207
188 210 207
187 210 207
187 209 207
186 209 207
185 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 208 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
184 209 207
183 209 207
183 209 207
183 209 207
183 209 207
183 209 207
183 209 207
183 210 207
183 211 207
183 211 207
183 211 207
183 211 207
183 211 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
182 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
181 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 210 207
180 209 207
180 209 207
180 209 207
180 209 207
180 210 207
179 210 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
179 209 207
178 209 207
178 208 207
177 209 207
177 209 207
177 209 207
177 210 207
177 210 207
177 210 207
177 210 207
177 210 207
177 210 207
177 210 207
177 210 207
177 210 207
176 210 207
175 210 207
175 211 207
175 211 207
175 211 207
175 211 207
175 210 207
175 210 207
175 211 207
175 210 207
174 210 207
174 209 207
174 209 207
173 209 207
173 208 207
173 208 207
173 208 207
172 208 207
171 209 207
171 209 207
171 209 207
171 209 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
171 210 207
170 209 207
170 208 207
170 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 209 207
169 209 207
169 209 207
169 208 207
169 208 207
169 208 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 207 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
169 208 207
168 208 207
168 208 207
168 208 207
168 209 207
168 209 207
168 209 207
168 209 207
167 209 207
167 209 207
167 209 207
167 209 207
167 209 207
166 208 207
166 208 207
166 208 207
166 208 207
166 209 207
166 208 207
166 209 207
166 208 207
165 209 207
164 209 207
163 210 207
163 210 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 210 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 209 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
163 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 208 207
162 209 207
162 209 207
162 209 207
162 209 207
162 209 207
162 209 207
162 209 207
161 209 207
161 210 207
161 210 207
161 210 207
161 210 207
161 210 207
160 210 207
160 210 207
160 210 207
160 210 207
160 210 207
160 210 207
160 210 207
159 209 207
159 209 207
159 209 207
159 209 207
159 209 207
159 208 207
159 208 207
158 207 207
157 207 207
157 208 207
156 207 207
156 207 207
155 207 207
155 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 206 207
154 206 207
154 206 207
154 206 207
154 207 207
154 206 207
154 206 207
154 206 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
154 207 207
153 207 207
153 207 207
153 207 207
153 207 207
153 207 207
153 207 207
153 207 207
152 207 207
152 207 207
152 207 207
152 207 207
152 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 207 207
151 206 207
151 207 207
151 206 207
151 207 207
151 206 207
151 207 207
151 207 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
151 206 207
150 206 207
150 206 207
149 206 207
149 206 207
149 206 207
149 206 207
149 206 207
149 206 207
149 205 207
149 206 207
149 206 207
149 206 207
149 205 207
148 206 207
148 206 207
147 205 207
147 205 207
147 205 207
146 205 207
146 205 207
146 204 207
146 205 207
146 205 207
146 205 207
146 205 207
146 205 207
146 205 207
146 205 207
145 205 207
145 205 207
145 205 207
145 205 207
145 205 207
144 205 207
144 205 207
144 205 207
144 205 207
144 206 207
144 206 207
144 206 207
144 206 207
143 206 207
143 206 207
143 205 207
143 205 207
143 206 207
143 206 207
143 206 207
143 206 207
143 205 207
143 205 207
143 205 207
143 205 207
143 205 207
142 204 207
141 204 207
141 205 207
141 205 207
141 205 207
141 205 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 207 207
141 206 207
141 206 207
141 206 207
141 206 207
141 206 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 208 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
141 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
140 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 206 207
139 207 207
139 207 207
139 207 207
139 207 207
139 207 207
139 206 207
139 206 207
139 206 207
139 206 207
139 206 207
139 206 207
139 205 207
139 206 207
139 206 207
139 206 207
138 206 207
138 206 207
138 206 207
138 206 207
138 205 207
138 205 207
138 206 207
137 206 207
137 206 207
137 206 207
137 206 207
136 207 207
136 207 207
136 207 207
136 207 207
136 207 207
136 207 207
136 207 207
136 206 207
136 206 207
135 207 207
134 207 207
134 208 207
134 208 207
134 208 207
133 208 207
133 208 207
133 208 207
133 208 207
132 208 207
132 208 207
132 209 207
132 209 207
131 209 207
131 208 207
130 208 207
130 208 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 208 207
130 208 207
130 208 207
130 208 207
130 208 207
130 208 207
130 208 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 209 207
130 208 207
130 209 207
130 209 207
130 209 207
130 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
129 209 207
128 209 207
128 209 207
128 209 207
128 209 207
128 209 207
127 209 207
127 209 207
127 209 207
126 208 207
125 208 207
125 209 207
124 208 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 209 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
124 208 207
123 208 207
123 208 207
123 208 207
123 208 207
123 207 207
123 208 207
123 207 207
123 207 207
123 207 207
122 207 207
122 208 207
122 209 207
121 209 207
121 209 207
121 208 207
121 208 207
121 208 207
121 208 207
121 208 207
121 208 207
121 208 207
121 208 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
121 206 207
120 206 207
120 206 207
120 206 207
120 206 207
120 206 207
120 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
119 206 207
118 206 207
118 206 207
118 206 207
118 205 207
118 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 205 207
117 206 207
117 206 207
116 206 207
