FastMIS KBoundedMIS GreedyMIS
60 69 59
60 69 59
60 69 59
60 70 59
60 70 59
60 70 59
59 70 59
58 70 59
57 71 59
57 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 71 59
56 70 59
56 70 59
55 70 59
55 70 59
55 71 59
55 71 59
55 71 59
55 71 59
55 71 59
55 71 59
55 72 59
54 72 59
53 72 59
53 72 59
53 73 59
53 73 59
53 73 59
53 74 59
53 74 59
53 74 59
52 75 59
52 75 59
52 75 59
52 75 59
52 75 59
52 75 59
52 75 59
52 75 59
52 75 59
51 75 59
51 75 59
51 75 59
51 74 59
51 74 59
51 75 59
51 78 59
51 78 59
50 78 59
50 79 59
49 80 59
49 80 59
49 81 59
49 81 59
49 81 59
49 81 59
49 81 59
49 81 59
49 81 59
49 81 59
49 81 59
48 80 59
48 81 59
48 82 59
48 82 59
48 82 59
48 82 59
48 82 59
48 82 59
48 82 59
48 82 59
48 82 59
48 83 59
47 83 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
47 82 59
46 82 59
46 82 59
46 82 59
45 82 59
45 82 59
45 82 59
45 82 59
45 82 59
45 82 59
45 83 59
45 85 59
44 86 59
43 86 59
43 86 59
42 86 59
42 86 59
42 86 59
41 86 59
41 86 59
40 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 86 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 85 59
39 84 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
38 86 59
37 88 59
36 88 59
36 88 59
35 89 59
35 90 59
35 90 59
35 91 59
35 92 59
35 91 59
35 91 59
35 91 59
35 91 59
35 91 59
35 91 59
35 91 59
35 92 59
35 92 59
35 92 59
35 93 59
35 93 59
35 93 59
35 93 59
35 93 59
35 94 59
35 94 59
35 94 59
35 94 59
35 94 59
35 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 94 59
34 95 59
34 94 59
34 95 59
34 95 59
34 95 59
34 95 59
34 95 59
34 95 59
34 95 59
33 95 59
32 95 59
32 95 59
32 95 59
31 95 59
31 95 59
31 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 95 59
30 97 59
30 97 59
30 98 59
30 98 59
30 98 59
30 98 59
30 98 59
30 98 59
30 98 59
30 98 59
30 98 59
30 99 59
30 99 59
30 99 59
30 99 59
30 99 59
29 100 59
29 100 59
29 100 59
29 100 59
29 100 59
29 100 59
28 100 59
28 100 59
28 101 59
28 101 59
28 101 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 103 59
28 104 59
28 104 59
28 104 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 109 59
28 110 59
28 110 59
28 111 59
28 111 59
28 111 59
28 111 59
28 111 59
27 111 59
27 111 59
27 111 59
27 112 59
27 112 59
27 112 59
27 112 59
27 111 59
27 111 59
