FastMIS KBoundedMIS GreedyMIS
533 160 364
1 184 364
1 183 364
0 185 364
0 183 364
0 184 364
1 188 364
0 188 364
0 187 364
0 186 364
0 186 364
1 186 364
1 189 364
1 194 364
0 194 364
0 194 364
0 193 364
0 194 364
0 209 364
0 195 364
0 194 364
0 196 364
1 199 364
0 218 364
1 199 364
0 200 364
0 199 364
0 199 364
1 198 364
0 215 364
0 200 364
0 200 364
0 204 364
0 203 364
0 201 364
1 200 364
0 201 364
0 202 364
0 203 364
1 202 364
0 206 364
1 204 364
0 205 364
0 209 364
1 207 364
1 204 364
1 207 364
0 208 364
0 207 364
1 208 364
0 210 364
0 210 364
0 209 364
0 9 364
0 209 364
0 212 364
0 211 364
0 210 364
1 212 364
0 212 364
0 213 364
0 217 364
0 213 364
1 213 364
0 217 364
0 214 364
0 216 364
1 214 364
0 217 364
0 215 364
1 215 364
0 216 364
1 221 364
0 216 364
1 217 364
0 219 364
0 217 364
0 218 364
0 218 364
0 217 364
1 221 364
0 216 364
1 220 364
0 247 364
0 233 364
1 224 364
0 232 364
2 233 364
0 220 364
0 9 364
0 220 364
0 219 364
0 219 364
0 234 364
1 219 364
0 220 364
0 221 364
1 223 364
0 220 364
0 243 364
0 220 364
0 220 364
0 221 364
1 224 364
0 224 364
0 9 364
2 9 364
1 219 364
1 221 364
0 219 364
1 220 364
1 220 364
0 217 364
1 220 364
0 219 364
1 221 364
0 235 364
1 221 364
1 225 364
0 222 364
1 221 364
0 221 364
1 220 364
0 225 364
1 219 364
2 219 364
1 222 364
1 220 364
0 219 364
1 222 364
0 219 364
1 235 364
0 220 364
0 221 364
1 219 364
0 223 364
1 219 364
1 234 364
1 235 364
1 221 364
1 229 364
0 221 364
1 224 364
0 239 364
0 227 364
1 221 364
0 220 364
1 220 364
1 221 364
1 222 364
1 219 364
1 219 364
0 221 364
1 221 364
0 220 364
1 220 364
1 220 364
0 218 364
1 220 364
0 222 364
0 220 364
1 220 364
0 219 364
1 220 364
0 221 364
1 221 364
1 221 364
1 221 364
1 222 364
0 221 364
0 227 364
1 230 364
1 228 364
0 227 364
1 247 364
1 238 364
1 239 364
1 235 364
0 236 364
1 237 364
1 237 364
0 239 364
0 238 364
0 237 364
1 249 364
1 307 364
2 243 364
1 238 364
1 237 364
1 270 364
2 246 364
1 237 364
1 238 364
0 239 364
1 252 364
1 240 364
3 236 364
1 238 364
2 238 364
1 239 364
1 237 364
1 236 364
2 244 364
1 239 364
1 238 364
1 246 364
1 240 364
1 236 364
1 241 364
1 248 364
1 230 364
1 219 364
1 216 364
1 218 364
0 241 364
2 238 364
1 221 364
0 217 364
2 239 364
0 235 364
1 234 364
1 241 364
0 224 364
1 218 364
1 217 364
1 217 364
0 217 364
1 234 364
0 218 364
1 216 364
0 218 364
1 219 364
1 241 364
0 224 364
0 246 364
0 257 364
1 223 364
0 220 364
0 220 364
0 219 364
1 219 364
0 219 364
1 219 364
1 233 364
1 220 364
0 217 364
0 250 364
0 227 364
0 222 364
0 224 364
0 225 364
0 225 364
0 241 364
0 227 364
0 251 364
0 271 364
0 250 364
0 226 364
1 226 364
0 9 364
0 270 364
0 227 364
0 275 364
2 249 364
0 9 364
1 228 364
0 228 364
0 226 364
0 227 364
1 224 364
0 238 364
0 244 364
1 225 364
0 227 364
1 225 364
1 242 364
0 252 364
0 260 364
0 235 364
2 239 364
0 227 364
1 225 364
1 227 364
1 225 364
1 225 364
1 226 364
0 227 364
2 225 364
0 225 364
0 227 364
1 235 364
1 226 364
1 225 364
1 227 364
1 230 364
1 228 364
0 237 364
0 248 364
0 228 364
0 225 364
0 226 364
0 226 364
