FastMIS KBoundedMIS GreedyMIS
4181 1047 3384
2 2233 3384
1 2270 3384
1 2119 3384
0 2023 3384
0 1968 3384
0 1896 3384
1 1824 3384
0 1807 3384
0 1765 3384
1 1707 3384
1 1633 3384
0 1602 3384
0 1667 3384
0 1596 3384
1 1590 3384
0 1606 3384
0 1619 3384
815 1594 3384
1 1595 3384
0 1616 3384
0 1598 3384
792 1622 3384
0 1661 3384
0 1597 3384
791 1605 3384
785 1598 3384
0 1620 3384
0 1636 3384
0 1625 3384
0 1600 3384
0 1646 3384
0 1654 3384
1 1773 3384
2 1715 3384
1 1704 3384
1 1672 3384
1 1623 3384
1 1630 3384
0 1607 3384
1 1737 3384
1 1703 3384
862 1765 3384
1 1724 3384
1 1637 3384
1 1661 3384
0 1751 3384
1 1620 3384
0 1907 3384
1 1747 3384
824 1653 3384
816 1610 3384
794 1781 3384
798 1609 3384
1 1641 3384
903 1607 3384
0 1613 3384
0 1619 3384
888 1652 3384
0 1604 3384
0 1620 3384
0 1625 3384
808 1654 3384
0 1630 3384
0 1714 3384
0 1633 3384
0 1611 3384
0 1635 3384
0 1611 3384
0 1610 3384
0 1632 3384
0 1610 3384
0 1605 3384
0 1608 3384
0 1609 3384
0 1625 3384
0 1605 3384
0 1634 3384
0 1629 3384
0 1634 3384
0 1628 3384
0 1606 3384
0 1631 3384
0 1612 3384
0 1626 3384
0 1608 3384
0 1611 3384
0 1626 3384
1 1610 3384
0 1612 3384
0 1610 3384
0 1611 3384
0 1605 3384
797 1606 3384
791 1612 3384
0 1622 3384
0 1625 3384
0 1623 3384
0 1619 3384
0 1703 3384
830 1657 3384
837 1614 3384
0 1614 3384
0 1627 3384
0 1610 3384
0 1611 3384
0 1615 3384
0 1610 3384
0 1621 3384
0 1611 3384
0 1613 3384
0 1617 3384
0 1619 3384
0 1615 3384
0 1617 3384
0 1608 3384
0 1608 3384
0 1612 3384
0 1608 3384
798 1609 3384
0 1650 3384
0 1656 3384
0 1652 3384
0 1657 3384
849 1669 3384
0 1614 3384
0 1609 3384
0 1610 3384
0 1610 3384
0 1614 3384
0 1632 3384
0 1608 3384
0 1611 3384
0 1608 3384
0 1627 3384
0 1609 3384
0 1610 3384
0 1634 3384
0 1696 3384
853 1721 3384
0 1744 3384
847 1730 3384
1 1723 3384
0 1749 3384
839 1758 3384
837 1744 3384
0 1729 3384
0 1736 3384
0 1726 3384
0 1767 3384
1 1727 3384
0 1728 3384
0 1736 3384
0 1724 3384
0 1732 3384
0 1725 3384
0 1725 3384
0 1726 3384
0 1731 3384
0 1728 3384
0 1705 3384
0 1697 3384
0 1709 3384
0 1681 3384
1 1615 3384
1 1632 3384
1 1620 3384
0 1607 3384
0 1665 3384
801 1619 3384
793 1610 3384
779 1730 3384
4 1613 3384
1 1633 3384
0 1635 3384
921 1641 3384
848 1680 3384
1 1736 3384
842 1697 3384
0 1743 3384
0 1783 3384
1 1721 3384
0 1733 3384
0 1758 3384
1 1719 3384
0 1721 3384
1 1701 3384
1 1668 3384
808 1623 3384
0 1668 3384
806 1634 3384
0 1676 3384
0 1639 3384
0 1711 3384
0 1711 3384
1 1801 3384
0 1629 3384
0 1620 3384
0 1616 3384
834 1629 3384
775 1634 3384
0 1671 3384
804 1723 3384
0 1777 3384
893 1844 3384
800 1615 3384
0 1622 3384
0 1641 3384
0 1617 3384
1 1618 3384
0 1638 3384
0 1682 3384
0 1682 3384
0 1633 3384
1 1780 3384
1 1624 3384
1 1622 3384
0 1710 3384
0 1623 3384
1 1623 3384
826 1723 3384
809 1623 3384
1 1620 3384
0 1748 3384
1 1643 3384
784 1622 3384
776 1667 3384
796 1646 3384
0 1618 3384
0 1751 3384
779 1624 3384
0 1640 3384
0 1714 3384
0 1660 3384
0 1620 3384
0 1710 3384
0 1620 3384
0 1697 3384
0 1644 3384
0 1660 3384
0 1670 3384
0 1621 3384
0 1693 3384
0 1626 3384
0 1623 3384
0 1702 3384
0 1624 3384
0 1654 3384
0 1644 3384
0 1683 3384
0 1624 3384
0 1654 3384
817 1738 3384
775 1640 3384
0 1627 3384
0 1715 3384
1 1625 3384
0 1618 3384
774 1623 3384
1 1627 3384
776 1613 3384
0 1621 3384
0 1627 3384
0 1630 3384
0 1633 3384
1 1633 3384
0 1644 3384
1 1626 3384
0 1681 3384
0 1659 3384
0 1682 3384
0 1768 3384
1 1820 3384
0 1726 3384
0 1793 3384
0 1736 3384
0 1714 3384
0 1665 3384
1 1660 3384
1 1682 3384
0 1662 3384
0 1719 3384
0 1722 3384
0 1717 3384
844 1696 3384
1 1727 3384
0 1751 3384
1 1732 3384
0 1691 3384
0 1736 3384
1 1685 3384
0 1734 3384
0 1777 3384
0 1694 3384
0 1730 3384
0 1705 3384
1 1733 3384
0 1690 3384
2 1739 3384
1 1741 3384
834 1668 3384
1 1734 3384
836 1726 3384
0 1698 3384
1 1741 3384
817 1708 3384
0 1721 3384
0 1744 3384
839 1705 3384
818 1671 3384
0 1747 3384
0 1713 3384
0 1708 3384
0 1665 3384
0 1706 3384
832 1735 3384
814 1749 3384
0 1698 3384
802 1660 3384
0 1662 3384
0 1761 3384
0 1722 3384
0 1716 3384
0 1687 3384
0 1670 3384
0 1697 3384
0 1673 3384
0 1672 3384
0 1685 3384
0 1670 3384
0 1697 3384
798 1664 3384
785 1669 3384
0 1709 3384
837 1673 3384
0 1670 3384
787 1689 3384
0 1665 3384
789 1677 3384
0 1698 3384
792 1681 3384
0 1681 3384
777 1631 3384
771 1648 3384
0 1627 3384
0 1629 3384
0 1624 3384
767 1624 3384
0 1623 3384
772 1626 3384
0 1628 3384
0 1630 3384
767 1630 3384
0 1628 3384
0 1627 3384
0 1632 3384
0 1628 3384
0 1639 3384
0 1626 3384
0 1638 3384
0 1658 3384
766 1628 3384
0 1630 3384
0 1635 3384
