FastMIS KBoundedMIS GreedyMIS
528 158 327
1 174 327
1 176 327
0 174 327
0 175 327
0 176 327
0 178 327
1 179 327
0 178 327
0 182 327
0 180 327
0 180 327
0 179 327
0 184 327
0 183 327
0 183 327
0 187 327
0 188 327
0 184 327
0 184 327
1 186 327
0 184 327
0 185 327
1 187 327
0 186 327
0 188 327
0 187 327
0 189 327
0 191 327
0 189 327
0 192 327
0 192 327
0 193 327
0 191 327
1 195 327
0 191 327
0 194 327
0 193 327
0 194 327
0 195 327
0 195 327
0 195 327
0 196 327
0 196 327
0 197 327
0 197 327
0 198 327
0 198 327
0 199 327
0 200 327
0 199 327
0 200 327
0 200 327
0 202 327
0 202 327
0 202 327
0 203 327
0 203 327
1 204 327
0 203 327
0 214 327
0 204 327
0 204 327
0 206 327
0 206 327
0 204 327
0 225 327
0 211 327
0 212 327
0 230 327
0 239 327
0 208 327
0 209 327
0 210 327
0 207 327
0 210 327
0 210 327
0 209 327
0 210 327
1 212 327
0 211 327
0 211 327
0 212 327
2 211 327
1 213 327
0 213 327
0 214 327
0 211 327
0 213 327
0 212 327
0 213 327
0 213 327
0 214 327
1 215 327
1 213 327
0 215 327
0 214 327
0 215 327
0 215 327
0 214 327
0 216 327
0 216 327
0 215 327
0 216 327
0 219 327
0 216 327
2 217 327
0 217 327
0 218 327
0 216 327
0 219 327
0 218 327
0 218 327
0 218 327
0 217 327
1 220 327
0 220 327
0 218 327
0 219 327
0 219 327
0 219 327
0 219 327
0 220 327
0 220 327
0 220 327
0 220 327
0 220 327
0 221 327
0 221 327
0 219 327
1 221 327
0 221 327
0 221 327
0 221 327
0 221 327
0 222 327
0 221 327
0 222 327
0 221 327
0 221 327
0 222 327
1 222 327
0 222 327
0 221 327
0 222 327
1 223 327
0 221 327
0 218 327
0 221 327
0 222 327
221 224 327
0 224 327
0 222 327
0 238 327
0 222 327
1 223 327
0 223 327
0 223 327
1 223 327
0 221 327
0 223 327
0 221 327
0 222 327
0 223 327
0 223 327
0 223 327
0 222 327
0 222 327
1 222 327
0 224 327
0 223 327
1 223 327
0 223 327
0 224 327
0 222 327
0 222 327
0 222 327
0 221 327
0 223 327
0 223 327
0 223 327
2 223 327
1 223 327
0 222 327
0 231 327
0 228 327
0 224 327
0 226 327
0 228 327
0 223 327
0 225 327
0 226 327
0 228 327
1 223 327
0 228 327
1 225 327
0 228 327
0 226 327
0 226 327
0 227 327
0 229 327
0 227 327
0 228 327
0 227 327
0 225 327
0 221 327
1 224 327
0 223 327
0 222 327
0 222 327
0 222 327
0 226 327
0 226 327
0 223 327
0 226 327
0 224 327
0 224 327
0 222 327
0 223 327
0 224 327
0 222 327
0 223 327
0 221 327
0 221 327
0 223 327
0 222 327
1 223 327
0 220 327
0 223 327
0 222 327
1 221 327
1 221 327
0 222 327
1 224 327
0 222 327
1 222 327
0 222 327
0 230 327
0 222 327
0 223 327
0 241 327
1 238 327
0 226 327
0 233 327
0 222 327
1 234 327
0 230 327
0 224 327
0 224 327
0 223 327
0 221 327
0 232 327
0 231 327
1 234 327
0 228 327
0 222 327
0 221 327
0 224 327
0 222 327
0 229 327
0 223 327
0 221 327
1 219 327
0 223 327
0 222 327
0 222 327
0 225 327
0 222 327
0 221 327
0 226 327
0 225 327
0 223 327
0 225 327
0 223 327
0 223 327
1 223 327
0 225 327
1 222 327
0 224 327
1 223 327
0 223 327
0 222 327
0 222 327
0 222 327
1 220 327
0 224 327
0 232 327
0 226 327
1 221 327
0 221 327
0 227 327
0 222 327
1 222 327
0 220 327
0 220 327
0 222 327
0 223 327
0 222 327
0 225 327
0 219 327
2 222 327
0 223 327
1 227 327
1 222 327
0 223 327
1 221 327
0 221 327
0 223 327
0 221 327
0 221 327
0 222 327
0 223 327
0 221 327
1 227 327
0 222 327
1 227 327
0 223 327
0 222 327
1 222 327
0 222 327
0 222 327
0 221 327
0 222 327
0 237 327
1 233 327
0 224 327
0 226 327
0 223 327
1 225 327
1 222 327
0 222 327
0 223 327
0 224 327
0 223 327
0 227 327
0 228 327
0 221 327
1 222 327
0 221 327
0 225 327
1 224 327
0 222 327
0 222 327
0 230 327
0 222 327
0 223 327
0 222 327
0 223 327
0 223 327
0 223 327
1 223 327
1 225 327
0 225 327
1 228 327
0 224 327
0 223 327
0 225 327
0 223 327
1 222 327
0 222 327
1 222 327
0 223 327
0 224 327
0 223 327
0 222 327
0 222 327
0 222 327
1 221 327
0 223 327
0 227 327
0 222 327
0 224 327
0 223 327
0 224 327
1 221 327
0 221 327
0 220 327
0 251 327
1 222 327
1 221 327
0 226 327
1 222 327
0 221 327
1 222 327
0 224 327
0 256 327
0 222 327
1 244 327
1 222 327
0 221 327
0 223 327
0 225 327
1 222 327
0 221 327
0 223 327
0 225 327
1 223 327
0 225 327
1 225 327
0 220 327
1 222 327
0 225 327
