FastMIS KBoundedMIS GreedyMIS
2274 498 2369
1 1669 2369
3 1919 2369
2 1718 2369
2 1687 2369
1 1693 2369
3 1683 2369
1 2081 2369
1 2111 2369
2 2096 2369
3 2039 2369
6 1686 2369
2 1704 2369
2 1728 2369
2 2102 2369
2 2212 2369
1 2268 2369
1 2093 2369
2 2460 2369
1 2381 2369
2 2185 2369
1 1907 2369
1 2065 2369
1 2150 2369
1 2105 2369
0 2114 2369
1 1876 2369
967 1881 2369
1 1930 2369
1 1895 2369
0 1943 2369
2 2055 2369
2 1936 2369
1 1921 2369
2 1931 2369
0 1946 2369
1 1868 2369
0 1856 2369
2 1979 2369
1 1884 2369
961 1972 2369
1 1934 2369
1 1938 2369
1011 1876 2369
2 1866 2369
0 1911 2369
2 1923 2369
1 1981 2369
978 1860 2369
1 1964 2369
1 1933 2369
1 1911 2369
1 2170 2369
1 2119 2369
2 1731 2369
1 1704 2369
4 1705 2369
1 1697 2369
2 1766 2369
0 1958 2369
1 1915 2369
0 1934 2369
1 1959 2369
1 1871 2369
0 2002 2369
2 1921 2369
1 1843 2369
0 1761 2369
1 1759 2369
2 1939 2369
3 1875 2369
1 1924 2369
2 2038 2369
3 1730 2369
1 1700 2369
3 1701 2369
0 1704 2369
1 1876 2369
0 2078 2369
1 1953 2369
0 2137 2369
0 1874 2369
2 2012 2369
0 1743 2369
1 1726 2369
1 1722 2369
3 1853 2369
3 1796 2369
2 1946 2369
3 2159 2369
1 1876 2369
0 1910 2369
1 2195 2369
2 2044 2369
3 2164 2369
1 2072 2369
0 1913 2369
1 2032 2369
1 1989 2369
1 2142 2369
1044 1982 2369
2 2010 2369
14 2020 2369
2 2093 2369
1 2023 2369
4 1961 2369
1 2055 2369
3 1994 2369
1 1805 2369
4 2048 2369
1 1918 2369
1 1794 2369
1 1975 2369
1 1919 2369
1 1988 2369
3 1925 2369
1 2058 2369
1 1983 2369
0 1812 2369
3 1705 2369
2 1719 2369
4 1710 2369
3 1708 2369
3 1706 2369
2 1706 2369
0 1708 2369
1 1710 2369
2 1705 2369
2 1706 2369
1 1755 2369
4 1714 2369
1 1708 2369
1 1781 2369
1 1709 2369
2 1732 2369
2 1762 2369
1 1748 2369
3 1705 2369
1 1712 2369
1 1704 2369
2 1730 2369
1 1779 2369
3 1746 2369
1 1718 2369
1 1711 2369
1 1702 2369
0 1705 2369
1 1711 2369
2 1707 2369
1 1718 2369
2 1716 2369
2 1760 2369
1 1739 2369
2 1711 2369
1 1753 2369
1 1888 2369
2 1712 2369
1 1755 2369
853 1711 2369
1 1732 2369
2 1703 2369
2 1706 2369
3 1704 2369
1 1717 2369
2 1705 2369
890 1733 2369
847 1879 2369
1 1801 2369
3 1711 2369
867 1718 2369
1 1716 2369
1 1844 2369
1 1705 2369
1 1708 2369
0 1721 2369
0 1709 2369
2 1709 2369
1 1735 2369
1 1709 2369
2 1710 2369
2 1708 2369
1 1709 2369
2 1707 2369
1 1714 2369
1 1710 2369
1 1706 2369
841 1707 2369
1 1716 2369
1 1714 2369
2 1709 2369
1 1720 2369
1 1709 2369
1 1718 2369
1 1723 2369
1 1734 2369
2 1718 2369
1 1747 2369
1 1710 2369
0 1702 2369
1 1722 2369
0 1711 2369
0 1713 2369
0 1703 2369
4 1710 2369
834 1714 2369
1 1712 2369
1 1707 2369
1 1719 2369
1 1720 2369
0 1725 2369
1 1711 2369
1 1712 2369
1 1712 2369
0 1713 2369
3 1712 2369
1 1715 2369
1 1715 2369
2 1708 2369
816 1718 2369
833 1712 2369
1 1716 2369
0 1710 2369
1 1714 2369
0 1710 2369
0 1717 2369
3 1717 2369
1 1720 2369
2 1715 2369
2 1720 2369
0 1725 2369
2 1726 2369
0 1712 2369
2 1661 2369
1 1914 2369
8 1725 2369
1 1745 2369
3 1775 2369
2 1760 2369
2 1813 2369
2 1730 2369
1 1779 2369
842 1761 2369
853 1718 2369
1 1834 2369
2 1780 2369
0 1758 2369
1 1732 2369
0 1783 2369
1 1781 2369
0 1716 2369
1 1797 2369
0 1748 2369
1 1712 2369
2 1727 2369
0 1701 2369
0 1715 2369
0 1783 2369
1 1726 2369
0 1781 2369
1 1745 2369
0 1719 2369
0 1722 2369
0 1716 2369
2 1820 2369
846 2202 2369
4 1737 2369
1 1920 2369
4 1884 2369
4 1882 2369
2 1724 2369
3 1726 2369
2 1773 2369
1672 1730 2369
3 1753 2369
2 1753 2369
2 1738 2369
2 1783 2369
2 1821 2369
6 1877 2369
5 1796 2369
1 1725 2369
3 1726 2369
1 1724 2369
1 1727 2369
2 1891 2369
1 1977 2369
1 1943 2369
2 1933 2369
12 1724 2369
1 1723 2369
1 1727 2369
5 1721 2369
2 1720 2369
1 1745 2369
3 1778 2369
0 1728 2369
1 1745 2369
849 1723 2369
3 1759 2369
2 1749 2369
1 1733 2369
1 1740 2369
1 1726 2369
0 1716 2369
0 1721 2369
0 1720 2369
1 1721 2369
1 1771 2369
3 1718 2369
849 1724 2369
1 1724 2369
2 1718 2369
2 1719 2369
0 1734 2369
2 1727 2369
2 1717 2369
2 1730 2369
1 1720 2369
2 1723 2369
1 1726 2369
1 1721 2369
0 1728 2369
830 1733 2369
3 2051 2369
1 1921 2369
1 1914 2369
2 1939 2369
1 1882 2369
1 1970 2369
1 1928 2369
1 1850 2369
3 1974 2369
1 1932 2369
12 1727 2369
4 1810 2369
1 1735 2369
1 1726 2369
4 1732 2369
4 1731 2369
1 1823 2369
4 1727 2369
3 1725 2369
1 1763 2369
1 1756 2369
2 1769 2369
1 1935 2369
1 1756 2369
0 1734 2369
0 1856 2369
2 1821 2369
1 1838 2369
1 1970 2369
1 1735 2369
2 1733 2369
1 1734 2369
2 1765 2369
0 1759 2369
2 1984 2369
1 2006 2369
1 1730 2369
1 1777 2369
1 1735 2369
1 1758 2369
1 1975 2369
2 2077 2369
1 2202 2369
5 2147 2369
1 2170 2369
0 2080 2369
0 2162 2369
1 2132 2369
1 2107 2369
1 2054 2369
0 1898 2369
0 1684 2369
0 2000 2369
968 1738 2369
0 1884 2369
2 1668 2369
2 1899 2369
3 2034 2369
0 1943 2369
1 2049 2369
0 2017 2369
1 2000 2369
1 1980 2369
2 2064 2369
1 2071 2369
2 2011 2369
2 2149 2369
979 2055 2369
939 1905 2369
1 1899 2369
2 1934 2369
2 1881 2369
2 2006 2369
2 1897 2369
1 1978 2369
2 1892 2369
1 1759 2369
0 1731 2369
0 1730 2369
