FastMIS KBoundedMIS GreedyMIS
475 143 356
1 208 356
0 211 356
1 213 356
1 209 356
0 209 356
1 210 356
203 213 356
195 212 356
193 214 356
1 214 356
200 220 356
1 215 356
2 217 356
0 216 356
0 215 356
0 215 356
0 214 356
0 214 356
0 213 356
1 215 356
2 216 356
1 220 356
0 236 356
2 216 356
1 215 356
1 218 356
0 217 356
0 215 356
0 217 356
0 216 356
0 218 356
1 230 356
1 216 356
194 216 356
1 215 356
1 233 356
0 217 356
0 217 356
0 216 356
0 216 356
1 216 356
198 217 356
0 235 356
0 217 356
0 245 356
0 216 356
0 216 356
1 217 356
0 216 356
0 214 356
1 217 356
0 233 356
0 216 356
0 216 356
1 217 356
0 216 356
0 217 356
0 218 356
1 240 356
1 247 356
192 221 356
1 222 356
1 218 356
0 219 356
0 218 356
0 218 356
0 217 356
0 217 356
0 216 356
0 218 356
0 222 356
191 219 356
1 222 356
0 218 356
1 219 356
1 222 356
0 218 356
0 243 356
0 225 356
0 224 356
0 224 356
1 249 356
0 221 356
193 218 356
0 222 356
0 219 356
1 219 356
0 220 356
0 219 356
0 220 356
0 218 356
1 218 356
1 222 356
2 218 356
1 222 356
1 219 356
1 217 356
199 223 356
2 220 356
1 219 356
196 218 356
0 222 356
0 222 356
0 219 356
1 218 356
1 239 356
0 221 356
0 220 356
192 220 356
183 218 356
1 219 356
193 221 356
1 220 356
1 224 356
2 239 356
1 239 356
211 241 356
196 233 356
1 230 356
1 230 356
0 221 356
0 231 356
0 220 356
0 226 356
1 251 356
0 226 356
1 230 356
0 227 356
0 231 356
0 232 356
0 227 356
1 229 356
1 249 356
1 227 356
0 240 356
0 238 356
0 225 356
0 228 356
0 246 356
0 246 356
1 240 356
1 239 356
195 222 356
0 226 356
0 228 356
1 232 356
0 229 356
0 220 356
1 220 356
0 222 356
0 229 356
0 221 356
1 219 356
1 220 356
1 221 356
1 222 356
1 220 356
2 220 356
1 219 356
1 220 356
1 221 356
1 219 356
0 219 356
1 219 356
1 220 356
0 219 356
0 222 356
0 221 356
1 224 356
0 219 356
1 220 356
1 220 356
1 220 356
1 221 356
1 222 356
0 220 356
0 225 356
0 220 356
0 220 356
0 221 356
2 220 356
2 224 356
0 221 356
1 220 356
0 223 356
194 224 356
1 221 356
0 219 356
0 219 356
0 220 356
0 224 356
1 220 356
0 231 356
0 222 356
0 220 356
0 220 356
0 222 356
1 222 356
0 222 356
0 221 356
0 222 356
0 222 356
0 222 356
0 222 356
0 220 356
0 222 356
0 221 356
1 219 356
1 241 356
2 221 356
1 223 356
0 221 356
0 219 356
2 221 356
1 225 356
1 221 356
1 223 356
0 224 356
0 219 356
1 221 356
1 220 356
1 221 356
1 221 356
1 221 356
1 219 356
0 219 356
1 220 356
2 221 356
1 232 356
0 222 356
0 221 356
0 221 356
0 220 356
1 226 356
2 221 356
0 220 356
1 226 356
0 222 356
1 222 356
1 226 356
1 227 356
1 222 356
0 222 356
198 221 356
0 226 356
0 221 356
1 222 356
0 225 356
0 222 356
1 223 356
1 222 356
1 227 356
2 222 356
1 222 356
1 222 356
1 223 356
2 223 356
2 222 356
1 221 356
0 248 356
1 227 356
1 222 356
0 223 356
1 227 356
2 224 356
0 223 356
1 223 356
0 222 356
0 222 356
1 226 356
0 222 356
1 221 356
1 222 356
1 221 356
1 221 356
1 222 356
1 221 356
1 222 356
1 222 356
1 222 356
0 221 356
1 238 356
0 233 356
1 225 356
2 221 356
1 224 356
1 231 356
0 225 356
1 223 356
0 220 356
0 223 356
1 223 356
0 223 356
1 223 356
1 222 356
1 221 356
1 222 356
197 221 356
1 223 356
1 221 356
0 222 356
0 221 356
1 222 356
1 223 356
0 223 356
0 222 356
