EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
187 168212 37 277 404
32 27149 42 1 30
10 15839 43 1 8
9 12996 43 1 8
50 23637 43 1 88
7 16520 46 1 7
4 14492 46 1 5
4 13487 45 1 5
3 15016 47 1 133
3 12668 46 1 132
2 13350 45 3 136
3 12738 47 1 137
3 11575 48 1 135
86 13039 50 1 135
85 12378 51 1 137
87 11854 49 1 139
88 13049 54 1 139
109 14270 55 1 142
8 6775 57 1 24
4 4921 57 1 4
4 3858 60 1 5
3 3581 57 1 6
2 3611 58 1 6
4 3312 59 1 4
107 12677 60 1 173
106 13074 61 4 175
111 11543 63 60 175
111 11763 63 64 178
113 12461 64 74 174
117 11451 65 73 175
3 12578 69 11 29
4 10018 65 9 28
2 11463 67 12 26
12 11171 68 15 22
8 8433 67 11 21
9 8316 66 11 20
7 6674 65 8 17
3 5689 64 7 7
8 6794 66 11 14
6 5957 66 9 14
4 5981 67 9 12
4 6596 67 9 10
5 7119 67 12 8
3 4942 67 8 7
3 4164 66 7 5
2 3328 67 6 1
3 4787 66 8 5
19 18026 68 17 30
4 4776 67 8 7
2 3911 67 6 6
4 4285 68 7 21
3 3805 68 7 4
51 23722 69 11 77
46 28953 70 13 79
44 27849 70 13 75
44 24075 72 10 75
45 29115 71 15 73
43 29537 73 16 67
39 25113 78 11 63
39 28545 76 14 65
37 21167 74 12 66
37 26010 79 17 58
35 21998 79 13 57
33 27454 79 13 59
37 22585 82 11 57
33 25740 82 10 54
53 27733 82 12 51
30 28688 83 15 51
30 27992 84 13 52
29 21928 88 13 48
3 5864 84 8 5
29 25411 88 20 38
8 7528 87 12 10
5 6556 87 11 6
3 4128 90 8 4
22 17792 90 10 36
21 20339 90 9 36
21 17392 91 8 33
20 21565 93 13 34
19 20570 93 16 31
18 19580 96 13 28
4 4956 96 7 1
17 14975 95 11 27
16 13985 94 10 26
15 13696 96 9 24
15 13887 96 11 24
14 17800 96 15 22
13 16102 97 12 22
12 16054 98 11 21
11 15750 97 11 16
10 15796 98 16 15
9 10576 100 12 14
8 10414 99 15 12
7 8785 99 15 11
6 8224 99 14 10
5 7503 101 12 9
5 6795 100 12 6
3 1343 101 0 1
2 3361 100 7 1
4 600 101 0 2
3 591 100 1 2
3 1139 99 1 5
3 829 101 1 2
4 6431 101 1 2
3 6798 102 7 5
3 2496 101 1 2
4 3667 102 1 2
4 2750 101 1 2
4 3578 102 0 4
3 2914 101 1 4
4 3284 102 1 4
4 3536 104 1 4
4 2309 103 1 5
3 3289 108 1 4
4 2406 103 1 4
3 2762 104 1 4
3 2459 103 1 5
3 3199 106 1 2
3 3165 103 1 2
3 2854 102 1 3
3 2405 104 1 2
3 5606 135 1 2
3 3355 103 1 2
4 3316 104 1 1
4 3067 105 1 2
3 3390 106 1 7
4 3298 104 1 4
3 2047 107 1 4
17 21566 112 23 17
4 2838 111 1 5
15 2983 109 1 5
69 2530 111 21 76
83 4900 107 197 100
3 3044 108 7 8
4 2190 108 7 8
8 9441 107 13 6
5 3176 106 9 11
3 6014 108 9 6
3 4709 107 8 4
3 3037 107 7 8
4 4312 107 9 5
9 16413 108 13 13
5 2139 137 8 6
3 3859 111 10 6
3 2037 113 8 5
6 1761 111 8 5
4 7154 112 8 4
3 1661 110 8 8
4 2260 111 8 4
4 2099 113 8 4
5 2037 114 8 6
3 4838 114 8 4
3 2089 111 8 4
3 1944 114 8 4
3 1876 113 8 5
3 1911 112 8 4
7 10159 114 11 15
3 5856 111 8 5
3 1954 113 8 5
3 3299 113 9 4
8 7766 115 11 9
6 5599 118 9 6
6 2341 112 9 6
3 4509 113 8 4
3 1977 113 8 4
2 5628 116 9 6
4 2423 116 8 6
4 2620 116 8 7
3 5186 115 8 4
5 2451 114 8 8
3 7233 114 9 7
3 5844 115 8 5
3 3748 116 9 8
4 3234 113 8 5
3 5684 118 9 4
5 6445 118 11 6
3 2553 121 8 5
5 2446 121 11 6
3 6012 120 9 4
3 3465 120 8 4
3 3302 118 10 4
4 3402 119 8 8
3 3171 119 8 4
4 3093 120 9 8
3 4441 119 8 5
2 5865 122 8 4
3 2849 120 8 4
3 3419 120 8 4
3 3068 120 9 4
6 3443 123 10 8
5 7465 125 11 6
6 7762 123 12 7
5 3037 121 9 9
3 7050 121 12 10
4 6231 123 9 5
4 5081 122 8 4
3 2434 122 8 7
4 2436 123 9 4
3 3074 121 8 8
5 2491 121 9 4
4 2599 122 9 4
3 2432 123 8 5
4 3116 124 9 10
4 5944 122 10 5
2 5163 122 8 4
3 2507 122 8 8
4 2684 121 9 7
3 2279 121 9 4
4 2447 122 9 4
3 2317 122 9 4
4 2394 122 9 4
3 2363 122 9 5
4 2439 126 8 5
4 2337 123 9 5
5 2819 122 10 7
3 5089 123 9 5
2 5049 125 9 4
3 2247 128 9 5
5 2457 125 9 9
2 5043 126 9 4
3 2348 127 10 5
3 2339 148 10 4
4 2358 125 9 5
4 2302 129 9 6
3 4919 126 9 6
3 4464 127 8 5
3 788 129 1 7
3 3751 128 7 10
4 1516 127 1 2
4 1331 127 0 2
4 1666 127 1 5
5 2241 125 1 2
4 1170 128 1 2
4 1014 126 1 10
5 1090 126 1 3
5 1159 127 1 2
6 1144 129 1 2
6 1072 129 1 2
6 835 126 1 2
6 1025 126 1 3
7 1042 130 1 2
7 978 135 1 2
7 1045 133 0 1
8 778 132 1 2
8 888 134 1 2
4 4589 146 9 5
10 1248 135 1 3
3 4386 135 8 4
9 1021 148 1 2
9 915 135 1 2
10 914 135 1 2
9 676 139 0 1
10 898 140 1 2
27 910 140 1 84
4 908 135 1 2
4 801 136 1 2
3 660 135 0 1
2 1617 136 1 3
4 872 136 1 2
3 795 137 1 2
4 798 136 1 2
3 818 136 1 2
4 854 136 1 2
4 768 136 1 2
4 772 136 1 2
3 780 136 1 2
4 775 138 1 2
4 758 137 1 2
4 753 141 1 2
3 761 137 1 2
3 785 137 1 2
4 777 139 1 2
3 1281 139 2 4
5 1422 141 1 5
3 1446 140 1 7
3 833 141 1 2
4 760 141 1 2
4 824 140 1 2
5 832 140 1 1
3 2234 141 1 2
4 896 145 1 2
3 870 141 1 2
4 788 142 1 2
3 809 141 1 1
3 784 142 1 2
3 787 144 1 1
4 810 143 1 2
6 846 145 1 2
3 865 145 1 1
3 818 144 1 3
3 2473 143 1 4
3 922 148 1 2
3 910 148 1 1
3 1010 145 1 2
4 819 145 1 2
4 853 144 1 2
4 857 144 1 2
5 829 145 1 2
3 831 146 1 2
4 919 149 1 2
2 3352 145 1 4
3 1001 145 1 2
4 891 146 1 2
4 904 149 1 2
3 893 150 1 2
2 4886 146 10 5
3 1067 145 1 1
4 933 147 1 2
4 955 148 1 2
4 1002 155 1 2
3 960 148 1 2
4 930 148 1 2
4 1199 148 1 2
4 961 148 1 2
4 948 151 1 2
4 994 147 1 2
4 945 148 1 2
3 963 149 1 2
3 956 149 1 1
3 938 151 1 2
4 976 151 1 2
3 958 150 1 2
4 1899 155 3 6
4 972 150 1 2
4 939 151 1 2
3 946 151 1 2
4 1008 152 1 2
4 1046 157 1 1
3 948 154 1 2
4 950 154 1 2
4 994 154 1 1
4 974 153 1 2
6 950 158 1 2
3 984 155 1 2
3 690 160 1 2
3 1314 156 8 2
5 783 155 1 11
3 664 155 1 2
4 827 155 1 2
4 763 154 1 3
4 760 154 1 3
4 755 158 1 2
4 925 155 1 3
4 729 155 1 2
4 796 155 1 2
4 780 155 1 2
3 711 155 1 2
4 676 155 1 3
4 763 155 1 2
3 1319 155 7 2
4 746 155 1 2
3 1252 156 8 2
4 788 155 1 3
3 1883 155 1 8
4 1081 160 2 4
4 736 155 1 2
3 868 159 1 2
4 712 160 1 2
5 7817 164 15 7
4 859 158 1 2
4 909 157 1 2
11 880 157 1 2
76 970 163 25 118
4 880 163 1 3
4 786 159 1 2
4 804 158 1 2
5 776 158 1 2
4 866 157 1 2
4 833 159 1 2
5 903 159 2 2
4 862 162 1 2
4 909 159 1 2
4 848 158 1 2
4 890 160 1 2
4 808 160 1 2
4 848 159 1 2
3 977 160 1 2
5 875 160 1 6
4 1397 162 2 5
4 876 164 1 2
3 964 158 1 6
8 956 163 8 5
4 816 160 1 2
5 835 163 1 2
4 860 159 1 2
3 791 160 1 2
4 892 164 1 2
3 803 161 0 2
3 754 160 1 2
6 933 168 8 5
3 946 160 1 2
4 812 160 1 2
4 883 160 1 2
5 852 161 1 2
5 915 161 1 2
3 935 161 1 3
4 1088 161 9 4
4 917 162 1 2
4 857 160 1 2
4 891 163 12 2
3 1082 162 1 2
3 887 160 1 2
